Id,latitude,longitude,# Result,
179001,29.682581,123.32214,1.0311466,103114.66
179,30.817419,122.942901,1.0283408,102834.08
177,31.494895,120.961509,1.024777,102477.7
174,32.097496,123.410455,0.9945331,99453.31
173,32.001423,122.53509,0.9919437,99194.37
171001,33.062741,122.549116,0.9478364,94783.64
171,33.282401,123.111221,0.9369067,93690.67
172,33.282401,123.645272,0.93344647,93344.647
170,33.929205,122.478983,0.8421353,84213.53
165,34.596758,122.459761,0.7904178,79041.78
166,34.64953,123.252006,0.766309,76630.9
168,34.832656,124.011003,0.7490826,74908.26
169,35.015331,124.699867,0.7451727,74517.27
163,35.1741,122.45093,0.7220452,72204.52
164,35.137565,121.734013,0.7163711,71637.11
162,35.731597,122.444696,0.62155354,62155.354
161,36.260226,122.45093,0.574676,57467.6
106,37.25118,122.642627,0.49766093,49766.093
124,37.107747,124.624019,0.5517883,55178.83
125,37.017086,125.444837,0.57118464,57118.464
125001,36.906579,126.214224,0.5402953,54029.53
126,36.964313,127.079199,0.5380471,53804.71
127,35.703181,124.987153,0.86323875,86323.875
128,34.88137,126.498912,0.89797884,89797.884
129,34.759135,127.145176,0.906502,90650.2
130,35.003153,127.862093,0.9004478,90044.78
132,33.438013,126.506185,1.0549508,105495.08
131001,32.672583,125.753942,1.0270256,102702.56
131,32.830902,126.526966,1.0595868,105958.68
133,33.026206,127.187776,1.0433115,104331.15
134,33.160618,128.058986,1.0023782,100237.82
135,30.256315,125.135212,1.1229485,112294.85
136,30.256315,125.922781,1.1608709,116087.09
137,31.061437,127.538961,1.0801066,108010.66
138,30.317206,127.87612,1.0766183,107661.83
139,29.829171,125.767969,1.1545055,115450.55
141,28.317707,124.955463,1.222555,122255.5
143,28.513011,126.318644,1.2580357,125803.57
144,29.074567,126.852695,1.2646714,126467.14
145,28.793563,127.513505,1.2679783,126797.83
142,28.024976,127.063614,1.1289401,112894.01
140001,28.317707,124.308679,1.3191586,131915.86
151,28.305528,122.790686,1.4478438,144784.38
