,Source,Target,Weight
0,126,125001,1.0
1,125001,125,2.0
2,125,124,1.0
3,124,106,2.0
4,106,161,2.0
5,161,162,1.0
6,162,163,3.0
7,163,164,1.0
8,163,165,1.0
9,165,166,1.0
10,166,168,2.0
11,165,170,1.0
12,170,171001,3.0
13,171001,171,1.0
14,171,172,1.0
15,171001,173,2.0
16,173,179,2.0
17,173,174,1.0
18,179,179001,1.0
19,179,177,1.0
20,168,169,1.0
21,124,127,0.0
22,128,129,1.0
23,129,130,1.0
24,127001,131001,2.0
25,131,132,1.0
26,131001,131,1.0
27,131,133,1.0
28,133,134,1.0
29,131001,135,2.0
30,135,136,2.0
31,136,137,1.0
32,136,138,1.0
33,136,139,1.0
34,141,143,2.0
35,143,144,1.0
36,144,145,1.0
37,141,142,1.0
38,141,140001,1.0
39,140001,151,2.0
40,151,152,1.0
41,124,107,1.0
42,107,108,3.0
43,108,109,1.0
44,109,110,2.0
45,110,111,1.0
46,110,112,2.0
47,112,113,1.0
48,113,114,1.0
49,115,116,1.0
50,116,117,1.0
51,119,118,1.0
52,117,119,1.0
53,106,105,1.0
54,105,102,1.0
55,102,100,1.0
56,100,101,1.0
57,102,103,2.0
58,103,104,1.0
59,100,96,2.0
60,96,97,2.0
61,97,98,1.0
62,98,99,1.0
63,96,93,1.0
64,93,94,1.0
65,94,95,1.0
66,93,92,1.0
67,92,91,1.0
68,91,160,0.0
69,160,159001,1.0
70,159001,159,1.0
71,159,156,2.0
72,156,157,2.0
73,157,158,1.0
74,156,155,1.0
75,155,154,1.0
76,155,153,3.0
77,55,59,0.0
78,59,60,2.0
79,60,61,1.0
80,60,62,1.0
81,141,147,2.0
82,147,148,1.0
83,148,150,1.0
84,148,149,1.0
85,63,64,1.0
86,64,65,1.0
87,65,66,1.0
88,67,68,1.0
89,68,69,1.0
90,68,70,1.0
91,70,71,2.0
92,55,56,1.0
93,56,57,1.0
94,57,58,1.0
95,52,53,1.0
96,53,54,1.0
97,55,52,2.0
98,52,46001,3.0
99,46001,50,1.0
100,50,51,1.0
101,46001,47,2.0
102,47,48,1.0
103,48,49,1.0
104,41,42,1.0
105,42,45,1.0
106,45,46,1.0
107,45001,41,2.0
108,41,35,0.0
109,35,36,1.0
110,36,39,1.0
111,39,40,1.0
112,36,37,1.0
113,35,31,2.0
114,31,32,1.0
115,32,33,1.0
116,91,90,0.0
117,90,89,1.0
118,31,28,2.0
119,28001,28,1.0
120,28,29,2.0
121,29,30,1.0
122,90,28001,1.0
123,28001,27,3.0
124,27,26,1.0
125,26,23,1.0
126,83,77,3.0
127,77,81,2.0
128,81,78,1.0
129,78,79,2.0
130,79,80,1.0
131,84,85,1.0
132,115,120,2.0
133,120,121,1.0
134,121,122,2.0
135,122,123,1.0
136,77,75,0.0
137,77,76,1.0
138,73,74,1.0
139,219,220,1.0
140,220,221,2.0
141,221,222,1.0
142,222,223,1.0
143,221,223001,2.0
144,223001,224,1.0
145,224,225,2.0
146,225,226,1.0
147,215,214,1.0
148,214,216,1.0
149,216,217,1.0
150,216,218,1.0
151,214,203,2.0
152,215001,202001,1.0
153,203,204,1.0
154,204,205,1.0
155,204,211,1.0
156,211,212,1.0
157,205,206,2.0
158,206,207,1.0
159,207,208,1.0
160,208,213,1.0
161,208,209,1.0
162,209,210,1.0
163,203,201,2.0
164,201,200001,1.0
165,200001,199,2.0
166,234,230,1.0
167,230,231,2.0
168,231,232,1.0
169,232,233,1.0
170,199,196,1.0
171,196,197,2.0
172,197,198,1.0
173,199,192,2.0
174,192,194,1.0
175,194,195,1.0
176,192,193,1.0
177,234,234001,1.0
178,236,237,1.0
179,237,238,2.0
180,238,239,1.0
181,192,190001,3.0
182,190001,190,1.0
183,187,186,1.0
184,186,185,1.0
185,187,188,2.0
186,188,189,1.0
187,235001,241,1.0
188,241,242,1.0
189,241,243,1.0
190,243,244,1.0
191,244,245,2.0
192,182,183,1.0
193,183,184,1.0
194,187,182,0.0
195,182,249,2.0
196,249,248,1.0
197,248,247,3.0
198,247,246,1.0
199,246,245,1.0
200,180001,249,3.0
201,180001,181,1.0
202,187,190,2.0
203,190,191,1.0
204,180004,180003,1.0
205,180002,180003,1.0
206,180,180001,1.0
207,199,200,1.0
208,202001,284,2.0
209,287,286,1.0
210,286,285,2.0
211,285,284,1.0
212,202001,38,1.0
213,274,275,1.0
214,275,276,1.0
215,268,269,1.0
216,271,270,1.0
217,318,317,1.0
218,317,316,2.0
219,316,315,1.0
220,315,313,1.0
221,313,314,1.0
222,313,312,3.0
223,312,310,1.0
224,310,311,1.0
225,310,309,2.0
226,309,297,1.0
227,297,298,1.0
228,298,299,1.0
229,297,296,1.0
230,296,294,2.0
231,294,293,1.0
232,293,229,3.0
233,293,291,1.0
234,296,295,1.0
235,288,289,1.0
236,289,290,1.0
237,288,282,2.0
238,282,277,1.0
239,277,278,1.0
240,278,279,1.0
241,279,280,2.0
242,280,281,1.0
243,271,272,1.0
244,271,273,1.0
245,268,260001,2.0
246,262,261,1.0
247,262,263,1.0
248,255,258,2.0
249,258,259,1.0
250,259,260,1.0
251,255,256,1.0
252,256,257,1.0
253,255,254,1.0
254,421,180002,2.0
255,420,421,1.0
256,419,420,1.0
257,418,419,2.0
258,416,418,1.0
259,417,416,1.0
260,416,415,2.0
261,415,250001,1.0
262,415,414,1.0
263,414,413,1.0
264,22,21,1.0
265,21,19,2.0
266,19,18,1.0
267,319,320,1.0
268,21,20,1.0
269,297,302,3.0
270,302,303,1.0
271,305,306,1.0
272,306,307,1.0
273,320,321,1.0
274,322,323,1.0
275,301,300,1.0
276,324,368,1.0
277,368,367,1.0
278,367,369,1.0
279,365,325,2.0
280,365,362,2.0
281,362,361,1.0
282,361,360001,2.0
283,360001,360,1.0
284,360,359,1.0
285,366,364,1.0
286,364,363,1.0
287,325,327,1.0
288,327,326,1.0
289,327,328,1.0
290,328,329,1.0
291,330,334,2.0
292,324,331,0.0
293,331,333,1.0
294,333,336,2.0
295,331,332,1.0
296,254,250,3.0
297,250,341,2.0
298,341,340,1.0
299,340,338,1.0
300,338,337,2.0
301,338,339,1.0
302,341,342,1.0
303,342,343,1.0
304,343,344,1.0
305,250,251,1.0
306,251,252,2.0
307,252,253,1.0
308,250002,250003,1.0
309,412,411,1.0
310,411,410,2.0
311,410,409,1.0
312,409,408,1.0
313,408,407001,3.0
314,407001,406,3.0
315,407001,350,1.0
316,407,350,1.0
317,350,350001,1.0
318,350001,351,1.0
319,350001,352,2.0
320,350001,356,2.0
321,350,345,2.0
322,345,346,1.0
323,346,347,2.0
324,347,348,1.0
325,348,349,1.0
326,334,335,1.0
327,406,405,1.0
328,352,353,1.0
329,353,354,1.0
330,354,355,1.0
331,356,357,1.0
332,357,358,1.0
333,368,370,1.0
334,371,372,2.0
335,372,373,2.0
336,373,374,1.0
337,372,378,1.0
338,378,379,2.0
339,379,380,1.0
340,380,381,2.0
341,381,382,1.0
342,372,376,1.0
343,376,384,3.0
344,384,383,1.0
345,378,377,1.0
346,396001,397,1.0
347,397,398,1.0
348,400,401,1.0
349,401,402,2.0
350,402,403,1.0
351,18,11,1.0
352,11,10,1.0
353,9,8,1.0
354,18,15,3.0
355,15,13,2.0
356,12,14,1.0
357,14,6,1.0
358,6,5,2.0
359,5,8,1.0
360,13,12,1.0
361,15,16,1.0
362,15,17,1.0
363,601,384,1.0
364,601,385,1.0
365,385,387,2.0
366,387,388,1.0
367,388,389,2.0
368,389,390,1.0
369,390,391,1.0
370,391,392,1.0
371,392,393,1.0
372,393,394,2.0
373,394,395,1.0
374,395,396,1.0
375,4,2,2.0
376,2,3,1.0
377,2,1,1.0
378,250,250003,2.0
379,4,8,1.0
380,8,7,1.0
381,32,34,1.0
382,235,235001,1.0
383,106,82,0.0
384,180004,266,0.0
385,258001,259001,1.0
386,82,228,1.0
387,227,229,1.0
388,227,215001,3.0
389,319,315,2.0
390,59,63,1.0
391,63,67,3.0
392,260001,262,2.0
393,23,22,3.0
394,115,108,3.0
395,213,234,0.0
396,288,291,0.0
397,319,322,0.0
398,325,330,1.0
399,336,337,1.0
400,334,345,3.0
401,152,153,1.0
402,256001,258001,1.0
403,258001,257001,1.0
404,257001,264,1.0
405,264,260001,1.0
406,265,268,1.0
407,268,274,3.0
408,274,277,2.0
409,405,404,1.0
410,400,399,1.0
411,404,399,2.0
412,399,396001,2.0
413,220,215001,3.0
414,75,73,1.0
415,83,84,2.0
416,83,86,1.0
417,86,87,1.0
418,89,87,0.0
419,229,75,2.0
420,202001,82,0.0
421,250001,412,0.0
422,43,417,2.0
423,269,271,2.0
424,234001,235,0.0
425,234001,238,3.0
426,238,240,1.0
427,239,189,3.0
428,250002,44,1.0
429,43,422,1.0
430,250004,413,1.0
431,23,24,1.0
432,24,24001,2.0
433,24001,25,1.0
434,46001,45001,1.0
435,71,71001,1.0
436,71001,72,1.0
437,127,127001,1.0
438,127001,128,1.0
439,301001,366,1.0
440,365,301001,1.0
441,301001,301,1.0
442,303,304,1.0
443,304,305,2.0
444,422,180,2.0
445,322,324,2.0
446,385,88,1.0
447,13,385,0.0
448,123,82,1.0
449,135,141,1.0
450,150,71,0.0
451,370,371,1.0
452,256001,254,0.0
453,266,38,1.0
