,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,-15.754368,-15.754274,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265,-15.754265
1,-15.711487,-15.711393,-15.711393,-15.711393,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384,-15.711384
2,-15.657024,-15.65694,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931,-15.656931
3,-15.194822,-15.194731,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721,-15.194721
4,-15.155251,-15.155157,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148,-15.155148
5,-14.481182,-14.481089,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079,-14.481079
6,-14.31415,-14.314058,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049,-14.314049
7,-14.261269,-14.261177,-14.261177,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168,-14.261168
8,-12.86581,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725,-12.865725
9,-12.075439,-12.075346,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336,-12.075336
