Source,Target,Weight
126,125001,113
125001,125,113
125,124,113
124,106,285
106,161,162.8
161,162,162.8
162,163,162.8
163,164,113
163,165,144.6
165,166,113
166,168,113
165,170,144.6
170,171001,126.6
171001,171,113
171,172,113
171001,173,126.6
173,179,113
173,174,113
179,179001,113
179,177,113
168,169,113
124,127,285
128,129,113
129,130,113
127001,131001,285
131,132,113
131001,131,113
131,133,113
133,134,113
131001,135,285
135,136,113
136,137,113
136,138,113
136,139,113
141,143,113
143,144,113
144,145,113
141,142,113
141,140001,144.6
140001,151,144.6
151,152,113
124,107,113
107,108,113
108,109,113
109,110,113
110,111,113
110,112,113
112,113,113
113,114,113
115,116,113
116,117,113
119,118,113
117,119,113
106,105,126.6
105,102,126.6
102,100,126.6
100,101,113
102,103,113
103,104,113
100,96,113
96,97,113
97,98,113
98,99,113
96,93,113
93,94,113
94,95,113
93,92,113
92,91,113
91,160,113
160,159001,113
159001,159,113
159,156,113
156,157,113
157,158,113
156,155,113
155,154,113
155,153,113
55,59,113
59,60,113
60,61,113
60,62,113
141,147,162.8
147,148,144.6
148,150,144.6
148,149,113
63,64,113
64,65,113
65,66,113
67,68,113
68,69,113
68,70,113
70,71,126.6
55,56,113
56,57,113
57,58,113
52,53,113
53,54,113
55,52,162.8
52,46001,162.8
46001,50,113
50,51,113
46001,47,113
47,48,113
48,49,113
41,42,113
42,45,113
45,46,113
45001,41,180.8
41,35,226.2
35,36,113
36,39,113
39,40,113
36,37,113
35,31,226.2
31,32,113
32,33,113
91,90,113
90,89,285
31,28,226.2
28001,28,226.2
28,29,113
29,30,113
90,28001,226.2
28001,27,113
27,26,113
26,23,113
83,77,285
77,81,113
81,78,113
78,79,113
79,80,113
84,85,113
115,120,113
120,121,113
121,122,113
122,123,113
77,75,285
77,76,113
73,74,113
219,220,113
220,221,113
221,222,113
222,223,113
221,223001,113
223001,224,113
224,225,113
225,226,113
215,214,113
214,216,113
216,217,113
216,218,113
214,203,113
215001,202001,361.8
203,204,144.6
204,205,126.6
204,211,113
211,212,113
205,206,126.6
206,207,126.6
207,208,113
208,213,113
208,209,113
209,210,113
203,201,226.2
201,200001,226.2
200001,199,285
234,230,144.6
230,231,126.6
231,232,113
232,233,113
199,196,113
196,197,113
197,198,113
199,192,285
192,194,113
194,195,113
192,193,113
234,234001,144.6
236,237,113
237,238,113
238,239,162.8
192,190001,285
190001,190,285
187,186,113
186,185,113
187,188,180.8
188,189,180.8
235001,241,113
241,242,113
241,243,113
243,244,126.6
244,245,126.6
182,183,113
183,184,113
187,182,361.8
182,249,361.8
249,248,162.8
248,247,144.6
247,246,144.6
246,245,126.6
180001,249,361.8
180001,181,113
187,190,285
190,191,113
180004,180003,113
180002,180003,113
180,180001,361.8
199,200,113
202001,284,113
287,286,113
286,285,113
285,284,113
202001,38,452.2
274,275,113
275,276,113
268,269,113
271,270,113
318,317,113
317,316,113
316,315,113
315,313,126.6
313,314,113
313,312,126.6
312,310,126.6
310,311,113
310,309,144.6
309,297,144.6
297,298,113
298,299,113
297,296,162.8
296,294,162.8
294,293,180.8
293,229,285
293,291,180.8
296,295,113
288,289,113
289,290,113
288,282,162.8
282,277,162.8
277,278,144.6
278,279,126.6
279,280,113
280,281,113
271,272,113
271,273,113
268,260001,144.6
262,261,113
262,263,113
255,258,113
258,259,113
259,260,113
255,256,113
256,257,113
255,254,144.6
421,180002,113
420,421,113
419,420,113
418,419,126.6
416,418,144.6
417,416,361.8
416,415,361.8
415,250001,361.8
415,414,113
414,413,113
22,21,113
21,19,113
19,18,113
319,320,113
21,20,113
297,302,113
302,303,113
305,306,113
306,307,113
320,321,113
322,323,113
301,300,113
324,368,113
368,367,113
367,369,113
365,325,226.2
365,362,144.6
362,361,126.6
361,360001,126.6
360001,360,113
360,359,113
366,364,113
364,363,113
325,327,113
327,326,113
327,328,113
328,329,113
330,334,226.2
324,331,113
331,333,113
333,336,144.6
331,332,113
254,250,226.2
250,341,180.8
341,340,162.8
340,338,162.8
338,337,162.8
338,339,113
341,342,113
342,343,113
343,344,113
250,251,113
251,252,113
252,253,113
250002,250003,285
412,411,361.8
411,410,285
410,409,361.8
409,408,285
408,407001,285
407001,406,162.8
407001,350,285
407,350,113
350,350001,113
350001,351,113
350001,352,113
350001,356,113
350,345,285
345,346,113
346,347,113
347,348,113
348,349,113
334,335,113
406,405,162.8
352,353,113
353,354,113
354,355,113
356,357,113
357,358,113
368,370,113
371,372,113
372,373,126.6
373,374,113
372,378,113
378,379,113
379,380,113
380,381,113
381,382,113
372,376,226.2
376,384,226.2
384,383,113
378,377,113
396001,397,113
397,398,113
400,401,113
401,402,113
402,403,113
18,11,113
11,10,113
9,8,113
18,15,113
15,13,113
12,14,126.6
14,6,126.6
6,5,126.6
5,8,113
13,12,144.6
15,16,113
15,17,113
601,384,226.2
601,385,226.2
385,387,126.6
387,388,126.6
388,389,113
389,390,113
390,391,126.6
391,392,126.6
392,393,113
393,394,113
394,395,113
395,396,113
4,2,113
2,3,113
2,1,113
250,250003,285
4,8,113
8,7,113
32,34,113
235,235001,113
106,82,361.8
180004,266,113
258001,259001,113
82,228,113
227,229,361.8
227,215001,361.8
319,315,113
59,63,113
63,67,113
260001,262,113
23,22,113
115,108,113
213,234,113
288,291,180.8
319,322,113
325,330,226.2
336,337,144.6
334,345,226.2
152,153,113
256001,258001,180.8
258001,257001,180.8
257001,264,162.8
264,260001,162.8
265,268,113
268,274,113
274,277,113
405,404,144.6
400,399,113
404,399,162.8
399,396001,113
220,215001,113
75,73,113
83,84,113
83,86,285
86,87,285
89,87,285
229,75,285
202001,82,361.8
250001,412,361.8
43,417,452.2
269,271,113
234001,235,113
234001,238,144.6
238,240,113
239,189,162.8
250002,44,285
43,422,361.8
250004,413,113
23,24,113
24,24001,113
24001,25,113
46001,45001,226.2
71,71001,113
71001,72,113
127,127001,285
127001,128,113
301001,366,113
365,301001,126.6
301001,301,113
303,304,113
304,305,113
422,180,361.8
322,324,113
385,88,285
13,385,144.6
123,82,113
135,141,226.2
150,71,113
370,371,113
256001,254,180.8
266,38,113
