Source,Target,Weight
126,125001,65
125001,125,260
125,124,164
124,106,250
106,161,100
161,162,68
162,163,164
163,164,164
163,165,65
165,166,98
166,168,145
165,170,96
170,171001,181
171001,171,92
171,172,100
171001,173,177
173,179,159
173,174,155
179,179001,168
179,177,103
168,169,113
124,127,850
128,129,149
129,130,175
127001,131001,500
131,132,134
131001,131,164
131,133,137
133,134,223
131001,135,394
135,136,191
136,137,440
136,138,459
136,139,184
141,143,300
143,144,116
144,145,198
141,142,510
141,140001,127
140001,151,189
151,152,95
124,107,250
107,108,375
108,109,100
109,110,231
110,111,61
110,112,282
112,113,88
113,114,134
115,116,40
116,117,189
119,118,225
117,119,201
106,105,66
105,102,78
102,100,197
100,101,197
102,103,177
103,104,85
100,96,222
96,97,288
97,98,130
98,99,127
96,93,96
93,94,110
94,95,205
93,92,176
92,91,300
91,160,500
160,159001,119
159001,159,228
159,156,295
156,157,191
157,158,129
156,155,152
155,154,115
155,153,444
55,59,580
59,60,350
60,61,209
60,62,212
141,147,455
147,148,250
148,150,168
148,149,145
63,64,172
64,65,110
65,66,250
67,68,148
68,69,123
68,70,139
70,71,210
55,56,159
56,57,144
57,58,148
52,53,161
53,54,267
55,52,320
52,46001,444
46001,50,184
50,51,322
46001,47,228
47,48,129
48,49,254
41,42,224
42,45,202
45,46,162
45001,41,435
41,35,488
35,36,179
36,39,137
39,40,160
36,37,168
35,31,350
31,32,246
32,33,100
91,90,750
90,89,250
31,28,250
28001,28,200
28,29,273
29,30,205
90,28001,200
28001,27,312
27,26,308
26,23,40
83,77,346
77,81,334
81,78,73
78,79,114
79,80,93
84,85,161
115,120,221
120,121,150
121,122,254
122,123,160
77,75,400
77,76,66
73,74,127
219,220,105
220,221,187
221,222,86
222,223,126
221,223001,250
223001,224,116
224,225,269
225,226,42
215,214,329
214,216,145
216,217,56
216,218,171
214,203,236
215001,202001,264
203,204,108
204,205,125
204,211,190
211,212,269
205,206,227
206,207,110
207,208,110
208,213,140
208,209,284
209,210,298
203,201,200
201,200001,150
200001,199,193
234,230,73
230,231,156
231,232,132
232,233,106
199,196,160
196,197,225
197,198,93
199,192,325
192,194,106
194,195,194
192,193,103
234,234001,149
236,237,138
237,238,146
238,239,147
192,190001,398
190001,190,131
187,186,38
186,185,78
187,188,287
188,189,253
235001,241,215
241,242,170
241,243,135
243,244,145
244,245,254
182,183,103
183,184,85
187,182,600
182,249,300
249,248,100
248,247,306
247,246,256
246,245,239
180001,249,450
180001,181,130
187,190,268
190,191,70
180004,180003,471
180002,180003,176
180,180001,190
199,200,158
202001,284,206
287,286,83
286,285,165
285,284,69
202001,38,200
274,275,90
275,276,137
268,269,58
271,270,107
318,317,118
317,316,177
316,315,153
315,313,133
313,314,170
313,312,210
312,310,165
310,311,115
310,309,163
309,297,100
297,298,110
298,299,182
297,296,93
296,294,151
294,293,85
293,229,300
293,291,250
296,295,132
288,289,211
289,290,69
288,282,400
282,277,259
277,278,155
278,279,187
279,280,222
280,281,82
271,272,220
271,273,300
268,260001,270
262,261,78
262,263,90
255,258,123
258,259,86
259,260,81
255,256,51
256,257,212
255,254,400
421,180002,218
420,421,109
419,420,55
418,419,214
416,418,145
417,416,329
416,415,372
415,250001,368
415,414,96
414,413,79
22,21,181
21,19,320
19,18,236
319,320,63
21,20,164
297,302,280
302,303,103
305,306,150
306,307,46
320,321,314
322,323,264
301,300,229
324,368,265
368,367,51
367,369,87
365,325,363
365,362,163
362,361,136
361,360001,200
360001,360,59
360,359,59
366,364,81
364,363,142
325,327,248
327,326,110
327,328,66
328,329,99
330,334,415
324,331,1450
331,333,350
333,336,400
331,332,68
254,250,459
250,341,310
341,340,169
340,338,176
338,337,392
338,339,246
341,342,87
342,343,64
343,344,233
250,251,90
251,252,174
252,253,51
250002,250003,108
412,411,190
411,410,293
410,409,168
409,408,317
408,407001,342
407001,406,415
407001,350,142
407,350,183
350,350001,131
350001,351,75
350001,352,362
350001,356,392
350,345,236
345,346,168
346,347,263
347,348,84
348,349,50
334,335,182
406,405,158
352,353,102
353,354,69
354,355,121
356,357,81
357,358,96
368,370,87
371,372,195
372,373,209
373,374,67
372,378,55
378,379,167
379,380,81
380,381,225
381,382,44
372,376,90
376,384,286
384,383,146
378,377,170
396001,397,222
397,398,31
400,401,69
401,402,297
402,403,83
18,11,77
11,10,130
9,8,257
18,15,720
15,13,351
12,14,188
14,6,159
6,5,189
5,8,83
13,12,200
15,16,94
15,17,128
601,384,67
601,385,170
385,387,176
387,388,105
388,389,136
389,390,128
390,391,40
391,392,65
392,393,83
393,394,257
394,395,85
395,396,151
4,2,326
2,3,135
2,1,222
250,250003,225
4,8,101
8,7,101
32,34,149
235,235001,218
106,82,569
180004,266,816
258001,259001,320
82,228,74
227,229,150
227,215001,317
319,315,262
59,63,314
63,67,419
260001,262,345
23,22,671
115,108,421
213,234,700
288,291,603
319,322,477
