,Source,Target,Weight
0,126.0,125001.0,7345.0
1,125001.0,125.0,29380.0
2,125.0,124.0,18532.0
3,124.0,106.0,71250.0
4,106.0,161.0,16280.000000000002
5,161.0,162.0,11070.400000000001
6,162.0,163.0,26699.2
7,163.0,164.0,18532.0
8,163.0,165.0,9399.0
9,165.0,166.0,11074.0
10,166.0,168.0,16385.0
11,165.0,170.0,13881.599999999999
12,170.0,171001.0,22914.6
13,171001.0,171.0,10396.0
14,171.0,172.0,11300.0
15,171001.0,173.0,22408.2
16,173.0,179.0,17967.0
17,173.0,174.0,17515.0
18,179.0,179001.0,18984.0
19,179.0,177.0,11639.0
20,168.0,169.0,12769.0
21,124.0,127.0,242250.0
22,128.0,129.0,16837.0
23,129.0,130.0,19775.0
24,127001.0,131001.0,142500.0
25,131.0,132.0,15142.0
26,131001.0,131.0,18532.0
27,131.0,133.0,15481.0
28,133.0,134.0,25199.0
29,131001.0,135.0,112290.0
30,135.0,136.0,21583.0
31,136.0,137.0,49720.0
32,136.0,138.0,51867.0
33,136.0,139.0,20792.0
34,141.0,143.0,33900.0
35,143.0,144.0,13108.0
36,144.0,145.0,22374.0
37,141.0,142.0,57630.0
38,141.0,140001.0,18364.2
39,140001.0,151.0,27329.399999999998
40,151.0,152.0,10735.0
41,124.0,107.0,28250.0
42,107.0,108.0,42375.0
43,108.0,109.0,11300.0
44,109.0,110.0,26103.0
45,110.0,111.0,6893.0
46,110.0,112.0,31866.0
47,112.0,113.0,9944.0
48,113.0,114.0,15142.0
49,115.0,116.0,4520.0
50,116.0,117.0,21357.0
51,119.0,118.0,25425.0
52,117.0,119.0,22713.0
53,106.0,105.0,8355.6
54,105.0,102.0,9874.8
55,102.0,100.0,24940.199999999997
56,100.0,101.0,22261.0
57,102.0,103.0,20001.0
58,103.0,104.0,9605.0
59,100.0,96.0,25086.0
60,96.0,97.0,32544.0
61,97.0,98.0,14690.0
62,98.0,99.0,14351.0
63,96.0,93.0,10848.0
64,93.0,94.0,12430.0
65,94.0,95.0,23165.0
66,93.0,92.0,19888.0
67,92.0,91.0,33900.0
68,91.0,160.0,56500.0
69,160.0,159001.0,13447.0
70,159001.0,159.0,25764.0
71,159.0,156.0,33335.0
72,156.0,157.0,21583.0
73,157.0,158.0,14577.0
74,156.0,155.0,17176.0
75,155.0,154.0,12995.0
76,155.0,153.0,50172.0
77,55.0,59.0,65540.0
78,59.0,60.0,39550.0
79,60.0,61.0,23617.0
80,60.0,62.0,23956.0
81,141.0,147.0,74074.0
82,147.0,148.0,36150.0
83,148.0,150.0,24292.8
84,148.0,149.0,16385.0
85,63.0,64.0,19436.0
86,64.0,65.0,12430.0
87,65.0,66.0,28250.0
88,67.0,68.0,16724.0
89,68.0,69.0,13899.0
90,68.0,70.0,15707.0
91,70.0,71.0,26586.0
92,55.0,56.0,17967.0
93,56.0,57.0,16272.0
94,57.0,58.0,16724.0
95,52.0,53.0,18193.0
96,53.0,54.0,30171.0
97,55.0,52.0,52096.0
98,52.0,46001.0,72283.20000000001
99,46001.0,50.0,20792.0
100,50.0,51.0,36386.0
101,46001.0,47.0,25764.0
102,47.0,48.0,14577.0
103,48.0,49.0,28702.0
104,41.0,42.0,25312.0
105,42.0,45.0,22826.0
106,45.0,46.0,18306.0
107,45001.0,41.0,78648.0
108,41.0,35.0,110385.59999999999
109,35.0,36.0,20227.0
110,36.0,39.0,15481.0
111,39.0,40.0,18080.0
112,36.0,37.0,18984.0
113,35.0,31.0,79170.0
114,31.0,32.0,27798.0
115,32.0,33.0,11300.0
116,91.0,90.0,84750.0
117,90.0,89.0,71250.0
118,31.0,28.0,56550.0
119,28001.0,28.0,45240.0
120,28.0,29.0,30849.0
121,29.0,30.0,23165.0
122,90.0,28001.0,45240.0
123,28001.0,27.0,35256.0
124,27.0,26.0,34804.0
125,26.0,23.0,4520.0
126,83.0,77.0,98610.0
127,77.0,81.0,37742.0
128,81.0,78.0,8249.0
129,78.0,79.0,12882.0
130,79.0,80.0,10509.0
131,84.0,85.0,18193.0
132,115.0,120.0,24973.0
133,120.0,121.0,16950.0
134,121.0,122.0,28702.0
135,122.0,123.0,18080.0
136,77.0,75.0,114000.0
137,77.0,76.0,7458.0
138,73.0,74.0,14351.0
139,219.0,220.0,11865.0
140,220.0,221.0,21131.0
141,221.0,222.0,9718.0
142,222.0,223.0,14238.0
143,221.0,223001.0,28250.0
144,223001.0,224.0,13108.0
145,224.0,225.0,30397.0
146,225.0,226.0,4746.0
147,215.0,214.0,37177.0
148,214.0,216.0,16385.0
149,216.0,217.0,6328.0
150,216.0,218.0,19323.0
151,214.0,203.0,26668.0
152,215001.0,202001.0,95515.2
153,203.0,204.0,15616.8
154,204.0,205.0,15825.0
155,204.0,211.0,21470.0
156,211.0,212.0,30397.0
157,205.0,206.0,28738.199999999997
158,206.0,207.0,13926.0
159,207.0,208.0,12430.0
160,208.0,213.0,15820.0
161,208.0,209.0,32092.0
162,209.0,210.0,33674.0
163,203.0,201.0,45240.0
164,201.0,200001.0,33930.0
165,200001.0,199.0,55005.0
166,234.0,230.0,10555.8
167,230.0,231.0,19749.6
168,231.0,232.0,14916.0
169,232.0,233.0,11978.0
170,199.0,196.0,18080.0
171,196.0,197.0,25425.0
172,197.0,198.0,10509.0
173,199.0,192.0,92625.0
174,192.0,194.0,11978.0
175,194.0,195.0,21922.0
176,192.0,193.0,11639.0
177,234.0,234001.0,21545.399999999998
178,236.0,237.0,15594.0
179,237.0,238.0,16498.0
180,238.0,239.0,23931.600000000002
181,192.0,190001.0,113430.0
182,190001.0,190.0,37335.0
183,187.0,186.0,4294.0
184,186.0,185.0,8814.0
185,187.0,188.0,51889.600000000006
186,188.0,189.0,45742.4
187,235001.0,241.0,24295.0
188,241.0,242.0,19210.0
189,241.0,243.0,15255.0
190,243.0,244.0,18357.0
191,244.0,245.0,32156.399999999998
192,182.0,183.0,11639.0
193,183.0,184.0,9605.0
194,187.0,182.0,217080.0
195,182.0,249.0,108540.0
196,249.0,248.0,16280.000000000002
197,248.0,247.0,44247.6
198,247.0,246.0,37017.6
199,246.0,245.0,30257.399999999998
200,180001.0,249.0,162810.0
201,180001.0,181.0,14690.0
202,187.0,190.0,76380.0
203,190.0,191.0,7910.0
204,180004.0,180003.0,53223.0
205,180002.0,180003.0,19888.0
206,180.0,180001.0,68742.0
207,199.0,200.0,17854.0
208,202001.0,284.0,23278.0
209,287.0,286.0,9379.0
210,286.0,285.0,18645.0
211,285.0,284.0,7797.0
212,202001.0,38.0,90440.0
213,274.0,275.0,10170.0
214,275.0,276.0,15481.0
215,268.0,269.0,6554.0
216,271.0,270.0,12091.0
217,318.0,317.0,13334.0
218,317.0,316.0,20001.0
219,316.0,315.0,17289.0
220,315.0,313.0,16837.8
221,313.0,314.0,19210.0
222,313.0,312.0,26586.0
223,312.0,310.0,20889.0
224,310.0,311.0,12995.0
225,310.0,309.0,23569.8
226,309.0,297.0,14460.0
227,297.0,298.0,12430.0
228,298.0,299.0,20566.0
229,297.0,296.0,15140.400000000001
230,296.0,294.0,24582.800000000003
231,294.0,293.0,15368.000000000002
232,293.0,229.0,85500.0
233,293.0,291.0,45200.0
234,296.0,295.0,14916.0
235,288.0,289.0,23843.0
236,289.0,290.0,7797.0
237,288.0,282.0,65120.00000000001
238,282.0,277.0,42165.200000000004
239,277.0,278.0,22413.0
240,278.0,279.0,23674.2
241,279.0,280.0,25086.0
242,280.0,281.0,9266.0
243,271.0,272.0,24860.0
244,271.0,273.0,33900.0
245,268.0,260001.0,39042.0
246,262.0,261.0,8814.0
247,262.0,263.0,10170.0
248,255.0,258.0,13899.0
249,258.0,259.0,9718.0
250,259.0,260.0,9153.0
251,255.0,256.0,5763.0
252,256.0,257.0,23956.0
253,255.0,254.0,57840.0
254,421.0,180002.0,24634.0
255,420.0,421.0,12317.0
256,419.0,420.0,6215.0
257,418.0,419.0,27092.399999999998
258,416.0,418.0,20967.0
259,417.0,416.0,119032.2
260,416.0,415.0,134589.6
261,415.0,250001.0,133142.4
262,415.0,414.0,10848.0
