 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
1,47.217370,47.217540,47.217540,47.217540,47.217540,47.217540,47.217540,47.217540,47.217540,47.217540,47.217540,
2,47.223980,47.224150,47.224150,47.224150,47.224150,47.224150,47.224150,47.224150,47.224150,47.224150,47.224150,
3,47.235390,47.235560,47.235560,47.235560,47.235560,47.235560,47.235560,47.235560,47.235560,47.235560,47.235560,
4,47.214110,47.214280,47.214280,47.214280,47.214280,47.214280,47.214280,47.214280,47.214280,47.214280,47.214280,
5,47.170850,47.171020,47.171020,47.171020,47.171020,47.171020,47.171020,47.171020,47.171020,47.171020,47.171020,
6,47.102080,47.102250,47.102250,47.102250,47.102250,47.102250,47.102250,47.102250,47.102250,47.102250,47.102250,
7,47.085590,47.085760,47.085760,47.085760,47.085760,47.085760,47.085760,47.085760,47.085760,47.085760,47.085760,
8,47.094810,47.094990,47.094990,47.094990,47.094990,47.094990,47.094990,47.094990,47.094990,47.094990,47.094990,
9,47.082980,47.083150,47.083150,47.083150,47.083150,47.083150,47.083150,47.083150,47.083150,47.083150,47.083150,
10,47.081500,47.081670,47.081670,47.081670,47.081670,47.081670,47.081670,47.081670,47.081670,47.081670,47.081670,
11,47.076310,47.076480,47.076480,47.076480,47.076480,47.076480,47.076480,47.076480,47.076480,47.076480,47.076480,
12,47.074970,47.075140,47.075140,47.075140,47.075140,47.075140,47.075140,47.075140,47.075140,47.075140,47.075140,
13,50.204700,50.204880,50.204880,50.204880,50.204880,50.204880,50.204880,50.204880,50.204880,50.204880,50.204880,
14,47.072520,47.072690,47.072690,47.072690,47.072690,47.072690,47.072690,47.072690,47.072690,47.072690,47.072690,
15,47.070540,47.070710,47.070710,47.070710,47.070710,47.070710,47.070710,47.070710,47.070710,47.070710,47.070710,
16,47.059040,47.059220,47.059220,47.059220,47.059220,47.059220,47.059220,47.059220,47.059220,47.059220,47.059220,
17,47.059300,47.059470,47.059470,47.059470,47.059470,47.059470,47.059470,47.059470,47.059470,47.059470,47.059470,
18,47.068450,47.068620,47.068620,47.068620,47.068620,47.068620,47.068620,47.068620,47.068620,47.068620,47.068620,
19,47.072620,47.072800,47.072800,47.072800,47.072800,47.072800,47.072800,47.072800,47.072800,47.072800,47.072800,
20,47.081290,47.081460,47.081460,47.081460,47.081460,47.081460,47.081460,47.081460,47.081460,47.081460,47.081460,
21,47.081860,47.082030,47.082030,47.082030,47.082030,47.082030,47.082030,47.082030,47.082030,47.082030,47.082030,
22,47.084510,47.084680,47.084680,47.084680,47.084680,47.084680,47.084680,47.084680,47.084680,47.084680,47.084680,
23,47.099200,47.099370,47.099370,47.099370,47.099370,47.099370,47.099370,47.099370,47.099370,47.099370,47.099370,
24,47.109710,47.109880,47.109880,47.109880,47.109880,47.109880,47.109880,47.109880,47.109880,47.109880,47.109880,
25,47.149210,47.149380,47.149380,47.149380,47.149380,47.149380,47.149380,47.149380,47.149380,47.149380,47.149380,
26,47.225270,47.225440,47.225440,47.225440,47.225440,47.225440,47.225440,47.225440,47.225440,47.225440,47.225440,
27,47.314890,47.315060,47.315060,47.315060,47.315060,47.315060,47.315060,47.315060,47.315060,47.315060,47.315060,
28,47.606910,47.607080,47.607080,47.607080,47.607080,47.607080,47.607080,47.607080,47.607080,47.607080,47.607080,
29,48.023240,48.023410,48.023410,48.023410,48.023410,48.023410,48.023410,48.023410,48.023410,48.023410,48.023410,
30,48.226200,48.226370,48.226370,48.226370,48.226370,48.226370,48.226370,48.226370,48.226370,48.226370,48.226370,
31,47.960200,47.960370,47.960370,47.960370,47.960370,47.960370,47.960370,47.960370,47.960370,47.960370,47.960370,
32,47.394600,47.394780,47.394780,47.394780,47.394780,47.394780,47.394780,47.394780,47.394780,47.394780,47.394780,
33,47.245810,47.245980,47.245980,47.245980,47.245980,47.245980,47.245980,47.245980,47.245980,47.245980,47.245980,
34,47.419450,47.419620,47.419620,47.419620,47.419620,47.419620,47.419620,47.419620,47.419620,47.419620,47.419620,
