Source,Target,Diff1,Diff2,Diff3,Diff4,Diff5,Diff6,Diff7,Diff8,Diff9,Diff10,Diff11,Diff12,Diff13,Diff14,Diff15,Diff16,Diff17,Diff18,Diff19,Diff20,Diff21,Diff22,Diff23,Diff24,Diff25,Diff26,Diff27,Diff28,Diff29,Diff30,Diff31,Diff32,Diff33,Diff34,Diff35,Diff36,Diff37,Diff38,Diff39,Diff40,Diff41,Diff42,Diff43,Diff44,Diff45,Diff46,Diff47,Diff48,Diff49,Diff50,Diff51,Diff52,Diff53,Diff54,Diff55,Diff56,Diff57,Diff58,Diff59,Diff60,Diff61,Diff62,Diff63,Diff64,Diff65,Diff66,Diff67,Diff68,Diff69,Diff70,Diff71,Diff72,Diff73,Diff74,Diff75,Diff76,Diff77,Diff78,Diff79,Diff80,Diff81,Diff82,Diff83,Diff84,Diff85,Diff86,Diff87,Diff88,Diff89,Diff90,Diff91,Diff92,Diff93,Diff94,Diff95,Diff96,Diff97,Diff98,Diff99,Diff100,Diff101,Diff102,Diff103,Diff104,Diff105,Diff106,Diff107,Diff108,Diff109,Diff110,Diff111,Diff112,Diff113
2,1,0.27455,-0.50545,-0.19545,0.10455,0.08455,0.05455,0.05455,0.05455,0.05455,0.05455,0.05455,0.05455,0.00455,0.05455,0.05455,0.05387,0.05387,0.05387,0.05383,0.05325,0.05346,0.05382,0.05371,0.05358,0.05113,0.04803,-0.04656,-0.03314,-0.0153,-0.00686,0.00455,-0.00545,-0.00545,-0.04545,0.04455,0.04455,0.05455,0.05455,0.05455,0.05455,0.05455,0.05455,0.04455,0.02455,0.01455,0.00455,0.00455,0.00455,0.04455,0.05455,0.05455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,-0.00545,-0.00545,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00455,0.00145,0.00142,0,0.00084,0.00046,0.00068,0.00077,0.00076,0.00086,0.00075,0.00075,0.00075,0.00604,0.00075,0.00075,0.00075,0.05294,0.00075,0.00455,0.00455,0.00075,0,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00073,0.00075,0.00075,0,0,0,0,0,0.04833,0.0015,0.00075
2,3,-0.27448,-0.52448,0.19552,-0.10448,-0.08448,-0.05448,-0.05448,-0.05448,-0.05448,-0.05448,-0.05448,-0.05448,-0.00448,-0.05448,-0.05448,-0.05387,-0.05387,-0.05387,-0.05382,-0.05325,-0.05346,-0.05381,-0.0537,-0.05357,-0.05112,-0.04796,0.04656,0.03314,0.0153,0.00686,-0.00448,0.00552,0.00552,0.04552,-0.04448,-0.04448,-0.05448,-0.05448,-0.05448,-0.05448,-0.05448,-0.05448,-0.04448,-0.02448,-0.01448,-0.00448,-0.00448,-0.00448,-0.04448,-0.05448,-0.05448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,0.00552,0.00552,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00448,-0.00138,-0.00135,0,-0.00084,-0.00046,-0.00068,-0.00077,-0.00076,-0.00079,-0.00075,-0.00075,-0.00075,-0.00604,-0.00075,-0.00075,-0.00075,-0.05294,-0.00075,-0.00448,-0.00448,-0.00075,0,-0.00075,-0.00075,-0.00075,-0.00075,-0.00075,-0.00075,-0.00075,-0.00074,-0.00073,-0.00075,-0.00074,0,0,0,0,0,-0.04833,-0.00143,-0.00075
4,3,-0.05756,0.14244,0.39244,-0.19756,-0.16756,-0.11756,-0.10756,-0.10756,-0.10756,-0.10756,-0.10756,-0.10756,0.00244,-0.10756,-0.10756,-0.10711,-0.10711,-0.10711,-0.10702,-0.10587,-0.10628,-0.10699,-0.10678,-0.10652,-0.10165,-0.09543,0.09256,0.06589,0.03042,0.01364,-0.00756,0.01244,0.01244,0.08244,-0.08756,-0.09756,-0.09756,-0.09756,-0.10756,-0.09756,-0.09756,-0.09756,-0.09756,-0.05756,-0.01756,-0.00756,-0.01756,-0.01756,-0.09756,-0.09756,-0.09756,-0.00756,0.00244,-0.00756,-0.00756,-0.00756,-0.00756,-0.00756,0.00244,0.01244,0.00244,0.00244,0.00244,0.00244,-0.00756,-0.00756,-0.00756,-0.00756,-0.00756,-0.00756,-0.00756,-0.00756,-0.0028,-0.00276,0,-0.00168,-0.00091,-0.00134,-0.00153,-0.0015,-0.00164,-0.00149,-0.00149,-0.00149,-0.012,-0.00149,-0.00149,-0.00149,-0.10526,-0.00149,0.00244,0.00244,-0.00149,0,-0.00149,-0.00149,-0.00149,-0.00149,-0.00149,-0.00149,-0.00149,-0.00148,-0.00145,-0.00149,-0.00148,0,0,0,0,0,-0.0961,-0.00292,-0.00149
1,4,-0.75531,-0.50531,-0.19531,0.10469,0.08469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.00469,0.05469,0.05469,0.05389,0.05389,0.05389,0.05384,0.05327,0.05348,0.05383,0.05372,0.05359,0.05114,0.04817,-0.04656,-0.03314,-0.0153,-0.00686,0.00469,-0.00531,-0.00531,-0.04531,0.04469,0.04469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.04469,0.02469,0.00469,0.00469,0.00469,0.00469,0.04469,0.05469,0.05469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,-0.00531,-0.00531,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00158,0.00156,0,0.00085,0.00046,0.00068,0.00078,0.00076,0.001,0.00076,0.00076,0.00076,0.00604,0.00076,0.00076,0.00076,0.05296,0.00076,0.00469,0.00469,0.00075,0,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00075,0.00073,0.00075,0.00075,0,0,0,0,0,0.04835,0.00164,0.00076
4,5,-0.19131,-0.18131,-0.17131,-0.19131,0.64869,0.25869,0.23869,0.22869,0.21869,0.21869,0.20869,0.20869,-0.00131,0.20869,0.20869,0.20964,0.20963,0.20959,0.20913,0.20347,0.20509,0.20749,0.20086,0.18368,0.0673,-0.0856,-0.09908,-0.071,-0.03373,-0.0161,0.00869,-0.06131,-0.06131,-0.09131,0.05869,0.14869,0.17869,0.18869,0.18869,0.18869,0.17869,0.17869,0.15869,0.08869,0.02869,0.00869,0.01869,0.01869,0.16869,0.17869,0.18869,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.01131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,-0.00131,0.00325,0.00321,0,0.00198,0.00107,0.00158,0.00181,0.00177,0.00189,0.00177,0.00177,0.00177,-0.09212,0.00177,0.00177,0.00177,0.1538,0.00177,-0.00131,-0.00131,0.00177,0,0.00177,0.00176,0.00177,0.00177,0.00176,0.00177,0.00175,0.00174,0.00171,0.00176,0.00174,0,0,0,0,0,0.16608,0.00339,0.00177
5,6,-0.19531,-0.18531,-0.17531,-0.19531,-0.38531,0.25469,0.23469,0.22469,0.21469,0.22469,0.21469,0.21469,0.00469,0.20469,0.21469,0.20964,0.20963,0.20959,0.20914,0.20348,0.2051,0.2075,0.20086,0.18369,0.06729,-0.0856,-0.09908,-0.071,-0.03373,-0.0161,0.00469,-0.05531,-0.05531,-0.08531,0.06469,0.14469,0.18469,0.18469,0.19469,0.18469,0.18469,0.17469,0.15469,0.09469,0.02469,0.01469,0.01469,0.01469,0.17469,0.18469,0.18469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,-0.00531,-0.00531,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00325,0.00321,1.00E-05,0.00198,0.00107,0.00159,0.00181,0.00177,0.00189,0.00177,0.00176,0.00176,-0.09211,0.00176,0.00177,0.00176,0.1538,0.00176,0.00469,0.00469,0.00176,1.00E-05,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00176,0.00175,0.00171,0.00176,0.00175,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.16608,0.00339,0.00177
7,6,0.05341,0.05341,0.04341,0.05341,0.08341,0.13341,-0.54659,-0.01659,-0.18659,-0.27659,-0.17659,-0.19659,0.00341,-0.17659,-0.17659,-0.17319,-0.17311,-0.17246,-0.17204,-0.14379,-0.14477,-0.13687,-0.04501,0.02285,0.0275,0.03343,0.03177,0.02259,0.01081,0.00523,0.00341,0.02341,0.02341,0.02341,-0.00659,-0.02659,-0.06659,-0.09659,-0.10659,-0.09659,-0.08659,-0.06659,-0.05659,-0.03659,-0.00659,-0.00659,-0.00659,-0.00659,-0.07659,-0.08659,-0.09659,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,0.00341,-0.00102,-0.001,0,-0.00065,-0.00035,-0.00052,-0.0006,-0.00058,-0.00057,-0.00058,-0.00058,-0.00058,0.03428,-0.00058,-0.00058,-0.00058,0.02396,-0.00058,0.00341,0.00341,-0.00058,0,-0.00058,-0.00058,-0.00058,-0.00058,-0.00057,-0.00058,-0.00057,-0.00057,-0.00056,-0.00057,-0.00057,0,0,0,0,0,-0.06256,-0.00106,-0.00058
6,8,-0.08349,-0.08349,-0.08349,-0.08349,-0.14349,-0.27349,-0.05349,0.39651,0.17651,0.11651,0.15651,0.14651,-0.00349,0.14651,0.14651,0.1514,0.15143,0.15176,0.14997,0.14998,0.15376,0.16365,0.17205,-0.01121,-0.02961,-0.0543,-0.05308,-0.03807,-0.01819,-0.00876,0.00651,-0.03349,-0.03349,-0.04349,0.01651,0.05651,0.12651,0.13651,0.13651,0.12651,0.12651,0.11651,0.08651,0.05651,0.01651,0.00651,0.00651,0.00651,0.10651,0.12651,0.12651,0.00651,-0.00349,0.00651,0.00651,0.00651,0.00651,0.00651,-0.00349,-0.00349,-0.00349,-0.00349,-0.00349,-0.00349,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00651,0.00168,0.00166,1.00E-05,0.00109,0.00059,0.00087,0.001,0.00097,0.00094,0.00097,0.00097,0.00097,-0.05435,0.00097,0.00097,0.00097,-0.01589,0.00097,-0.00349,-0.00349,0.00097,1.00E-05,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00096,0.00094,0.00097,0.00096,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.1033,0.00176,0.00097
8,9,-0.03875,-0.03875,-0.03875,-0.03875,-0.05875,-0.07875,0.10125,-0.24875,0.31125,0.24125,0.23125,0.23125,0.00125,0.22125,0.22125,0.2194,0.2194,0.21945,0.21391,0.17965,0.18483,0.18169,-0.02798,-0.03727,-0.03403,-0.02922,-0.02661,-0.01871,-0.00896,-0.00436,0.00125,-0.01875,-0.01875,-0.01875,0.00125,0.01125,0.04125,0.10125,0.12125,0.11125,0.09125,0.06125,0.04125,0.03125,0.00125,0.00125,0.00125,0.00125,0.07125,0.09125,0.10125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00082,0.00081,1.00E-05,0.00056,0.0003,0.00044,0.00051,0.00049,0.00045,0.00049,0.00049,0.00049,-0.03064,0.00049,0.00049,0.00049,-0.03633,0.00049,0.00125,0.00125,0.00049,1.00E-05,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,0.00048,0.00049,0.00049,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.05344,0.00086,0.00049
7,10,-0.04931,-0.04931,-0.04931,-0.04931,-0.07931,-0.13931,-0.47931,0.02069,0.18069,0.27069,0.18069,0.20069,0.00069,0.17069,0.18069,0.17349,0.17341,0.17278,0.17214,0.14388,0.1448,0.1369,0.04501,-0.02285,-0.02751,-0.03333,-0.03178,-0.0226,-0.01081,-0.00524,0.00069,-0.01931,-0.01931,-0.02931,0.00069,0.02069,0.06069,0.10069,0.10069,0.10069,0.09069,0.07069,0.05069,0.03069,0.01069,0.00069,0.01069,0.01069,0.07069,0.09069,0.10069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00069,0.00112,0.0011,0,0.00065,0.00035,0.00052,0.00059,0.00058,0.00067,0.00057,0.00057,0.00057,-0.03428,0.00057,0.00057,0.00057,-0.02397,0.00057,0.00069,0.00069,0.00057,0,0.00057,0.00057,0.00057,0.00057,0.00057,0.00057,0.00057,0.00057,0.00056,0.00057,0.00057,0,0,0,0,0,0.06255,0.00116,0.00057
