Source,Target,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2,1,-0.016594367,-0.01653813,-0.016481906,-0.016425684,-0.016481906,-0.01653813,-0.016594356,-0.016650582,-0.016706815,-0.016763061,-0.016706815,-0.016650582,-0.016594356,-0.01653813,-0.016481906,-0.016425684,-0.016481906,-0.01653813,-0.016594356,-0.016650582,-0.016706815,-0.016763061,-0.016706815,-0.016650582,-0.016594356,-0.01653813,-0.016481906,-0.016425684,-0.016481906,-0.01653813,-0.016594356,-0.016650582,-0.016706815,-0.016763061,-0.016706815,-0.016650582,-0.016594356,-0.01653813,-0.016481906,-0.016425684,-0.016481906,-0.01653813,-0.016594356,-0.016650582,-0.016706815,-0.016763061,-0.016706815,-0.016650582,-0.016594356
2,3,-0.026137233,-0.026048861,-0.025960263,-0.025871666,-0.025960263,-0.026048861,-0.02613746,-0.026226059,-0.02631466,-0.02640327,-0.02631466,-0.026226059,-0.02613746,-0.026048861,-0.025960263,-0.025871666,-0.025960263,-0.026048861,-0.02613746,-0.026226059,-0.02631466,-0.02640327,-0.02631466,-0.026226059,-0.02613746,-0.026048861,-0.025960263,-0.025871666,-0.025960263,-0.026048861,-0.02613746,-0.026226059,-0.02631466,-0.02640327,-0.02631466,-0.026226059,-0.02613746,-0.026048861,-0.025960263,-0.025871666,-0.025960263,-0.026048861,-0.02613746,-0.026226059,-0.02631466,-0.02640327,-0.02631466,-0.026226059,-0.02613746
4,3,-0.007277166,-0.007258487,-0.007233842,-0.007209153,-0.007233842,-0.007258531,-0.00728322,-0.007307909,-0.007332598,-0.007357287,-0.007332598,-0.007307909,-0.00728322,-0.007258531,-0.007233842,-0.007209153,-0.007233842,-0.007258531,-0.00728322,-0.007307909,-0.007332598,-0.007357287,-0.007332598,-0.007307909,-0.00728322,-0.007258531,-0.007233842,-0.007209153,-0.007233842,-0.007258531,-0.00728322,-0.007307909,-0.007332598,-0.007357287,-0.007332598,-0.007307909,-0.00728322,-0.007258531,-0.007233842,-0.007209153,-0.007233842,-0.007258531,-0.00728322,-0.007307909,-0.007332598,-0.007357287,-0.007332598,-0.007307909,-0.00728322
1,4,-0.01039221,-0.010352174,-0.010316918,-0.010281706,-0.010316918,-0.010352129,-0.010387341,-0.010422552,-0.010457763,-0.010492974,-0.010457763,-0.010422552,-0.010387341,-0.010352129,-0.010316918,-0.010281706,-0.010316918,-0.010352129,-0.010387341,-0.010422552,-0.010457763,-0.010492974,-0.010457763,-0.010422552,-0.010387341,-0.010352129,-0.010316918,-0.010281706,-0.010316918,-0.010352129,-0.010387341,-0.010422552,-0.010457763,-0.010492974,-0.010457763,-0.010422552,-0.010387341,-0.010352129,-0.010316918,-0.010281706,-0.010316918,-0.010352129,-0.010387341,-0.010422552,-0.010457763,-0.010492974,-0.010457763,-0.010422552,-0.010387341
4,5,-0.023099625,-0.023020139,-0.02294184,-0.02286354,-0.02294184,-0.02302014,-0.02309844,-0.023176739,-0.023255039,-0.023333339,-0.023255039,-0.023176739,-0.02309844,-0.02302014,-0.02294184,-0.02286354,-0.02294184,-0.02302014,-0.02309844,-0.023176739,-0.023255039,-0.023333339,-0.023255039,-0.023176739,-0.02309844,-0.02302014,-0.02294184,-0.02286354,-0.02294184,-0.02302014,-0.02309844,-0.023176739,-0.023255039,-0.023333339,-0.023255039,-0.023176739,-0.02309844,-0.02302014,-0.02294184,-0.02286354,-0.02294184,-0.02302014,-0.02309844,-0.023176739,-0.023255039,-0.023333339,-0.023255039,-0.023176739,-0.02309844
5,6,-0.0641507,-0.06393324,-0.06371578,-0.06349832,-0.06371578,-0.06393324,-0.0641507,-0.06436816,-0.06458562,-0.06480308,-0.06458562,-0.06436816,-0.0641507,-0.06393324,-0.06371578,-0.06349832,-0.06371578,-0.06393324,-0.0641507,-0.06436816,-0.06458562,-0.06480308,-0.06458562,-0.06436816,-0.0641507,-0.06393324,-0.06371578,-0.06349832,-0.06371578,-0.06393324,-0.0641507,-0.06436816,-0.06458562,-0.06480308,-0.06458562,-0.06436816,-0.0641507,-0.06393324,-0.06371578,-0.06349832,-0.06371578,-0.06393324,-0.0641507,-0.06436816,-0.06458562,-0.06480308,-0.06458562,-0.06436816,-0.0641507
7,6,-0.4460599,-0.4445478,-0.44303563,-0.4415235,-0.44303563,-0.4445478,-0.44605997,-0.4475721,-0.44908428,-0.45059642,-0.44908428,-0.4475721,-0.44605997,-0.4445478,-0.44303563,-0.4415235,-0.44303563,-0.4445478,-0.44605997,-0.4475721,-0.44908428,-0.45059642,-0.44908428,-0.4475721,-0.44605997,-0.4445478,-0.44303563,-0.4415235,-0.44303563,-0.4445478,-0.44605997,-0.4475721,-0.44908428,-0.45059642,-0.44908428,-0.4475721,-0.44605997,-0.4445478,-0.44303563,-0.4415235,-0.44303563,-0.4445478,-0.44605997,-0.4475721,-0.44908428,-0.45059642,-0.44908428,-0.4475721,-0.44605997
6,8,0.016131556,0.016076867,0.016022176,0.015967485,0.016022176,0.016076867,0.016131558,0.01618625,0.016240943,0.01629564,0.016240943,0.01618625,0.016131558,0.016076867,0.016022176,0.015967485,0.016022176,0.016076867,0.016131558,0.01618625,0.016240943,0.01629564,0.016240943,0.01618625,0.016131558,0.016076867,0.016022176,0.015967485,0.016022176,0.016076867,0.016131558,0.01618625,0.016240943,0.01629564,0.016240943,0.01618625,0.016131558,0.016076867,0.016022176,0.015967485,0.016022176,0.016076867,0.016131558,0.01618625,0.016240943,0.01629564,0.016240943,0.01618625,0.016131558
8,9,0.02026535,0.020196646,0.020127939,0.020059232,0.020127939,0.020196646,0.020265354,0.020334063,0.020402772,0.020471487,0.020402772,0.020334063,0.020265354,0.020196646,0.020127939,0.020059232,0.020127939,0.020196646,0.020265354,0.020334063,0.020402772,0.020471487,0.020402772,0.020334063,0.020265354,0.020196646,0.020127939,0.020059232,0.020127939,0.020196646,0.020265354,0.020334063,0.020402772,0.020471487,0.020402772,0.020334063,0.020265354,0.020196646,0.020127939,0.020059232,0.020127939,0.020196646,0.020265354,0.020334063,0.020402772,0.020471487,0.020402772,0.020334063,0.020265354
7,10,0.037108105,0.0369823,0.03685649,0.03673068,0.03685649,0.0369823,0.037108112,0.037233923,0.037359733,0.03748554,0.037359733,0.037233923,0.037108112,0.0369823,0.03685649,0.03673068,0.03685649,0.0369823,0.037108112,0.037233923,0.037359733,0.03748554,0.037359733,0.037233923,0.037108112,0.0369823,0.03685649,0.03673068,0.03685649,0.0369823,0.037108112,0.037233923,0.037359733,0.03748554,0.037359733,0.037233923,0.037108112,0.0369823,0.03685649,0.03673068,0.03685649,0.0369823,0.037108112,0.037233923,0.037359733,0.03748554,0.037359733,0.037233923,0.037108112
