Source,Target,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2,1,-1.8751655,-1.8688099,-1.862453,-1.856104,-1.862453,-1.8688099,-1.8751647,-1.8815138,-1.8878709,-1.8942283,-1.8878709,-1.8815138,-1.8751647,-1.8688099,-1.862453,-1.856104,-1.862453,-1.8688099,-1.8751647,-1.8815138,-1.8878709,-1.8942283,-1.8878709,-1.8815138,-1.8751647,-1.8688099,-1.862453,-1.856104,-1.862453,-1.8688099,-1.8751647,-1.8815138,-1.8878709,-1.8942283,-1.8878709,-1.8815138,-1.8751647,-1.8688099,-1.862453,-1.856104,-1.862453,-1.8688099,-1.8751647,-1.8815138,-1.8878709,-1.8942283,-1.8878709,-1.8815138,-1.8751647
2,3,-2.9535117,-2.9435236,-2.9335058,-2.9235008,-2.9335058,-2.9435236,-2.9535298,-2.9635432,-2.9735582,-2.9835677,-2.9735582,-2.9635432,-2.9535298,-2.9435236,-2.9335058,-2.9235008,-2.9335058,-2.9435236,-2.9535298,-2.9635432,-2.9735582,-2.9835677,-2.9735582,-2.9635432,-2.9535298,-2.9435236,-2.9335058,-2.9235008,-2.9335058,-2.9435236,-2.9535298,-2.9635432,-2.9735582,-2.9835677,-2.9735582,-2.9635432,-2.9535298,-2.9435236,-2.9335058,-2.9235008,-2.9335058,-2.9435236,-2.9535298,-2.9635432,-2.9735582,-2.9835677,-2.9735582,-2.9635432,-2.9535298
4,3,-0.82232064,-0.82020813,-0.8174244,-0.8146355,-0.8174244,-0.82021433,-0.82300323,-0.8257929,-0.8285845,-0.83137435,-0.8285845,-0.8257929,-0.82300323,-0.82021433,-0.8174244,-0.8146355,-0.8174244,-0.82021433,-0.82300323,-0.8257929,-0.8285845,-0.83137435,-0.8285845,-0.8257929,-0.82300323,-0.82021433,-0.8174244,-0.8146355,-0.8174244,-0.82021433,-0.82300323,-0.8257929,-0.8285845,-0.83137435,-0.8285845,-0.8257929,-0.82300323,-0.82021433,-0.8174244,-0.8146355,-0.8174244,-0.82021433,-0.82300323,-0.8257929,-0.8285845,-0.83137435,-0.8285845,-0.8257929,-0.82300323
1,4,-1.1743186,-1.1697958,-1.1658119,-1.1618315,-1.1658119,-1.1697911,-1.1737696,-1.177748,-1.1817266,-1.1857057,-1.1817266,-1.177748,-1.1737696,-1.1697911,-1.1658119,-1.1618315,-1.1658119,-1.1697911,-1.1737696,-1.177748,-1.1817266,-1.1857057,-1.1817266,-1.177748,-1.1737696,-1.1697911,-1.1658119,-1.1618315,-1.1658119,-1.1697911,-1.1737696,-1.177748,-1.1817266,-1.1857057,-1.1817266,-1.177748,-1.1737696,-1.1697911,-1.1658119,-1.1618315,-1.1658119,-1.1697911,-1.1737696,-1.177748,-1.1817266,-1.1857057,-1.1817266,-1.177748,-1.1737696
4,5,-2.6102595,-2.6012735,-2.5924268,-2.5835814,-2.5924268,-2.6012735,-2.6101263,-2.6189716,-2.6278195,-2.6366649,-2.6278195,-2.6189716,-2.6101263,-2.6012735,-2.5924268,-2.5835814,-2.5924268,-2.6012735,-2.6101263,-2.6189716,-2.6278195,-2.6366649,-2.6278195,-2.6189716,-2.6101263,-2.6012735,-2.5924268,-2.5835814,-2.5924268,-2.6012735,-2.6101263,-2.6189716,-2.6278195,-2.6366649,-2.6278195,-2.6189716,-2.6101263,-2.6012735,-2.5924268,-2.5835814,-2.5924268,-2.6012735,-2.6101263,-2.6189716,-2.6278195,-2.6366649,-2.6278195,-2.6189716,-2.6101263
5,6,-7.2490377,-7.2244596,-7.1998887,-7.1753163,-7.1998887,-7.2244596,-7.2490377,-7.273608,-7.2981796,-7.322752,-7.2981796,-7.273608,-7.2490377,-7.2244596,-7.1998887,-7.1753163,-7.1998887,-7.2244596,-7.2490377,-7.273608,-7.2981796,-7.322752,-7.2981796,-7.273608,-7.2490377,-7.2244596,-7.1998887,-7.1753163,-7.1998887,-7.2244596,-7.2490377,-7.273608,-7.2981796,-7.322752,-7.2981796,-7.273608,-7.2490377,-7.2244596,-7.1998887,-7.1753163,-7.1998887,-7.2244596,-7.2490377,-7.273608,-7.2981796,-7.322752,-7.2981796,-7.273608,-7.2490377
7,6,-50.404793,-50.233967,-50.062996,-49.892166,-50.062996,-50.233967,-50.404797,-50.57561,-50.746597,-50.91736,-50.746597,-50.57561,-50.404797,-50.233967,-50.062996,-49.892166,-50.062996,-50.233967,-50.404797,-50.57561,-50.746597,-50.91736,-50.746597,-50.57561,-50.404797,-50.233967,-50.062996,-49.892166,-50.062996,-50.233967,-50.404797,-50.57561,-50.746597,-50.91736,-50.746597,-50.57561,-50.404797,-50.233967,-50.062996,-49.892166,-50.062996,-50.233967,-50.404797,-50.57561,-50.746597,-50.91736,-50.746597,-50.57561,-50.404797
6,8,1.8228647,1.8166885,1.8105083,1.804326,1.8105083,1.8166885,1.8228647,1.829045,1.8352276,1.8414081,1.8352276,1.829045,1.8228647,1.8166885,1.8105083,1.804326,1.8105083,1.8166885,1.8228647,1.829045,1.8352276,1.8414081,1.8352276,1.829045,1.8228647,1.8166885,1.8105083,1.804326,1.8105083,1.8166885,1.8228647,1.829045,1.8352276,1.8414081,1.8352276,1.829045,1.8228647,1.8166885,1.8105083,1.804326,1.8105083,1.8166885,1.8228647,1.829045,1.8352276,1.8414081,1.8352276,1.829045,1.8228647
8,9,2.2899837,2.2822237,2.2744563,2.2666945,2.2744563,2.2822237,2.2899837,2.2977455,2.305513,2.3132782,2.305513,2.2977455,2.2899837,2.2822237,2.2744563,2.2666945,2.2744563,2.2822237,2.2899837,2.2977455,2.305513,2.3132782,2.305513,2.2977455,2.2899837,2.2822237,2.2744563,2.2666945,2.2744563,2.2822237,2.2899837,2.2977455,2.305513,2.3132782,2.305513,2.2977455,2.2899837,2.2822237,2.2744563,2.2666945,2.2744563,2.2822237,2.2899837,2.2977455,2.305513,2.3132782,2.305513,2.2977455,2.2899837
7,10,4.193218,4.179001,4.164781,4.1505713,4.164781,4.179001,4.193218,4.207429,4.221648,4.235871,4.221648,4.207429,4.193218,4.179001,4.164781,4.1505713,4.164781,4.179001,4.193218,4.207429,4.221648,4.235871,4.221648,4.207429,4.193218,4.179001,4.164781,4.1505713,4.164781,4.179001,4.193218,4.207429,4.221648,4.235871,4.221648,4.207429,4.193218,4.179001,4.164781,4.1505713,4.164781,4.179001,4.193218,4.207429,4.221648,4.235871,4.221648,4.207429,4.193218
