Source,Target,Rank,Weight-Old,Weight
2,1,74,0.05422,0.05422
2,3,139,-0.05421,0.05421
4,3,149,-0.1078,0.1078
1,4,73,0.05425,0.05425
4,5,26.5,0.21305,0.21305
5,6,26.5,0.21305,0.21305
7,6,156,-0.19802,0.19802
6,8,42,0.14449,0.14449
8,9,20,0.23084,0.23084
7,10,33,0.19819,0.19819
9,10,51,0.131061,0.131061
10,12,11,0.32901,0.32901
9,11,22,0.21794,0.21794
12,11,163,-0.490538,0.490538
11,14,118,-0.00265,0.00265
80,13,128,-0.01974,0.01974
14,15,48,0.13901,0.13901
12,15,157,-0.20924,0.20924
16,17,108,1.30E-05,0.000013
18,17,109,0,0
15,18,142,-0.07438,0.07438
19,18,65,0.07021,0.07021
14,19,153,-0.146996,0.146996
20,19,28,0.21225,0.21225
21,20,83,0.026135,0.026135
11,21,161,-0.26972,0.26972
22,21,58,0.11195,0.11195
22,9,54,0.118235,0.118235
23,22,21,0.22754,0.22754
8,23,145,-0.08633,0.08633
24,23,31,0.20511,0.20511
6,24,152,-0.12945,0.12945
25,89,23,0.21743,0.21743
26,25,25,0.21742,0.21742
4,26,138,-0.05102,0.05102
27,85,29.5,0.21024,0.21024
3,27,154,-0.16204,0.16204
28,34,18,0.234,0.234
29,28,18,0.234,0.234
30,29,18,0.234,0.234
30,31,32,0.2049,0.2049
31,32,9,0.391,0.391
32,27,49,0.1383,0.1383
32,33,15,0.2527,0.2527
33,26,69,0.0582,0.0582
33,35,35.5,0.19448,0.19448
34,27,16,0.234,0.234
35,36,35.5,0.19448,0.19448
36,24,56,0.11713,0.11713
36,37,41,0.16213,0.16213
37,23,60,0.10876,0.10876
37,38,50,0.13388,0.13388
38,21,39,0.18655,0.18655
38,39,66,0.06806,0.06806
39,20,40,0.18603,0.18603
40,39,55,0.11823,0.11823
41,40,64,0.0717,0.0717
41,38,53,0.12081,0.12081
42,41,59,0.10986,0.10986
42,37,63,0.0805,0.0805
111,42,37,0.19026,0.19026
43,36,62,0.08481,0.08481
44,43,7.5,0.404,0.404
45,44,7.5,0.404,0.404
31,45,44,0.1431,0.1431
46,31,10,0.3291,0.3291
46,47,13.5,0.2609,0.2609
47,45,13.5,0.2609,0.2609
47,48,113,-0.000455,0.000455
49,43,151,-0.12918,0.12918
49,50,52,0.12924,0.12924
50,41,71,0.05736,0.05736
50,51,78,0.04906,0.04906
51,40,76,0.051205,0.051205
54,52,136,-0.040469,0.040469
62,53,103,0.000142,0.000142
55,54,148,-0.10305,0.10305
56,55,146,-0.10252,0.10252
57,56,147,-0.102912,0.102912
58,57,158,-0.23088,0.23088
58,46,1,0.5901,0.5901
59,58,57,0.1171,0.1171
60,30,5,0.4389,0.4389
59,60,6,0.4389,0.4389
53,61,97,0.000395,0.000395
63,106,115,-0.000791,0.000791
109,75,102,0.00015,0.00015
64,94,112,-0.00028,0.00028
110,64,114,-0.00077,0.00077
110,59,2,0.556,0.556
52,65,137,-0.04051,0.04051
54,66,141,-0.06254,0.06254
57,68,150,-0.12792,0.12792
58,69,159,-0.24174,0.24174
66,65,121,-0.007862,0.007862
67,66,134,-0.039427,0.039427
68,67,135,-0.04021,0.04021
69,68,61,0.088,0.088
65,70,140,-0.05758,0.05758
66,112,143,-0.08521,0.08521
94,75,98,0.000307,0.000307
74,73,45,0.14304,0.14304
69,74,162,-0.3297,0.3297
71,70,70,0.05777,0.05777
72,71,47,0.14302,0.14302
73,72,46,0.14304,0.14304
82,83,90,0.01192,0.01192
81,82,117,-0.00194,0.00194
80,81,122,-0.00966,0.00966
76,74,3.5,0.4728,0.4728
79,80,132,-0.0291,0.0291
76,79,155,-0.19753,0.19753
78,79,43,0.1442,0.1442
77,78,34,0.1972,0.1972
77,76,12,0.2757,0.2757
110,77,3.5,0.4728,0.4728
83,84,89,0.012352,0.012352
82,86,123,-0.013845,0.013845
81,87,120,-0.00774,0.00774
85,26,29.5,0.21024,0.21024
86,84,82,0.028283,0.028283
87,86,93,0.00392,0.00392
84,88,79,0.048588,0.048588
90,88,84,0.020684,0.020684
89,24,24,0.21743,0.21743
86,90,80,0.042911,0.042911
91,90,92,0.00403,0.00403
87,91,119,-0.005993,0.005993
91,98,125,-0.01695,0.01695
100,98,116,-0.00086,0.00086
113,100,127,-0.01927,0.01927
104,100,124,-0.01414,0.01414
79,104,131,-0.02388,0.02388
105,104,68,0.05849,0.05849
103,105,77,0.04984,0.04984
78,103,75,0.0529,0.0529
88,92,72,0.055496,0.055496
90,92,67,0.060559,0.060559
92,93,85,0.019859,0.019859
96,93,87,0.01544,0.01544
95,93,86,0.01616,0.01616
97,95,130,-0.02133,0.02133
97,96,94,0.00283,0.00283
98,97,126,-0.01842,0.01842
99,96,91,0.01024,0.01024
100,99,133,-0.03664,0.03664
101,99,81,0.04247,0.04247
104,101,88,0.01458,0.01458
102,101,96,0.0008,0.0008
105,102,160,-0.246314,0.246314
103,102,95,0.00255,0.00255
75,106,99,0.000233,0.000233
64,107,107,5.00E-05,0.00005
107,108,106,6.00E-05,0.00006
108,109,105,7.00E-05,0.00007
64,109,110,-0.00013,0.00013
109,63,111,-0.00016,0.00016
75,53,100,0.00021,0.00021
94,61,101,0.00016,0.00016
106,62,104,0.000129,0.000129
43,111,38,0.19025,0.19025
112,71,144,-0.08523,0.08523
13,113,129,-0.01977,0.01977
110,114,164,-1.029,1.029
,Total,,28.27,
