,Source,Target,Weight
0,1,17,1.0
1,17,2,0.0
2,2,3,1.0
3,3,4,0.0
4,4,5,0.0
5,5,6,0.0
6,6,7,1.0
7,7,24,2.0
8,24,8,1.0
9,8,28,1.0
10,28,9,0.0
11,9,36,1.0
12,36,1,0.0
13,1,31,2.0
14,31,10,0.0
15,10,11,0.0
16,11,19,2.0
17,19,12,1.0
18,12,4,1.0
19,2,18,2.0
20,18,10,1.0
21,10,32,1.0
22,32,27,1.0
23,27,16,2.0
24,16,25,1.0
25,25,8,2.0
26,3,11,0.0
27,11,26,1.0
28,26,15,2.0
29,15,22,1.0
30,22,7,0.0
31,5,13,1.0
32,13,14,2.0
33,14,20,1.0
34,20,15,2.0
35,15,16,0.0
36,16,29,3.0
37,29,30,1.0
38,30,9,0.0
39,17,18,0.0
40,12,13,0.0
41,19,20,0.0
42,14,21,1.0
43,21,6,0.0
44,21,22,0.0
45,22,23,2.0
46,24,23,0.0
47,23,25,1.0
48,26,27,0.0
49,28,29,0.0
50,29,33,0.0
51,32,33,3.0
52,33,34,1.0
53,31,34,1.0
54,34,35,0.0
55,30,35,2.0
56,35,36,1.0
57,37,1,1.0
