,Id,Source,Target,Weight
0,2677.0,394.0,606.0,12.0
1,2678.0,606.0,537.0,12.0
2,2679.0,611.0,629.0,6.0
3,2680.0,639.0,617.0,6.0
4,2681.0,624.0,628.0,6.0
5,2682.0,640.0,610.0,6.0
6,2683.0,630.0,612.0,6.0
7,2684.0,634.0,637.0,6.0
8,2685.0,618.0,615.0,6.0
9,2686.0,622.0,626.0,6.0
10,2687.0,614.0,632.0,6.0
11,2688.0,638.0,631.0,6.0
12,2689.0,635.0,621.0,6.0
13,2690.0,621.0,619.0,6.0
14,2691.0,609.0,631.0,6.0
15,2692.0,623.0,615.0,6.0
16,2693.0,615.0,612.0,6.0
17,2694.0,613.0,624.0,6.0
18,2695.0,641.0,640.0,6.0
19,2696.0,618.0,623.0,6.0
20,2697.0,613.0,611.0,6.0
21,2698.0,628.0,613.0,6.0
22,2699.0,612.0,629.0,6.0
23,2700.0,629.0,607.0,6.0
24,2701.0,625.0,610.0,6.0
25,2702.0,611.0,630.0,6.0
26,2703.0,630.0,618.0,6.0
27,2704.0,624.0,638.0,6.0
28,2705.0,638.0,609.0,6.0
29,2706.0,622.0,617.0,6.0
30,2707.0,617.0,635.0,6.0
31,2708.0,626.0,639.0,6.0
32,2709.0,643.0,608.0,6.0
33,2710.0,608.0,642.0,6.0
34,2711.0,621.0,643.0,6.0
35,2712.0,643.0,619.0,6.0
36,2714.0,614.0,650.0,6.0
37,2715.0,644.0,646.0,6.0
38,2717.0,603.0,647.0,6.0
39,2718.0,648.0,600.0,6.0
40,2719.0,647.0,614.0,6.0
41,2720.0,642.0,644.0,6.0
42,2721.0,644.0,647.0,6.0
43,2722.0,637.0,648.0,6.0
44,2723.0,648.0,626.0,6.0
45,2724.0,641.0,625.0,6.0
46,2725.0,625.0,649.0,6.0
47,2726.0,632.0,650.0,6.0
48,2727.0,650.0,646.0,6.0
49,2728.0,646.0,642.0,6.0
50,2729.0,649.0,640.0,6.0
51,2730.0,640.0,637.0,6.0
52,2731.0,604.0,652.0,6.0
53,2733.0,653.0,655.0,6.0
54,2734.0,652.0,616.0,6.0
55,2735.0,651.0,636.0,6.0
56,2736.0,616.0,655.0,6.0
57,2737.0,655.0,651.0,6.0
58,2738.0,636.0,653.0,6.0
59,2739.0,653.0,652.0,6.0
60,2741.0,633.0,602.0,6.0
61,2742.0,657.0,658.0,6.0
62,2743.0,658.0,633.0,6.0
63,2744.0,633.0,657.0,6.0
64,2745.0,657.0,627.0,6.0
65,2746.0,659.0,605.0,6.0
66,2747.0,631.0,659.0,6.0
67,2748.0,659.0,628.0,6.0
68,2749.0,537.0,660.0,6.0
69,2750.0,661.0,616.0,6.0
70,2751.0,627.0,661.0,6.0
71,2752.0,661.0,658.0,6.0
72,2753.0,662.0,601.0,6.0
73,2754.0,610.0,662.0,6.0
74,2755.0,662.0,641.0,6.0
75,2756.0,664.0,559.0,6.0
76,2757.0,663.0,664.0,6.0
77,2758.0,538.0,663.0,6.0
78,2759.0,663.0,535.0,6.0
79,2760.0,228.0,208.0,12.0
80,2761.0,230.0,215.0,12.0
81,2762.0,227.0,233.0,12.0
82,2763.0,393.0,220.0,12.0
83,2764.0,231.0,225.0,12.0
84,2765.0,214.0,231.0,12.0
85,2766.0,216.0,219.0,12.0
86,2767.0,225.0,232.0,12.0
87,2768.0,213.0,209.0,6.0
88,2769.0,218.0,223.0,6.0
89,2770.0,211.0,229.0,12.0
90,2771.0,213.0,218.0,6.0
91,2772.0,224.0,228.0,12.0
92,2773.0,212.0,219.0,12.0
93,2774.0,235.0,230.0,12.0
94,2775.0,217.0,232.0,6.0
95,2776.0,215.0,216.0,12.0
96,2777.0,220.0,224.0,12.0
97,2778.0,228.0,214.0,12.0
98,2779.0,222.0,212.0,12.0
99,2780.0,237.0,238.0,12.0
100,2781.0,238.0,239.0,12.0
101,2782.0,239.0,240.0,12.0
102,2783.0,240.0,241.0,12.0
103,2784.0,241.0,242.0,12.0
104,2785.0,242.0,243.0,12.0
105,2786.0,243.0,244.0,12.0
106,2787.0,244.0,245.0,12.0
107,2788.0,245.0,246.0,12.0
108,2789.0,246.0,247.0,12.0
109,2790.0,247.0,248.0,12.0
110,2791.0,248.0,249.0,12.0
111,2792.0,249.0,250.0,12.0
112,2793.0,250.0,251.0,12.0
113,2794.0,251.0,252.0,12.0
114,2795.0,252.0,253.0,12.0
115,2796.0,253.0,254.0,12.0
116,2797.0,254.0,255.0,12.0
117,2798.0,256.0,257.0,12.0
118,2799.0,257.0,258.0,12.0
119,2800.0,258.0,259.0,12.0
120,2801.0,259.0,260.0,12.0
121,2802.0,260.0,261.0,12.0
122,2803.0,261.0,236.0,12.0
123,2807.0,239.0,264.0,6.0
124,2808.0,264.0,265.0,6.0
125,2809.0,264.0,266.0,6.0
126,2810.0,266.0,267.0,6.0
127,2811.0,267.0,268.0,6.0
128,2812.0,268.0,269.0,6.0
129,2813.0,269.0,270.0,6.0
130,2815.0,270.0,272.0,6.0
131,2816.0,272.0,241.0,6.0
132,2817.0,240.0,273.0,6.0
133,2818.0,273.0,274.0,6.0
134,2819.0,274.0,272.0,6.0
135,2820.0,274.0,270.0,6.0
136,2821.0,273.0,269.0,6.0
137,2822.0,273.0,266.0,6.0
138,2823.0,266.0,268.0,6.0
139,2824.0,240.0,275.0,6.0
140,2825.0,275.0,276.0,6.0
141,2826.0,276.0,237.0,6.0
142,2827.0,242.0,277.0,6.0
143,2828.0,277.0,278.0,6.0
144,2829.0,278.0,279.0,6.0
145,2830.0,279.0,280.0,6.0
146,2831.0,280.0,281.0,6.0
147,2832.0,281.0,282.0,6.0
148,2833.0,282.0,244.0,6.0
149,2834.0,282.0,283.0,6.0
150,2835.0,283.0,284.0,6.0
151,2836.0,284.0,277.0,6.0
152,2837.0,277.0,279.0,6.0
153,2838.0,284.0,280.0,6.0
154,2839.0,283.0,281.0,6.0
155,2840.0,243.0,285.0,6.0
156,2841.0,285.0,286.0,6.0
157,2842.0,286.0,245.0,6.0
158,2845.0,246.0,289.0,6.0
159,2846.0,289.0,290.0,6.0
160,2847.0,290.0,289.0,6.0
161,2848.0,276.0,291.0,6.0
162,2849.0,291.0,292.0,6.0
163,2853.0,292.0,296.0,6.0
164,2854.0,296.0,297.0,6.0
165,2855.0,297.0,298.0,6.0
166,2856.0,298.0,248.0,6.0
167,2857.0,298.0,299.0,6.0
168,2858.0,299.0,296.0,6.0
169,2860.0,248.0,301.0,6.0
170,2861.0,301.0,302.0,6.0
171,2862.0,302.0,303.0,6.0
172,2863.0,303.0,304.0,6.0
173,2864.0,304.0,305.0,6.0
174,2865.0,305.0,306.0,6.0
175,2866.0,306.0,249.0,6.0
176,2867.0,306.0,301.0,6.0
177,2868.0,305.0,302.0,6.0
178,2872.0,310.0,311.0,6.0
179,2873.0,311.0,312.0,6.0
180,2874.0,312.0,313.0,6.0
181,2875.0,313.0,314.0,6.0
182,2876.0,314.0,310.0,6.0
183,2877.0,310.0,313.0,6.0
184,2878.0,312.0,315.0,6.0
185,2879.0,315.0,316.0,6.0
186,2880.0,316.0,317.0,6.0
187,2881.0,317.0,260.0,6.0
188,2882.0,317.0,318.0,6.0
189,2883.0,318.0,319.0,6.0
190,2884.0,319.0,315.0,6.0
191,2885.0,316.0,318.0,6.0
192,2886.0,259.0,321.0,6.0
193,2887.0,321.0,322.0,6.0
194,2888.0,322.0,323.0,6.0
195,2889.0,323.0,324.0,6.0
196,2890.0,324.0,325.0,6.0
197,2891.0,325.0,254.0,6.0
198,2892.0,321.0,326.0,6.0
199,2894.0,260.0,326.0,6.0
200,2898.0,324.0,331.0,6.0
201,2899.0,331.0,332.0,6.0
202,2900.0,331.0,333.0,6.0
203,2901.0,333.0,334.0,6.0
204,2902.0,334.0,335.0,6.0
205,2903.0,335.0,336.0,6.0
206,2904.0,336.0,337.0,6.0
207,2905.0,337.0,338.0,6.0
208,2906.0,338.0,252.0,6.0
209,2907.0,333.0,339.0,6.0
210,2908.0,339.0,340.0,6.0
211,2909.0,340.0,341.0,6.0
212,2910.0,341.0,342.0,6.0
213,2911.0,342.0,343.0,6.0
214,2912.0,343.0,344.0,6.0
215,2913.0,344.0,345.0,6.0
216,2914.0,345.0,250.0,6.0
217,2915.0,346.0,334.0,6.0
218,2916.0,347.0,340.0,6.0
219,2917.0,335.0,341.0,6.0
220,2918.0,336.0,342.0,6.0
221,2919.0,337.0,344.0,6.0
