Id,latitude,longitude
208,33954.39731,24368.92734
209,34007.1353,24511.51222
210,33802.25673,24150.7254
211,33963.81837,24563.42479
212,33803.33834,24381.65469
213,34018.66907,24522.98185
214,33984.02445,24414.61728
215,33842.08615,24424.33721
216,33820.34875,24426.6142
217,33995.52259,24500.49768
218,34027.59577,24531.72096
219,33804.21022,24427.3732
220,34013.02329,24353.74637
221,34034.40616,24564.46795
222,33802.47955,24349.62929
223,34047.81088,24531.4716
224,33995.92132,24361.21737
225,33997.6529,24470.45315
226,33808.41535,24541.07153
227,33917.8389,24356.02387
228,33972.51233,24373.86108
229,33914.94858,24563.59415
230,33853.61405,24414.08998
231,33991.59576,24429.01224
232,33988.56742,24495.75356
233,33887.68764,24360.20069
234,33801.39432,24202.74602
235,33870.08185,24381.8308
236,34069.61639,24304.96745
237,34070.40347,24273.93898
238,34071.97718,24267.04359
239,34076.85662,24249.07963
240,34089.13327,24227.3051
241,34106.6042,24209.70375
242,34128.31453,24197.49435
243,34136.97106,24193.86509
244,34159.16357,24189.87321
245,34181.98574,24193.13934
246,34192.67108,24197.14732
247,34210.92864,24206.76439
248,34225.40911,24222.55059
249,34246.02791,24263.9224
250,34249.86272,24350.9613
251,34255.23517,24422.75948
252,34252.55909,24454.33239
253,34255.70696,24468.84892
254,34261.05866,24492.80069
255,34254.9271,24529.74165
256,34111.46064,24550.97953
257,34092.01998,24514.98355
258,34089.97403,24483.41064
259,34091.70515,24457.46241
260,34088.08503,24421.17135
261,34081.45507,24342.12192
264,34058.47368,24240.53169
265,34040.443,24238.75914
266,34060.8498,24230.05796
267,34053.16212,24134.987
268,34065.04275,24140.14308
269,34076.08443,24145.62178
270,34087.4062,24151.42309
272,34102.24932,24201.53454
273,34084.07882,24219.58214
274,34093.16429,24209.43049
275,34109.10211,24235.53562
276,34102.26375,24280.5689
277,34124.30967,24188.9568
278,34119.69724,24133.68667
279,34130.59954,24139.16537
280,34141.78105,24144.64407
281,34152.963,24150.76696
282,34158.69357,24180.41614
283,34146.95277,24181.54451
284,34135.77082,24184.28386
285,34156.10455,24220.22996
286,34169.66263,24216.36277
289,34196.14416,24188.32249
290,34193.62821,24171.40325
291,34136.32922,24255.7402
292,34174.15102,24251.70625
296,34199.58927,24248.16114
297,34209.88807,24240.73482
298,34218.97355,24229.29376
299,34241.75602,24283.275
301,34232.03006,24216.00067
302,34237.42325,24202.65147
303,34259.78896,24213.25769
304,34267.24434,24226.97314
305,34265.49924,24256.96364
306,34253.60282,24260.62095
310,34063.2151,24355.6862
311,34053.69752,24374.88762
312,34058.61485,24391.71179
313,34065.43561,24391.34605
314,34076.85662,24373.05896
315,34059.4078,24406.1587
316,34065.27685,24406.34156
317,34079.55299,24422.06854
318,34069.87709,24442.73288
319,34055.44218,24426.64018
321,34101.02968,24456.14338
322,34127.36101,24450.84028
323,34157.30525,24447.20426
324,34171.89848,24450.67923
325,34246.08294,24488.72206
326,34096.13851,24420.28663
331,34172.53581,24434.88213
332,34169.5219,24381.30091
333,34184.90853,24436.16219
334,34196.64663,24436.34505
335,34208.81638,24437.81629
336,34220.71324,24441.29074
337,34231.65839,24448.05729
338,34244.98238,24455.37192
339,34182.94557,24382.76383
340,34194.36612,24382.3981
341,34205.9459,24376.91213
342,34215.6218,24368.49979
343,34222.60133,24358.07644
344,34229.10455,24353.32193
345,34241.47728,24352.22474
346,34197.38003,24421.53241
347,34196.27,24393.1877
349,34156.50914,24382.58304
350,34151.59226,24371.24485
351,34150.6401,24357.52992
352,34149.53006,24333.57347
353,34136.52272,24346.74032
354,34178.44681,24352.40396
355,34201.44714,24348.56378
356,34191.61247,24333.01968
357,34241.83811,24334.47013
358,34265.51502,24423.1756
359,34274.87383,24382.21264
360,34258.53594,24351.30729
361,34264.31884,24467.17923
362,34280.08164,24466.73245
363,34282.9237,24529.88763
364,34284.86186,24562.35928
365,34265.35264,24562.80606
366,34248.81494,24561.91199
367,34261.60578,24535.69673
368,34247.00623,24525.12117
369,34210.21553,24558.50819
370,34109.92752,24528.56705
371,34138.35127,24526.33266
372,34160.96145,24526.33266
373,34218.31907,24495.77745
374,34188.99052,24482.52073
375,34161.65155,24494.57688
377,34224.57693,24536.61262
381,34085.6832,24554.90283
382,34062.96432,24554.48255
383,34061.62786,24517.78576
384,34079.36536,24518.34631
385,34048.41889,24517.2195
387,34040.23055,24323.43845
388,34061.62876,24348.92016
389,34231.89835,24557.94245
390,33905.34665,24109.39307
391,33815.75797,24201.9943
392,33861.88719,24124.18857
393,34045.1294,24354.04404
394,34040.80248,24181.74192
395,33841.29907,24167.25604
396,33995.37871,24225.69308
397,33943.03359,24129.24127
398,33841.60307,24156.22955
399,33854.14268,24226.21102
400,34010.27189,24183.20796
401,33926.23698,24246.57302
402,33920.52354,24092.4224
403,34006.13758,24164.59358
404,33841.92422,24197.97125
405,33934.12312,24125.52214
406,33872.55269,24239.73477
407,33989.50786,24137.79336
408,33899.19209,24241.08705
409,33916.184,24114.38343
410,33878.49391,24112.67686
411,33943.48012,24238.12379
412,34008.30622,24198.39413
413,33917.09332,24237.81572
414,33821.17913,24152.25846
415,33926.20225,24236.90555
416,33973.15553,24131.07876
417,33979.19913,24238.77213
418,33926.34027,24275.62945
419,33889.08544,24108.94889
