,Id
0,208.0
1,209.0
2,210.0
3,211.0
4,212.0
5,213.0
6,214.0
7,215.0
8,216.0
9,217.0
10,218.0
11,219.0
12,220.0
13,221.0
14,222.0
15,223.0
16,224.0
17,225.0
18,226.0
19,227.0
20,228.0
21,229.0
22,230.0
23,231.0
24,232.0
25,233.0
26,234.0
27,235.0
28,236.0
29,237.0
30,238.0
31,239.0
32,240.0
33,241.0
34,242.0
35,243.0
36,244.0
37,245.0
38,246.0
39,247.0
40,248.0
41,249.0
42,250.0
43,251.0
44,252.0
45,253.0
46,254.0
47,255.0
48,256.0
49,257.0
50,258.0
51,259.0
52,260.0
53,261.0
54,264.0
55,265.0
56,266.0
57,267.0
58,268.0
59,269.0
60,270.0
61,272.0
62,273.0
63,274.0
64,275.0
65,276.0
66,277.0
67,278.0
68,279.0
69,280.0
70,281.0
71,282.0
72,283.0
73,284.0
74,285.0
75,286.0
76,289.0
77,290.0
78,291.0
79,292.0
80,296.0
81,297.0
82,298.0
83,299.0
84,301.0
85,302.0
86,303.0
87,304.0
88,305.0
89,306.0
90,310.0
91,311.0
92,312.0
93,313.0
94,314.0
95,315.0
96,316.0
97,317.0
98,318.0
99,319.0
100,321.0
101,322.0
102,323.0
103,324.0
104,325.0
105,326.0
106,331.0
107,332.0
108,333.0
109,334.0
110,335.0
111,336.0
112,337.0
113,338.0
114,339.0
115,340.0
116,341.0
117,342.0
118,343.0
119,344.0
120,345.0
121,346.0
122,347.0
123,349.0
124,350.0
125,351.0
126,352.0
127,353.0
128,354.0
129,355.0
130,356.0
131,357.0
132,358.0
133,359.0
134,360.0
135,361.0
136,362.0
137,363.0
138,364.0
139,365.0
140,366.0
141,367.0
142,368.0
143,369.0
144,370.0
145,371.0
146,372.0
147,373.0
148,374.0
149,375.0
150,377.0
151,381.0
152,382.0
153,383.0
154,384.0
155,385.0
156,387.0
157,388.0
158,389.0
159,390.0
160,391.0
161,392.0
162,393.0
163,394.0
164,395.0
165,396.0
166,397.0
167,398.0
168,399.0
169,400.0
170,401.0
171,402.0
172,403.0
173,404.0
174,405.0
175,406.0
176,407.0
177,408.0
178,409.0
179,410.0
180,411.0
181,412.0
182,413.0
183,414.0
184,415.0
185,416.0
186,417.0
187,418.0
188,419.0
189,420.0
190,421.0
191,422.0
192,423.0
193,424.0
194,425.0
195,426.0
196,427.0
197,428.0
198,429.0
199,430.0
200,431.0
201,433.0
202,435.0
203,436.0
204,437.0
205,438.0
206,439.0
207,440.0
208,441.0
209,442.0
210,443.0
211,444.0
212,445.0
213,446.0
214,447.0
215,448.0
216,449.0
217,450.0
218,451.0
219,452.0
220,453.0
221,454.0
222,455.0
223,456.0
224,457.0
225,458.0
226,459.0
227,460.0
228,461.0
229,462.0
230,464.0
231,465.0
232,466.0
233,467.0
234,468.0
235,469.0
236,470.0
237,471.0
238,472.0
239,473.0
240,474.0
241,475.0
242,476.0
243,477.0
244,478.0
245,479.0
246,480.0
247,481.0
248,482.0
249,483.0
250,484.0
251,485.0
252,486.0
253,487.0
254,488.0
255,489.0
256,490.0
257,491.0
258,492.0
259,493.0
260,494.0
261,495.0
262,496.0
263,497.0
264,498.0
265,499.0
266,500.0
267,501.0
268,502.0
269,503.0
270,504.0
271,505.0
272,506.0
273,507.0
274,508.0
275,509.0
276,510.0
277,511.0
278,512.0
279,513.0
280,514.0
281,515.0
282,516.0
283,517.0
284,518.0
285,519.0
286,521.0
287,530.0
288,533.0
289,535.0
290,536.0
291,537.0
292,538.0
293,539.0
294,540.0
295,541.0
296,542.0
297,543.0
298,544.0
299,545.0
300,546.0
301,547.0
302,548.0
303,549.0
304,550.0
305,551.0
306,552.0
307,554.0
308,555.0
309,556.0
310,557.0
311,558.0
312,559.0
313,560.0
314,561.0
315,562.0
316,563.0
317,564.0
318,565.0
319,566.0
320,567.0
321,568.0
322,570.0
323,571.0
324,572.0
325,573.0
326,574.0
327,575.0
328,576.0
329,577.0
330,578.0
331,579.0
332,580.0
333,581.0
334,582.0
335,583.0
336,584.0
337,585.0
338,586.0
339,587.0
340,588.0
341,589.0
342,591.0
343,592.0
344,593.0
345,594.0
346,595.0
347,596.0
348,598.0
349,599.0
350,600.0
351,601.0
352,602.0
353,603.0
354,604.0
355,605.0
356,606.0
357,607.0
358,608.0
359,609.0
360,610.0
361,611.0
362,612.0
363,613.0
364,614.0
365,615.0
366,616.0
367,617.0
368,618.0
369,619.0
370,621.0
371,622.0
372,623.0
373,624.0
374,625.0
375,626.0
376,627.0
377,628.0
378,629.0
379,630.0
380,631.0
381,632.0
382,633.0
383,634.0
384,635.0
385,636.0
386,637.0
387,638.0
388,639.0
389,640.0
390,641.0
391,642.0
392,643.0
393,644.0
394,646.0
395,647.0
396,648.0
397,649.0
398,650.0
399,651.0
400,652.0
401,653.0
402,655.0
403,657.0
404,658.0
405,659.0
406,660.0
407,661.0
408,662.0
409,663.0
410,664.0
411,665.0
412,666.0
413,667.0
414,668.0
415,669.0
416,670.0
417,671.0
418,672.0
419,673.0
420,674.0
421,675.0
422,676.0
423,677.0
424,678.0
425,679.0
426,680.0
427,681.0
428,682.0
429,683.0
430,684.0
431,685.0
432,686.0
433,688.0
434,689.0
435,690.0
436,691.0
437,692.0
438,693.0
439,694.0
440,695.0
441,696.0
442,697.0
443,698.0
444,699.0
445,700.0
446,701.0
447,702.0
448,703.0
449,704.0
450,705.0
451,706.0
452,707.0
453,708.0
454,709.0
455,710.0
456,711.0
457,712.0
458,713.0
459,714.0
460,715.0
461,716.0
462,717.0
463,718.0
464,719.0
465,720.0
466,721.0
467,722.0
468,723.0
469,724.0
470,725.0
471,726.0
472,727.0
473,728.0
474,729.0
475,730.0
476,731.0
477,732.0
478,733.0
479,734.0
480,735.0
481,736.0
482,737.0
483,738.0
484,739.0
485,740.0
486,741.0
487,742.0
488,743.0
489,744.0
490,745.0
491,746.0
492,747.0
493,748.0
494,749.0
495,750.0
496,752.0
497,753.0
498,754.0
499,755.0
500,756.0
501,757.0
502,758.0
503,759.0
504,760.0
505,761.0
506,762.0
507,763.0
508,764.0
509,765.0
510,766.0
511,767.0
512,768.0
513,770.0
514,771.0
515,772.0
516,773.0
517,774.0
518,775.0
519,776.0
520,777.0
521,779.0
522,780.0
523,781.0
524,782.0
525,783.0
526,784.0
527,785.0
528,786.0
529,787.0
530,788.0
531,790.0
532,791.0
533,792.0
534,793.0
535,794.0
536,795.0
537,796.0
538,797.0
539,798.0
540,799.0
541,800.0
542,801.0
543,802.0
544,803.0
545,804.0
546,805.0
547,806.0
548,807.0
549,808.0
550,809.0
551,810.0
552,811.0
553,812.0
554,813.0
555,814.0
556,815.0
557,816.0
558,817.0
559,818.0
560,819.0
561,820.0
562,821.0
563,822.0
564,823.0
565,824.0
566,825.0
567,826.0
568,827.0
569,828.0
570,829.0
571,830.0
572,831.0
573,832.0
574,833.0
575,834.0
576,835.0
577,836.0
578,837.0
579,838.0
580,839.0
581,840.0
582,841.0
583,842.0
584,843.0
585,844.0
586,845.0
587,846.0
588,847.0
589,848.0
590,849.0
591,850.0
592,851.0
593,852.0
594,853.0
595,854.0
596,855.0
597,856.0
598,857.0
599,858.0
600,859.0
601,860.0
602,861.0
603,862.0
604,863.0
605,864.0
606,865.0
607,866.0
608,867.0
609,868.0
610,869.0
611,870.0
612,871.0
613,872.0
614,873.0
615,875.0
616,877.0
617,878.0
618,879.0
619,880.0
620,881.0
621,882.0
622,971.0
623,972.0
624,973.0
625,974.0
626,975.0
627,976.0
628,977.0
629,978.0
630,979.0
631,980.0
632,981.0
633,982.0
634,983.0
635,984.0
636,985.0
637,986.0
638,987.0
639,988.0
640,989.0
641,990.0
642,991.0
643,992.0
644,993.0
645,994.0
646,995.0
647,996.0
648,997.0
649,998.0
650,999.0
651,1000.0
652,1001.0
653,1002.0
654,1003.0
655,1004.0
656,1005.0
657,1006.0
658,1007.0
659,1008.0
660,1009.0
661,1010.0
