,ID,Diff1,Diff2,Diff3,Diff4,Diff5,Diff6,Diff7,Diff8,Diff9,Diff10,Diff11,Diff12,Diff13,Diff14,Diff15,Diff16,Diff17,Diff18,Diff19,Diff20,Diff21,Diff22,Diff23,Diff24,Diff25,Diff26,Diff27,Diff28,Diff29,Diff30
0,1,-0.2552400000000006,-0.2435600000000093,-0.2435600000000093,-0.009830000000000894,-0.05989999999999896,-0.08186000000000604,-0.08520000000000039,-0.2417000000000016,-0.08713999999999801,-0.08386000000000847,-0.2324700000000064,-0.08789000000000158,-0.2323999999999984,-0.22726000000000826,-0.2286000000000001,-0.2245800000000031,-0.16691000000000855,-0.22064000000000306,-0.21506000000000824,-0.047770000000006974,-0.059830000000005164,-0.2260700000000071,-0.21573000000000064,-0.1884200000000078,-0.08468000000000586,-0.0907800000000023,-0.09018999999999976,-0.09101000000001136,-0.0865399999999994,-0.2351499999999973
1,2,-0.25412000000000035,-0.5295299999999941,-0.5295299999999941,-0.010190000000001477,-0.06234999999999503,-0.08520000000000039,-0.08861999999999881,-0.2411699999999968,-0.09904000000000224,-0.09532000000000096,-0.5047500000000014,-0.10238999999999976,-0.505119999999998,-0.4939499999999981,-0.4963400000000036,-0.4876299999999958,-0.36245999999999867,-0.4795900000000018,-0.4673900000000018,-0.04970000000000141,-0.062279999999994125,-0.491419999999998,-0.4689499999999995,-0.4094199999999972,-0.09629000000000333,-0.09613999999999834,-0.09546999999999883,-0.09636000000000422,-0.09047999999999944,-0.2346199999999996
2,3,-0.25411999999999324,-0.5296000000000021,-0.5296000000000021,-0.010269999999998449,-0.0624299999999991,-0.08520000000000039,-0.08870000000000289,-0.2411699999999968,-0.0991199999999921,-0.09539999999999793,-0.5054199999999938,-0.10246000000000066,-0.505119999999998,-0.4939599999999942,-0.4969399999999951,-0.4883000000000024,-0.4594299999999976,-0.7126599999999996,-0.694429999999997,-0.04970999999999748,-0.0623599999999982,-0.4914300000000011,-0.4689499999999995,-0.6079599999999985,-0.09636999999999317,-0.09621999999999532,-0.09555000000000292,-0.09643999999999407,-0.09055999999999642,-0.2346299999999957
3,4,-0.009529999999990936,-0.009529999999990936,-0.009529999999990936,-0.10320999999999714,-0.07797999999999661,-0.0701699999999974,-0.06906000000000034,-0.017190000000006478,-0.06481999999999744,-0.0623599999999982,-0.009450000000001069,-0.0636299999999963,-0.009079999999990207,-0.008850000000002467,-0.009300000000003195,-0.009149999999998215,-0.006619999999998072,-0.008629999999996585,-0.008409999999997808,-0.062059999999995334,-0.0779099999999957,-0.008850000000002467,-0.008409999999997808,-0.0073699999999945484,-0.06295000000000073,-0.07254999999999967,-0.07202999999999092,-0.07269999999999754,-0.06994999999999862,-0.01674000000000575
4,5,-0.06259000000000725,-0.06244000000000228,-0.06244000000000228,-0.08320000000000505,-0.5107100000000031,-0.4592900000000029,-0.4521400000000071,-0.11274000000000227,-0.4243100000000055,-0.4082400000000064,-0.0622900000000044,-0.4165700000000072,-0.05954000000000548,-0.05827000000000738,-0.06125000000000114,-0.060200000000001815,-0.04346000000000316,-0.056560000000004614,-0.055140000000008633,-0.40638000000000574,-0.5099600000000066,-0.057970000000004525,-0.0552900000000065,-0.0482200000000006,-0.4124100000000084,-0.4750600000000063,-0.4716400000000078,-0.4761800000000065,-0.4580200000000048,-0.10961000000000354
5,6,-0.08549000000000008,-0.08534999999999826,-0.08534999999999826,-0.07456000000000529,-0.4581600000000066,-0.6278299999999959,-0.6180799999999991,-0.15411000000000286,-0.579979999999999,-0.5580199999999991,-0.08512000000000343,-0.5694100000000049,-0.08140000000000214,-0.07961999999999847,-0.0837100000000035,-0.08221999999999953,-0.059379999999997324,-0.07731000000000421,-0.07529999999999859,-0.3644700000000043,-0.45749,-0.07916999999999774,-0.07552000000000447,-0.06591999999999842,-0.5637499999999989,-0.6494100000000032,-0.6447199999999995,-0.6509700000000009,-0.6261100000000042,-0.14986000000000388
6,7,-0.08892000000000166,-0.08877999999999986,-0.08877999999999986,-0.07330000000000325,-0.4504300000000043,-0.6172600000000088,-0.6426400000000072,-0.1602100000000064,-0.6030500000000032,-0.5802800000000019,-0.08855000000000501,-0.5921100000000052,-0.08467999999999876,-0.08275000000000432,-0.08706000000000813,-0.08558000000000021,-0.0617600000000067,-0.08037000000000205,-0.07836000000000354,-0.35829999999999984,-0.4497600000000048,-0.0823700000000045,-0.07858000000000231,-0.06861000000000672,-0.5861600000000067,-0.6752299999999991,-0.6703900000000047,-0.6768700000000011,-0.651050000000005,-0.15582000000000562
7,8,-0.2362600000000015,-0.225919999999995,-0.225919999999995,-0.01703999999999439,-0.1041799999999924,-0.1424299999999903,-0.14822999999999098,-0.43175000000000097,-0.14547999999999206,-0.14005000000000226,-0.2160199999999932,-0.14495999999999756,-0.2154999999999987,-0.21073999999999413,-0.21244999999999686,-0.20872999999999564,-0.15485000000000326,-0.2046399999999906,-0.19942999999999245,-0.08296999999999599,-0.10402999999999453,-0.20961999999999392,-0.20009999999999906,-0.17471999999999355,-0.14145999999999506,-0.15693999999999164,-0.15581999999999852,-0.1573099999999954,-0.15045999999999538,-0.4199199999999976
8,9,-0.09435999999999467,-0.10320999999999714,-0.10320999999999714,-0.07121000000000066,-0.4380000000000024,-0.6002999999999972,-0.6250799999999971,-0.1628199999999964,-2.0103699999999947,-1.9327599999999947,-0.11155000000000116,-1.9710800000000008,-0.0984499999999997,-0.0962899999999962,-0.10967999999999734,-0.1077500000000029,-0.07411999999999352,-0.09353999999999728,-0.09115999999999502,-0.34832999999999714,-0.4374099999999999,-0.09576999999999458,-0.0913800000000009,-0.07985000000000042,-1.952919999999992,-0.927349999999997,-0.9206500000000021,-0.9296500000000024,-0.6965199999999925,-0.15834999999999866
9,10,-0.09435999999999467,-0.10322000000000033,-0.10322000000000033,-0.07122000000000384,-0.4380000000000024,-0.6002999999999972,-0.6250799999999971,-0.16282000000000352,-2.0104499999999987,-1.9642399999999969,-0.11155000000000116,-1.9710800000000008,-0.0984499999999997,-0.0962899999999962,-0.1096899999999934,-0.10782999999999987,-0.07412000000000063,-0.09353999999999728,-0.09115999999999502,-0.34832999999999714,-0.4374099999999999,-0.09577000000000167,-0.0913800000000009,-0.07985000000000042,-1.952930000000002,-0.927419999999998,-0.9206500000000021,-0.9296599999999984,-0.6965199999999996,-0.15834999999999866
10,11,-0.2532300000000021,-0.5270700000000019,-0.5270700000000019,-0.0105700000000013,-0.06452000000000169,-0.08802999999999628,-0.09159999999999968,-0.2407299999999992,-0.10923999999999978,-0.10515000000000184,-0.7422800000000009,-0.1148200000000017,-0.5027400000000029,-0.4916499999999999,-0.7297799999999981,-0.7169000000000025,-0.4362199999999987,-0.477959999999996,-0.4658299999999969,-0.051420000000000236,-0.06437000000000381,-0.4891199999999998,-0.4667999999999992,-0.4080099999999973,-0.10625999999999892,-0.1007499999999979,-0.10000999999999748,-0.10097999999999983,-0.09382999999999696,-0.23418000000000205
11,12,-0.0958400000000026,-0.10723000000000127,-0.10723000000000127,-0.07061999999999813,-0.434580000000004,-0.5956100000000006,-0.6202400000000026,-0.16356000000000392,-1.993919999999996,-1.9168300000000045,-0.11802000000000135,-2.4419699999999978,-0.10231999999999886,-0.10000999999999748,-0.11608000000000375,-0.11406999999999813,-0.07753999999999905,-0.0971800000000016,-0.09473000000000552,-0.3455800000000053,-0.4339100000000045,-0.09949000000000296,-0.09495000000000432,-0.08296999999999599,-1.93685,-0.9199100000000016,-0.9132099999999994,-0.9221399999999988,-0.6910099999999986,-0.15901999999999816
12,13,-0.2541299999999964,-0.5296099999999981,-0.5296099999999981,-0.010269999999998449,-0.0624299999999991,-0.08520999999999647,-0.08869999999999577,-0.24117999999999995,-0.0990499999999983,-0.09539999999999793,-0.5048299999999983,-0.10246999999999673,-0.9411899999999987,-0.9202099999999972,-0.4963499999999996,-0.487639999999999,-0.36247000000000185,-0.4796799999999948,-0.4673999999999978,-0.04970999999999748,-0.0623599999999982,-0.9153700000000028,-0.87303,-0.4095000000000013,-0.09637000000000027,-0.0962200000000024,-0.0954799999999949,-0.0964400000000012,-0.09049000000000262,-0.2346299999999957
