ID,P1,P2,P3,Total,Rank
1,-0.08679,-0.07992,-0.07436,-0.24107,78
2,-0.08676,-0.07992,-0.07436,-0.24104,76
3,-0.08671,-0.07992,-0.07436,-0.24099,74
4,-0.08683,-0.07993,-0.07437,-0.24113,79
5,-0.08709,-0.07993,-0.07437,-0.24139,81
6,-0.08761,-0.07993,-0.07436,-0.2419,92
7,-0.0878,-0.07995,-0.07438,-0.24213,100
8,-0.08772,-0.07995,-0.07438,-0.24205,98
9,-0.0879,-0.07994,-0.07437,-0.24221,103.5
10,-0.08795,-0.07995,-0.07438,-0.24228,105
11,-0.08808,-0.07994,-0.07437,-0.24239,106.5
12,-0.08826,-0.07994,-0.07437,-0.24257,113
13,-0.07203,-0.0744,-0.08251,-0.22894,38.5
14,-0.08808,-0.07994,-0.07437,-0.24239,106.5
15,-0.08812,-0.07993,-0.07436,-0.24241,111
16,-0.0881,-0.07994,-0.07437,-0.24241,111
17,-0.0881,-0.07994,-0.07437,-0.24241,111
18,-0.08809,-0.07994,-0.07437,-0.2424,108.5
19,-0.08807,-0.07995,-0.07438,-0.2424,108.5
20,-0.0879,-0.07994,-0.07437,-0.24221,103.5
21,-0.08789,-0.07994,-0.07437,-0.2422,102
22,-0.08786,-0.07994,-0.07438,-0.24218,101
23,-0.08765,-0.07994,-0.07437,-0.24196,95
24,-0.0875,-0.07993,-0.07437,-0.2418,88
25,-0.08719,-0.07994,-0.07437,-0.2415,82
26,-0.08677,-0.07992,-0.07436,-0.24105,77
27,-0.08635,-0.07991,-0.07435,-0.24061,72
28,-0.08523,-0.07982,-0.07431,-0.23936,68
29,-0.08373,-0.07969,-0.07423,-0.23765,63
30,-0.08304,-0.07963,-0.0742,-0.23687,61
31,-0.08391,-0.07999,-0.0744,-0.2383,66
32,-0.08607,-0.07994,-0.07437,-0.24038,71
33,-0.08671,-0.07993,-0.07437,-0.24101,75
34,-0.08592,-0.07988,-0.07433,-0.24013,70
35,-0.08703,-0.07993,-0.07436,-0.24132,80
36,-0.08733,-0.07994,-0.07437,-0.24164,84
37,-0.08756,-0.07995,-0.07437,-0.24188,90
38,-0.08769,-0.07994,-0.07437,-0.242,97
39,-0.08773,-0.07995,-0.07438,-0.24206,99
40,-0.08765,-0.07995,-0.07438,-0.24198,96
41,-0.08759,-0.07994,-0.07437,-0.2419,92
42,-0.08749,-0.07995,-0.07438,-0.24182,89
43,-0.08721,-0.07995,-0.07438,-0.24154,83
44,-0.0857,-0.07999,-0.0744,-0.24009,69
45,-0.08413,-0.08003,-0.07441,-0.23857,67
46,-0.08273,-0.08023,-0.07452,-0.23748,62
47,-0.08338,-0.08014,-0.07448,-0.238,65
48,-0.08337,-0.08013,-0.07448,-0.23798,64
49,-0.0874,-0.07995,-0.07437,-0.24172,86.5
50,-0.08757,-0.07995,-0.07438,-0.2419,92
51,-0.08763,-0.07995,-0.07437,-0.24195,94
52,-0.07767,-0.08071,-0.07515,-0.23353,55
53,-0.06559,-0.06721,-0.06773,-0.20053,1.5
54,-0.07769,-0.08073,-0.07514,-0.23356,56
55,-0.07774,-0.08078,-0.07511,-0.23363,57
56,-0.07779,-0.08084,-0.07509,-0.23372,58
57,-0.07781,-0.08085,-0.07507,-0.23373,59
58,-0.078,-0.08107,-0.07496,-0.23403,60
59,-0.07721,-0.07823,-0.07349,-0.22893,37
60,-0.08036,-0.07898,-0.07387,-0.23321,46
61,-0.06559,-0.06722,-0.06773,-0.20054,5.5
62,-0.06559,-0.06722,-0.06773,-0.20054,5.5
63,-0.06559,-0.06722,-0.06774,-0.20055,10.5
64,-0.06558,-0.06722,-0.06773,-0.20053,1.5
65,-0.07764,-0.08068,-0.07517,-0.23349,51
66,-0.07765,-0.08068,-0.07517,-0.2335,52
67,-0.07766,-0.08069,-0.07516,-0.23351,53
68,-0.07767,-0.0807,-0.07515,-0.23352,54
69,-0.07758,-0.0806,-0.07522,-0.2334,48
70,-0.0776,-0.08063,-0.07519,-0.23342,49
71,-0.07755,-0.08057,-0.07523,-0.23335,47
72,-0.07725,-0.08024,-0.0754,-0.23289,45
73,-0.07708,-0.08005,-0.07551,-0.23264,44
74,-0.07689,-0.07983,-0.0756,-0.23232,43
75,-0.06559,-0.06722,-0.06774,-0.20055,10.5
76,-0.07276,-0.07522,-0.078,-0.22598,15
77,-0.0694,-0.07147,-0.07409,-0.21496,13
78,-0.07131,-0.07361,-0.07861,-0.22353,14
79,-0.07216,-0.07456,-0.07981,-0.22653,16
80,-0.07204,-0.07442,-0.08219,-0.22865,22
81,-0.07202,-0.0744,-0.08237,-0.22879,23
82,-0.07203,-0.07441,-0.08247,-0.22891,32.5
83,-0.07203,-0.07441,-0.08247,-0.22891,32.5
84,-0.07203,-0.07441,-0.08247,-0.22891,32.5
85,-0.08658,-0.07992,-0.07436,-0.24086,73
86,-0.07203,-0.07441,-0.08248,-0.22892,35.5
87,-0.07202,-0.0744,-0.08247,-0.22889,28.5
88,-0.07202,-0.07437,-0.08247,-0.22886,25.5
89,-0.08742,-0.07994,-0.07436,-0.24172,86.5
90,-0.07202,-0.07438,-0.08248,-0.22888,27
91,-0.07203,-0.07439,-0.08249,-0.22891,32.5
92,-0.07202,-0.07435,-0.08248,-0.22885,24
93,-0.07203,-0.07436,-0.0825,-0.22889,28.5
94,-0.06559,-0.06722,-0.06773,-0.20054,5.5
95,-0.07202,-0.07437,-0.08251,-0.2289,30
96,-0.07202,-0.07439,-0.08251,-0.22892,35.5
97,-0.07202,-0.07439,-0.08253,-0.22894,38.5
98,-0.07201,-0.07439,-0.08256,-0.22896,40
99,-0.07201,-0.07438,-0.08247,-0.22886,25.5
100,-0.07202,-0.07439,-0.08278,-0.22919,42
101,-0.07197,-0.07435,-0.08197,-0.22829,21
102,-0.07194,-0.0743,-0.08163,-0.22787,18
103,-0.07182,-0.07418,-0.08107,-0.22707,17
104,-0.07198,-0.07435,-0.08173,-0.22806,20
105,-0.07195,-0.07431,-0.08163,-0.22789,19
106,-0.06559,-0.06722,-0.06773,-0.20054,5.5
107,-0.06559,-0.06722,-0.06774,-0.20055,10.5
108,-0.06559,-0.06722,-0.06774,-0.20055,10.5
109,-0.06559,-0.06722,-0.06773,-0.20054,5.5
110,-0.06559,-0.06722,-0.06773,-0.20054,5.5
111,-0.08734,-0.07994,-0.07437,-0.24165,85
112,-0.07761,-0.08063,-0.07519,-0.23343,50
113,-0.07202,-0.07439,-0.08263,-0.22904,41
Tot,-17.91,-17.45,-17.1,-52.46,
