Id,latitude,longitude,Weight,Total,Label
1,55.75591,173.639309,0.24107,-0.24107,78
2,59.452707,173.415922,0.24104,-0.24104,76
3,59.283112,169.492621,0.24099,-0.24099,74
4,56.481197,169.687955,0.24113,-0.24113,79
5,54.592204,170.327985,0.24139,-0.24139,81
6,49.681185,171.263093,0.2419,-0.2419,92
7,49.721779,174.129722,0.24213,-0.24213,100
8,46.936101,171.217377,0.24205,-0.24205,98
9,44.08006,171.198675,0.24221,-0.24221,103.5
10,43.98985,174.15258,0.24228,-0.24228,105
11,40.395893,168.770509,0.24239,-0.24239,106.5
12,38.302124,172.472501,0.24257,-0.24257,113
13,60.64528,136.646402,0.22894,-0.22894,38.5
14,37.691404,166.46079,0.24239,-0.24239,106.5
15,35.819551,168.993896,0.24241,-0.24241,111
16,28.549546,171.732726,0.24241,-0.24241,111
17,30.812909,170.063037,0.24241,-0.24241,111
18,34.110978,166.702879,0.2424,-0.2424,108.5
19,36.240831,164.563558,0.2424,-0.2424,108.5
20,38.860523,161.980579,0.24221,-0.24221,103.5
21,42.424711,164.89708,0.2422,-0.2422,102
22,44.743102,165.085141,0.24218,-0.24218,101
23,47.345654,165.365674,0.24196,-0.24196,95
24,49.853485,165.525681,0.2418,-0.2418,88
25,53.827226,165.634777,0.2415,-0.2415,82
26,56.521791,165.581788,0.24105,-0.24105,77
27,59.219064,165.51633,0.24061,-0.24061,72
28,64.049797,165.01241,0.23936,-0.23936,68
29,65.834146,158.402229,0.23765,-0.23765,63
30,63.140482,157.933636,0.23687,-0.23687,61
31,59.047665,157.930519,0.2383,-0.2383,66
32,59.157721,162.096949,0.24038,-0.24038,71
33,56.520889,161.993048,0.24101,-0.24101,75
34,61.187441,165.429053,0.24013,-0.24013,70
35,53.812792,161.869405,0.24132,-0.24132,80
36,51.032527,161.787324,0.24164,-0.24164,84
37,47.816549,161.570171,0.24188,-0.24188,90
38,44.716039,160.862605,0.242,-0.242,97
39,41.007515,158.562237,0.24206,-0.24206,99
40,42.633095,154.394768,0.24198,-0.24198,96
41,46.730423,156.79592,0.2419,-0.2419,92
42,49.010926,157.619855,0.24182,-0.24182,89
43,51.297744,157.725834,0.24154,-0.24154,83
44,53.884058,157.925324,0.24009,-0.24009,69
45,56.52991,157.914934,0.23857,-0.23857,67
46,58.898819,154.673223,0.23748,-0.23748,62
47,56.604784,154.585946,0.238,-0.238,65
48,53.917435,154.502825,0.23798,-0.23798,64
49,51.633324,153.927214,0.24172,-0.24172,86.5
50,48.554464,153.305886,0.2419,-0.2419,92
51,44.464354,150.807067,0.24195,-0.24195,94
52,46.107976,147.58302,0.23353,-0.23353,55
53,69.24588,159.149278,0.20053,-0.20053,1.5
54,50.198989,149.780526,0.23356,-0.23356,56
55,52.055506,150.114048,0.23363,-0.23363,57
56,54.05275,150.535886,0.23372,-0.23372,58
57,56.648085,150.461077,0.23373,-0.23373,59
58,58.822141,150.320811,0.23403,-0.23403,60
59,63.514853,150.304187,0.22893,-0.22893,37
60,63.339846,154.363598,0.23321,-0.23321,46
61,66.553118,155.858733,0.20054,-0.20054,5.5
62,71.364005,162.088636,0.20054,-0.20054,5.5
63,75.615591,156.206802,0.20055,-0.20055,10.5
64,70.149781,150.909929,0.20053,-0.20053,1.5
65,47.829178,144.250915,0.23349,-0.23349,51
66,51.632422,146.405822,0.2335,-0.2335,52
67,54.305337,147.157026,0.23351,-0.23351,53
68,56.599372,147.347165,0.23352,-0.23352,54
69,58.667882,147.426129,0.2334,-0.2334,48
70,49.839052,140.931279,0.23342,-0.23342,49
71,53.220114,142.668503,0.23335,-0.23335,47
72,56.674246,143.192164,0.23289,-0.23289,45
73,58.489267,143.265934,0.23264,-0.23264,44
74,58.556022,145.372007,0.23232,-0.23232,43
75,71.292739,157.0058,0.20055,-0.20055,10.5
76,63.534699,146.112821,0.22598,-0.22598,15
77,69.000509,146.143991,0.21496,-0.21496,13
78,69.55981,141.314673,0.22353,-0.22353,14
79,65.134118,140.556196,0.22653,-0.22653,16
80,60.625434,139.667843,0.22865,-0.22865,22
81,58.480246,139.900581,0.22879,-0.22879,23
82,54.618365,139.430948,0.22891,-0.22891,32.5
83,50.871051,138.213229,0.22891,-0.22891,32.5
84,51.121835,135.181398,0.22891,-0.22891,32.5
85,57.855092,165.569319,0.24086,-0.24086,73
86,56.206057,135.50453,0.22892,-0.22892,35.5
87,58.188868,135.428682,0.22889,-0.22889,28.5
88,51.514247,132.056056,0.22886,-0.22886,25.5
89,52.059114,165.613997,0.24172,-0.24172,86.5
90,55.093771,131.402519,0.22888,-0.22888,27
91,56.67154,130.466371,0.22891,-0.22891,32.5
92,53.060443,126.277084,0.22885,-0.22885,24
