Id,latitude,longitude,Diff,Label
1,55.75591,173.639309,0.1157,36
2,59.452707,173.415922,0.11565,38
3,59.283112,169.492621,0.11559,40
4,56.481197,169.687955,0.11574,35
5,54.592204,170.327985,0.11609,33
6,49.681185,171.263093,0.1168,21
7,49.721779,174.129722,0.11704,14
8,46.936101,171.217377,0.11694,16
9,44.08006,171.198675,0.11719,10.5
10,43.98985,174.15258,0.11722,9
11,40.395893,168.770509,0.11747,2
12,38.302124,172.472501,0.11754,1
13,60.64528,136.646402,0.09602,77
14,37.691404,166.46079,0.11741,7
15,35.819551,168.993896,0.11744,3
16,28.549546,171.732726,0.11743,4
17,30.812909,170.063037,0.11742,5
18,34.110978,166.702879,0.11742,6
19,36.240831,164.563558,0.11739,8
20,38.860523,161.980579,0.11719,10.5
21,42.424711,164.89708,0.11718,12
22,44.743102,165.085141,0.11712,13
23,47.345654,165.365674,0.11685,18.5
24,49.853485,165.525681,0.11664,26
25,53.827226,165.634777,0.11623,32
26,56.521791,165.581788,0.11568,37
27,59.219064,165.51633,0.11511,42
28,64.049797,165.01241,0.11362,46
29,65.834146,158.402229,0.11163,49
30,63.140482,157.933636,0.1107,52
31,59.047665,157.930519,0.11185,48
32,59.157721,162.096949,0.11475,43
33,56.520889,161.993048,0.1156,39
34,61.187441,165.429053,0.11454,44
35,53.812792,161.869405,0.11602,34
36,51.032527,161.787324,0.11642,30
37,47.816549,161.570171,0.11673,24
38,44.716039,160.862605,0.11691,17
39,41.007515,158.562237,0.11697,15
40,42.633095,154.394768,0.11685,18.5
41,46.730423,156.79592,0.11678,22
42,49.010926,157.619855,0.11665,25
43,51.297744,157.725834,0.11626,31
44,53.884058,157.925324,0.11425,45
45,56.52991,157.914934,0.11215,47
46,58.898819,154.673223,0.11029,53
47,56.604784,154.585946,0.11116,50
48,53.917435,154.502825,0.11115,51
49,51.633324,153.927214,0.11652,28
50,48.554464,153.305886,0.11674,23
51,44.464354,150.807067,0.11682,20
52,46.107976,147.58302,0.10355,60
53,69.24588,159.149278,0.08743,109.5
54,50.198989,149.780526,0.10358,59
55,52.055506,150.114048,0.10364,58
56,54.05275,150.535886,0.1037,57
57,56.648085,150.461077,0.10373,56
58,58.822141,150.320811,0.10399,55
59,63.514853,150.304187,0.10294,70
60,63.339846,154.363598,0.10714,54
61,66.553118,155.858733,0.08744,104
62,71.364005,162.088636,0.08743,112
63,75.615591,156.206802,0.08744,107.5
64,70.149781,150.909929,0.08743,112
65,47.829178,144.250915,0.10351,63.5
66,51.632422,146.405822,0.10351,63.5
67,54.305337,147.157026,0.10353,62
68,56.599372,147.347165,0.10354,61
69,58.667882,147.426129,0.10342,67
70,49.839052,140.931279,0.10345,66
71,53.220114,142.668503,0.10338,68
72,56.674246,143.192164,0.10298,69
73,58.489267,143.265934,0.10276,71
74,58.556022,145.372007,0.10251,72
75,71.292739,157.0058,0.08744,104
76,63.534699,146.112821,0.097,73
77,69.000509,146.143991,0.09252,101
78,69.55981,141.314673,0.09507,100
79,65.134118,140.556196,0.09621,74
80,60.625434,139.667843,0.09604,75
81,58.480246,139.900581,0.09602,80
82,54.618365,139.430948,0.09602,80
83,50.871051,138.213229,0.09601,86
84,51.121835,135.181398,0.09602,77
85,57.855092,165.569319,0.11542,41
86,56.206057,135.50453,0.09602,80
87,58.188868,135.428682,0.09601,86
88,51.514247,132.056056,0.09601,86
89,52.059114,165.613997,0.11654,27
90,55.093771,131.402519,0.09601,86
91,56.67154,130.466371,0.09602,77
92,53.060443,126.277084,0.096,93
93,54.208813,123.710729,0.09601,86
94,67.265775,153.66954,0.08743,109.5
95,56.786106,125.05313,0.09601,86
96,59.434665,121.35945,0.09601,86
97,59.356182,126.34358,0.09601,86
98,59.109008,128.742654,0.096,91.5
99,64.165265,121.774015,0.09599,94
100,61.520315,129.36606,0.096,91.5
101,66.860733,122.991734,0.09595,95.5
102,70.717201,125.9872,0.0959,98
103,73.731109,133.42651,0.09575,99
104,65.752957,131.133416,0.09595,95.5
105,67.353279,132.186972,0.09591,97
106,73.74013,159.725928,0.08744,104
107,72.211977,149.379468,0.08744,107.5
108,75.289032,150.265743,0.08744,104
109,73.263823,154.261775,0.08744,104
110,69.627467,148.310327,0.08743,112
111,50.256723,157.716483,0.11644,29
112,52.324331,144.574047,0.10346,65
113,60.710231,133.073247,0.09601,86
Total,71.383851,147.460417,23.87,
