,# Result,rank,Diff27,
0,-0.7056656,23,-0.09019,2
1,-1.5397758,22,-0.09547,
2,-1.5397758,14,-0.09555,
3,-0.027980804,13,-0.07203,
4,-0.18283463,2,-0.47164,
5,-0.24980927,3,-0.64472,
6,-0.25978088,24,-0.67039,
7,-0.6547699,19,-0.15582,
8,-0.30323792,18,-0.92065,
9,-0.30323792,17,-0.92065,
10,-1.5324821,16,-0.10001,
11,-0.31536484,11,-0.91321,
12,-2.939949,15,-0.09548,
13,-2.9403229,1,-0.09555,
14,-1.5324097,8,-0.10009,
15,-1.5324821,30,-0.10002,
16,-1.536499,12,-0.09756,
17,-1.5397758,10,-0.09547,
18,-1.5397758,9,-0.09547,
19,-0.18283463,25,-0.47164,
20,-0.18283463,27,-0.47164,
21,-3.139454,26,-0.09547,
22,-3.2276344,28,-0.09547,
23,-1.5397758,29,-0.09555,
24,-0.30316544,7,-0.92065,
25,-0.2674408,6,-0.94276,
26,-0.2674446,5,-0.96768,
27,-0.26736832,21,-0.94267,
28,-0.26163864,20,-0.73662,
29,-0.6546936,4,-0.15575,
30,0,31,-5,
