,# Result,rank
0,-0.27399063,10
1,-0.31038284,9
2,-0.31045532,25
3,-0.20955276,12
4,-1.3718223999999999,27
5,-1.8773918,26
6,-1.9525528000000003,28
7,-0.46203613,29
8,-6.812530499999999,7
9,-6.812534299999999,6
10,-0.34148788,5
11,-6.763789999999999,21
12,-0.31037903,20
13,-0.31037903,8
14,-0.34148788,30
15,-0.34148407,11
16,-0.32414627,15
17,-0.31045532,16
18,-0.31045532,17
19,-1.3718223999999999,19
20,-1.3718223999999999,24
21,-0.31030655,3
22,-0.31030655,18
23,-0.31045532,2
24,-6.812461999999999,13
25,-2.7638854999999998,14
26,-2.7638892999999998,22
27,-2.7638130000000003,23
28,-2.149002,1
29,-0.46195984,4
30,0.0,31
