Id,latitude,longitude,Weight
1,55.75591,173.639309,1
2,59.452707,173.415922,1
3,59.283112,169.492621,1
4,56.481197,169.687955,1
5,54.592204,170.327985,1
6,49.681185,171.263093,1
7,49.721779,174.129722,1
8,46.936101,171.217377,1
9,44.08006,171.198675,1
10,43.98985,174.15258,1
11,40.395893,168.770509,1
12,38.302124,172.472501,1
13,60.64528,136.646402,1
14,37.691404,166.46079,1
15,35.819551,168.993896,1
16,28.549546,171.732726,1
17,30.812909,170.063037,1
18,34.110978,166.702879,1
19,36.240831,164.563558,1
20,38.860523,161.980579,1
21,42.424711,164.89708,1
22,44.743102,165.085141,1
23,47.345654,165.365674,1
24,49.853485,165.525681,1
25,53.827226,165.634777,1
26,56.521791,165.581788,1
27,59.219064,165.51633,1
28,64.049797,165.01241,1
29,65.834146,158.402229,1
30,63.140482,157.933636,1
31,59.047665,157.930519,1
32,59.157721,162.096949,1
33,56.520889,161.993048,1
34,61.187441,165.429053,1
35,53.812792,161.869405,1
36,51.032527,161.787324,1
37,47.816549,161.570171,1
38,44.716039,160.862605,1
39,41.007515,158.562237,1
40,42.633095,154.394768,1
41,46.730423,156.79592,1
42,49.010926,157.619855,1
43,51.297744,157.725834,1
44,53.884058,157.925324,1
45,56.52991,157.914934,1
46,58.898819,154.673223,1
47,56.604784,154.585946,1
48,53.917435,154.502825,1
49,51.633324,153.927214,1
50,48.554464,153.305886,1
51,44.464354,150.807067,1
52,46.107976,147.58302,1
53,69.24588,159.149278,5
54,50.198989,149.780526,1
55,52.055506,150.114048,1
56,54.05275,150.535886,1
57,56.648085,150.461077,1
58,58.822141,150.320811,1
59,63.514853,150.304187,1
60,63.339846,154.363598,1
61,66.553118,155.858733,5
62,71.364005,162.088636,5
63,75.615591,156.206802,5
64,70.149781,150.909929,5
65,47.829178,144.250915,1
66,51.632422,146.405822,1
67,54.305337,147.157026,1
68,56.599372,147.347165,1
69,58.667882,147.426129,1
70,49.839052,140.931279,1
71,53.220114,142.668503,1
72,56.674246,143.192164,1
73,58.489267,143.265934,1
74,58.556022,145.372007,1
75,71.292739,157.0058,5
76,63.534699,146.112821,1
77,69.000509,146.143991,1
78,69.55981,141.314673,1
79,65.134118,140.556196,1
80,60.625434,139.667843,1
81,58.480246,139.900581,1
82,54.618365,139.430948,1
83,50.871051,138.213229,1
84,51.121835,135.181398,1
85,57.855092,165.569319,1
86,56.206057,135.50453,1
87,58.188868,135.428682,1
88,51.514247,132.056056,1
89,52.059114,165.613997,1
90,55.093771,131.402519,1
91,56.67154,130.466371,1
92,53.060443,126.277084,1
93,54.208813,123.710729,1
94,67.265775,153.66954,5
95,56.786106,125.05313,1
96,59.434665,121.35945,1
97,59.356182,126.34358,1
98,59.109008,128.742654,1
99,64.165265,121.774015,1
100,61.520315,129.36606,1
101,66.860733,122.991734,1
102,70.717201,125.9872,1
103,73.731109,133.42651,1
104,65.752957,131.133416,1
105,67.353279,132.186972,1
106,73.74013,159.725928,5
107,72.211977,149.379468,5
108,75.289032,150.265743,5
109,73.263823,154.261775,5
110,69.627467,148.310327,5
111,50.256723,157.716483,1
112,52.324331,144.574047,1
113,60.710231,133.073247,1
114,71.383851,147.460417,1
