,# Result,rank
0,46.193832,114
1,46.187233,110
2,46.175823,64
3,46.197094,107
4,46.24034,108
5,46.309090000000005,109
6,46.325573,94
7,46.316353,63
8,46.328182,75
9,46.32966,106
10,46.334854,62
11,46.33619,53
12,43.212044,61
13,46.338642,77
14,46.34062,78
15,46.352109999999996,76
16,46.351856,79
17,46.34271,103
18,46.338535,105
19,46.329871999999995,102
20,46.329304,104
21,46.32665,101
22,46.311966,80
23,46.30146,99
24,46.26197,13
25,46.18593,100
26,46.096344,113
27,45.80448,81
28,45.388344000000004,96
29,45.185497,98
30,45.451096,97
31,46.016632,91
32,46.165394,87
33,45.991844,95
34,46.22371,93
35,46.269356,82
36,46.300156,86
37,46.316146999999994,90
38,46.31965,92
39,46.3142,83
40,46.307476,84
41,46.291656,88
42,46.235009999999996,59
43,45.885433,74
44,45.51121,73
45,45.169003000000004,72
46,45.33139,69
47,45.331734000000004,71
48,46.275967,70
49,46.3043,112
50,46.313297,68
51,43.946407,67
52,38.289562,66
53,43.949042999999996,65
54,43.954033,52
55,43.957809999999995,54
56,43.958622,55
57,43.975590000000004,56
58,43.340034,57
59,44.36253,58
60,38.289776,60
61,38.289394,46
62,38.28883,30
63,38.275494,47
64,43.9407,48
65,43.940613,29
66,43.939705,31
67,43.9372,45
68,43.90339,28
69,43.932747,44
70,43.921375,34
71,43.84881,32
72,43.80392,27
73,43.75459,85
74,38.288876,33
75,42.74812,3
76,40.801722999999996,26
77,42.327366,2
78,42.848656,1
79,43.193317,4
80,43.256676,35
81,43.283504,43
82,43.286263,5
83,43.286694,25
84,46.151295000000005,111
85,43.28488,36
86,43.280178,49
87,43.286762,42
88,46.298573,89
89,43.284909999999996,37
90,43.279793,24
91,43.28501,50
92,43.283314000000004,41
93,38.287956,6
94,43.280359999999995,23
95,43.262733000000004,51
96,43.271034,40
97,43.26405,38
98,43.201840000000004,8
99,43.212112,39
100,43.12758,7
101,43.067814,22
102,42.9386,9
103,43.08934,21
104,43.067482,10
105,38.289097,20
106,38.279156,11
107,38.283485,12
108,38.286556,19
109,38.224922,14
110,46.266234999999995,15
111,43.934059999999995,18
112,43.214490000000005,17
113,0.0,16
