Id,latitude,longitude,Weight
1,68.003992,156.744335,1.7
2,77.048656,148.989553,100000
3,77.048656,144.564523,9236.4475
4,76.756914,133.129518,1713.862
5,71.724012,128.266344,1373.152
6,61.439311,128.923532,1080.4719
7,57.263467,128.923532,977.7817
8,56.935213,141.169085,807.0857
9,57.008148,152.954562,144.9594
10,69.608705,147.543749,879.6763
11,71.304566,142.658698,1009.5347
12,75.717517,134.662939,1234.6352
13,70.465764,130.697931,1223.2838
14,68.623987,134.180987,1019.5565
15,66.235196,138.737498,1001.2683
16,63.262831,144.389287,889.7152
17,72.088689,156.678594,3366.093
18,72.143413,148.047579,5734.8546
19,73.893997,137.53267,1115.9405
20,68.003992,135.385869,1013.4037
21,66.891659,133.019968,1020.4258
22,64.101678,137.247885,1000.9786
23,62.387561,140.424278,890.3969
24,57.135808,136.305911,894.9136
25,61.147569,142.768193,886.3916
26,69.13458,141.059535,1006.4157
27,65.852262,146.360799,884.7383
28,56.989937,146.49228,406.875
29,61.092845,148.68289,307.5424
30,60.181108,150.457289,193.2111
31,68.405181,154.049894,192.5123
32,68.058716,147.368513,882.0283
33,66.873403,152.450732,186.1037
34,66.563405,153.699368,189.1035
35,61.512246,153.896536,113.0019
36,61.56697,156.96338,67.0342
37,69.13458,159.76737,0
