Id,latitude,longitude,# Result,Label,Weight
1,55.75591,173.639309,-0.08679,78,0.08679
2,59.452707,173.415922,-0.08676,76,0.08676
3,59.283112,169.492621,-0.08671,75,0.08671
4,56.481197,169.687955,-0.08683,79,0.08683
5,54.592204,170.327985,-0.08709,81,0.08709
6,49.681185,171.263093,-0.08761,93,0.08761
7,49.721779,174.129722,-0.0878,100,0.0878
8,46.936101,171.217377,-0.08772,98,0.08772
9,44.08006,171.198675,-0.0879,103.5,0.0879
10,43.98985,174.15258,-0.08795,105,0.08795
11,40.395893,168.770509,-0.08808,107.5,0.08808
12,38.302124,172.472501,-0.08826,113,0.08826
13,60.64528,136.646402,-0.07203,38,0.07203
14,37.691404,166.46079,-0.08808,107.5,0.08808
15,35.819551,168.993896,-0.08812,112,0.08812
16,28.549546,171.732726,-0.0881,110.5,0.0881
17,30.812909,170.063037,-0.0881,110.5,0.0881
18,34.110978,166.702879,-0.08809,109,0.08809
19,36.240831,164.563558,-0.08807,106,0.08807
20,38.860523,161.980579,-0.0879,103.5,0.0879
21,42.424711,164.89708,-0.08789,102,0.08789
22,44.743102,165.085141,-0.08786,101,0.08786
23,47.345654,165.365674,-0.08765,96,0.08765
24,49.853485,165.525681,-0.0875,89,0.0875
25,53.827226,165.634777,-0.08719,82,0.08719
26,56.521791,165.581788,-0.08677,77,0.08677
27,59.219064,165.51633,-0.08635,72,0.08635
28,64.049797,165.01241,-0.08523,68,0.08523
29,65.834146,158.402229,-0.08373,65,0.08373
30,63.140482,157.933636,-0.08304,62,0.08304
31,59.047665,157.930519,-0.08391,66,0.08391
32,59.157721,162.096949,-0.08607,71,0.08607
33,56.520889,161.993048,-0.08671,74,0.08671
34,61.187441,165.429053,-0.08592,70,0.08592
35,53.812792,161.869405,-0.08703,80,0.08703
36,51.032527,161.787324,-0.08733,84,0.08733
37,47.816549,161.570171,-0.08756,90,0.08756
38,44.716039,160.862605,-0.08769,97,0.08769
39,41.007515,158.562237,-0.08773,99,0.08773
40,42.633095,154.394768,-0.08765,95,0.08765
41,46.730423,156.79592,-0.08759,92,0.08759
42,49.010926,157.619855,-0.08749,88,0.08749
43,51.297744,157.725834,-0.08721,83,0.08721
44,53.884058,157.925324,-0.0857,69,0.0857
45,56.52991,157.914934,-0.08413,67,0.08413
46,58.898819,154.673223,-0.08273,61,0.08273
47,56.604784,154.585946,-0.08338,64,0.08338
48,53.917435,154.502825,-0.08337,63,0.08337
49,51.633324,153.927214,-0.0874,86,0.0874
50,48.554464,153.305886,-0.08757,91,0.08757
51,44.464354,150.807067,-0.08763,94,0.08763
52,46.107976,147.58302,-0.07767,53.5,0.07767
53,69.24588,159.149278,-0.06559,10.5,0.06559
54,50.198989,149.780526,-0.07769,55,0.07769
55,52.055506,150.114048,-0.07774,56,0.07774
56,54.05275,150.535886,-0.07779,57,0.07779
57,56.648085,150.461077,-0.07781,58,0.07781
58,58.822141,150.320811,-0.078,59,0.078
59,63.514853,150.304187,-0.07721,44,0.07721
60,63.339846,154.363598,-0.08036,60,0.08036
61,66.553118,155.858733,-0.06559,6,0.06559
62,71.364005,162.088636,-0.06559,2,0.06559
63,75.615591,156.206802,-0.06559,10.5,0.06559
