Id,Label,latitude,longitude,# Result
1,16,38.118821,122.819931,-0.0604
2,22,40.863878,125.749327,-0.1387
3,28,42.745007,127.473483,-0.1709
4,1,37.213088,118.450949,-0.002
5,4,38.104883,119.605967,-0.0156
6,10,38.690124,120.309023,-0.0251
7,8,39.261436,121.179472,-0.0245
8,15,38.759796,121.916005,-0.0599
9,12,41.365509,123.439289,-0.0283
10,13,40.93355,124.041903,-0.0285
11,25,41.546658,124.644528,-0.166
12,14,41.839283,123.97495,-0.0291
13,21,39.846677,125.23041,-0.1368
14,19,38.160626,125.196933,-0.1307
15,23,42.354852,125.498235,-0.1615
16,24,42.981889,124.443657,-0.1646
17,30,43.204842,126.435649,-7.2124
18,27,39.902411,128.009154,-0.1698
19,26,39.902411,129.649613,-0.167
20,3,38.230298,121.279903,-0.0155
21,2,37.519642,120.409453,-0.0119
22,18,39.846677,126.485859,-0.129
23,20,38.174555,126.569556,-0.1323
24,29,38.495047,128.86286,-0.1713
25,7,42.006493,122.66928,-0.0238
26,11,40.710596,122.752978,-0.0274
27,6,40.306504,123.355592,-0.0237
28,9,41.379447,121.899261,-0.0249
29,5,40.013888,121.916005,-0.0206
30,17,39.595857,122.585583,-0.0605
0,,36.223754,120.191848,-19.07
