Id,latitude,longitude,# Result
1,38.118821,122.819931,-0.0231
2,40.863878,125.749327,-0.0263
3,42.745007,127.473483,-0.0263
4,37.213088,118.450949,-0.017
5,38.104883,119.605967,-0.1114
6,38.690124,120.309023,-0.1522
7,39.261436,121.179472,-0.1583
8,38.759796,121.916005,-0.0385
9,41.365509,123.439289,-0.5188
10,40.93355,124.041903,-0.5188
11,41.546658,124.644528,-0.0291
12,41.839283,123.97495,-0.5142
13,39.846677,125.23041,-0.0264
14,38.160626,125.196933,-0.0263
15,42.354852,125.498235,-0.029
16,42.981889,124.443657,-0.029
17,43.204842,126.435649,-0.0276
18,39.902411,128.009154,-0.0263
19,39.902411,129.649613,-0.0263
20,38.230298,121.279903,-0.1113
21,37.519642,120.409453,-0.1114
22,39.846677,126.485859,-0.0263
23,38.174555,126.569556,-0.0263
24,38.495047,128.86286,-0.0263
25,42.006493,122.66928,-0.5186
26,40.710596,122.752978,-0.2215
27,40.306504,123.355592,-0.2215
28,41.379447,121.899261,-0.2216
29,40.013888,121.916005,-0.1737
30,39.595857,122.585583,-0.0385
0,36.223754,120.191848,
