 Node ID,NoLeak,L8,D8
1,54.59038,54.34868,0.2417
2,50.48867,50.2475,0.24117
3,51.50091,51.25974,0.24117
4,57.35196,57.33477,0.01719
5,51.17554,51.0628,0.11274
6,51.61502,51.46091,0.15411
7,51.78442,51.62421,0.16021
8,57.68977,57.25802,0.43175
9,49.64816,49.48534,0.16282
10,46.09838,45.93556,0.16282
11,46.67595,46.43522,0.24073
12,49.20906,49.0455,0.16356
13,46.42675,46.18557,0.24118
14,44.44072,44.19954,0.24118
15,45.15156,44.91083,0.24073
16,43.61457,43.37384,0.24073
17,47.65236,47.41133,0.24103
18,42.02974,41.78857,0.24117
19,40.01696,39.77579,0.24117
20,47.27547,47.16273,0.11274
21,51.08185,50.96904,0.11281
22,44.03899,43.79782,0.24117
23,40.19231,39.95113,0.24118
24,30.96129,30.72012,0.24117
25,47.01381,46.85092,0.16289
26,57.90737,57.74671,0.16066
27,57.11373,56.95307,0.16066
28,58.20486,58.0442,0.16066
29,53.3005,53.14014,0.16036
30,56.4204,55.98865,0.43175
Total,2941.34,2928.94,12.4
