Source,Target,Type,Id,Label,timeset,Weight
2,1,Undirected,0,,,1
2,3,Undirected,1,,,2
4,3,Undirected,2,,,2
1,4,Undirected,3,,,2
4,5,Undirected,4,,,2
5,6,Undirected,5,,,1
7,6,Undirected,6,,,2
6,8,Undirected,7,,,2
8,9,Undirected,8,,,3
7,10,Undirected,9,,,1
9,10,Undirected,10,,,2
10,12,Undirected,11,,,1
12,11,Undirected,13,,,2
11,14,Undirected,14,,,2
80,13,Undirected,15,,,2
14,15,Undirected,16,,,1
12,15,Undirected,17,,,1
16,17,Undirected,18,,,2
18,17,Undirected,19,,,3
15,18,Undirected,20,,,2
19,18,Undirected,21,,,3
14,19,Undirected,22,,,2
20,19,Undirected,23,,,2
21,20,Undirected,24,,,1
22,21,Undirected,26,,,2
22,9,Undirected,27,,,1
23,22,Undirected,28,,,3
8,23,Undirected,29,,,1
24,23,Undirected,30,,,2
6,24,Undirected,31,,,1
25,89,Undirected,32,,,2
26,25,Undirected,33,,,3
4,26,Undirected,34,,,1
27,85,Undirected,35,,,2
3,27,Undirected,36,,,3
28,34,Undirected,37,,,2
29,28,Undirected,38,,,1
30,29,Undirected,39,,,2
30,31,Undirected,40,,,3
31,32,Undirected,41,,,1
32,27,Undirected,42,,,3
32,33,Undirected,43,,,2
33,26,Undirected,44,,,1
33,35,Undirected,45,,,2
34,27,Undirected,46,,,2
35,36,Undirected,47,,,2
36,24,Undirected,48,,,1
36,37,Undirected,49,,,2
37,23,Undirected,50,,,1
37,38,Undirected,51,,,2
38,21,Undirected,52,,,1
38,39,Undirected,53,,,1
39,20,Undirected,54,,,2
40,39,Undirected,55,,,3
41,40,Undirected,56,,,1
41,38,Undirected,57,,,1
42,41,Undirected,58,,,2
42,37,Undirected,59,,,1
111,42,Undirected,60,,,2
43,36,Undirected,61,,,4
44,43,Undirected,62,,,2
45,44,Undirected,63,,,3
31,45,Undirected,64,,,2
46,31,Undirected,65,,,3
46,47,Undirected,66,,,2
47,45,Undirected,67,,,1
47,48,Undirected,68,,,2
49,43,Undirected,69,,,3
49,50,Undirected,70,,,2
50,41,Undirected,71,,,1
50,51,Undirected,72,,,1
51,40,Undirected,73,,,2
54,52,Undirected,74,,,1
62,53,Undirected,75,,,1
55,54,Undirected,76,,,2
56,55,Undirected,77,,,2
57,56,Undirected,78,,,3
58,57,Undirected,79,,,2
59,58,Undirected,81,,,1
60,30,Undirected,82,,,2
59,60,Undirected,83,,,2
63,106,Undirected,85,,,2
109,75,Undirected,86,,,3
64,94,Undirected,87,,,3
110,64,Undirected,88,,,2
110,59,Undirected,89,,,1
52,65,Undirected,90,,,2
54,66,Undirected,91,,,1
57,68,Undirected,92,,,1
58,69,Undirected,93,,,3
66,65,Undirected,94,,,1
67,66,Undirected,95,,,3
68,67,Undirected,96,,,2
69,68,Undirected,97,,,2
65,70,Undirected,98,,,2
66,112,Undirected,99,,,2
94,75,Undirected,100,,,1
74,73,Undirected,101,,,3
69,74,Undirected,102,,,2
71,70,Undirected,103,,,3
72,71,Undirected,104,,,1
73,72,Undirected,105,,,2
82,83,Undirected,106,,,1
81,82,Undirected,107,,,1
80,81,Undirected,108,,,2
76,74,Undirected,109,,,2
78,79,Undirected,112,,,2
77,78,Undirected,113,,,2
77,76,Undirected,114,,,1
110,77,Undirected,115,,,2
83,84,Undirected,116,,,2
82,86,Undirected,117,,,2
81,87,Undirected,118,,,1
85,26,Undirected,119,,,2
86,84,Undirected,120,,,1
87,86,Undirected,121,,,2
84,88,Undirected,122,,,2
90,88,Undirected,123,,,3
89,24,Undirected,124,,,2
86,90,Undirected,125,,,3
91,90,Undirected,126,,,2
87,91,Undirected,127,,,1
91,98,Undirected,128,,,3
100,98,Undirected,129,,,2
113,100,Undirected,130,,,3
104,100,Undirected,131,,,3
79,104,Undirected,132,,,1
105,104,Undirected,133,,,2
103,105,Undirected,134,,,2
78,103,Undirected,135,,,1
88,92,Undirected,136,,,1
90,92,Undirected,137,,,1
92,93,Undirected,138,,,2
96,93,Undirected,139,,,1
95,93,Undirected,140,,,3
97,95,Undirected,141,,,2
97,96,Undirected,142,,,2
98,97,Undirected,143,,,2
99,96,Undirected,144,,,3
100,99,Undirected,145,,,1
101,99,Undirected,146,,,2
104,101,Undirected,147,,,1
102,101,Undirected,148,,,2
105,102,Undirected,149,,,1
103,102,Undirected,150,,,1
75,106,Undirected,151,,,1
64,107,Undirected,152,,,2
107,108,Undirected,153,,,2
108,109,Undirected,154,,,1
64,109,Undirected,155,,,1
109,63,Undirected,156,,,2
75,53,Undirected,157,,,2
94,61,Undirected,158,,,2
106,62,Undirected,159,,,2
43,111,Undirected,160,,,2
112,71,Undirected,161,,,2
13,113,Undirected,162,,,2
110,114,Undirected,163,,,2
