 Node ID,NoLeak,L8-0.15,D8-0.15,L8-0.25,D8-0.25,R8-0.15,R8-0.25
1,47.29696,47.2101,0.08686,47.15224,0.14472,36,36
2,47.30356,47.21674,0.08682,47.15891,0.14465,38,38
3,47.31497,47.2282,0.08677,47.17041,0.14456,39,39
4,47.2937,47.20681,0.08689,47.14893,0.14477,35,35
5,47.25044,47.16327,0.08717,47.10521,0.14523,32.5,32.5
6,47.18167,47.09394,0.08773,47.0355,0.14617,7.5,6.5
7,47.1652,47.07744,0.08776,47.01898,0.14622,4,4
8,47.17442,47.08643,0.08799,47.02781,0.14661,1,1
9,47.16258,47.0748,0.08778,47.01632,0.14626,2,2
10,47.16111,47.07334,0.08777,47.01487,0.14624,3,3
11,47.15591,47.06818,0.08773,47.00974,0.14617,5.5,6.5
12,47.15457,47.06684,0.08773,47.0084,0.14617,5.5,6.5
13,50.27933,50.20729,0.07204,50.15931,0.12002,78.5,78
14,47.15212,47.0644,0.08772,47.00597,0.14615,9.5,10.5
15,47.15014,47.06243,0.08771,47.00399,0.14615,13,10.5
16,47.13865,47.05093,0.08772,46.9925,0.14615,9.5,10.5
17,47.1389,47.05119,0.08771,46.99275,0.14615,13,10.5
18,47.14805,47.06034,0.08771,47.00191,0.14614,13,15
19,47.15223,47.06452,0.08771,47.00609,0.14614,13,13.5
20,47.16089,47.07322,0.08767,47.01481,0.14608,17,17
21,47.16146,47.07377,0.08769,47.01536,0.1461,16,16
22,47.16412,47.07639,0.08773,47.01795,0.14617,7.5,6.5
23,47.1788,47.09109,0.08771,47.03266,0.14614,13,13.5
24,47.18931,47.10175,0.08756,47.04341,0.1459,20,19.5
25,47.22881,47.14156,0.08725,47.08344,0.14537,31,31
26,47.30486,47.21803,0.08683,47.16019,0.14467,37,37
27,47.39446,47.30806,0.0864,47.2505,0.14396,42,42
28,47.68639,47.60112,0.08527,47.54432,0.14207,46,46
29,48.1026,48.01884,0.08376,47.96304,0.13956,49,49
30,48.30549,48.22243,0.08306,48.1671,0.13839,52,52
31,48.03985,47.95593,0.08392,47.90003,0.13982,48,48
32,47.4742,47.38808,0.08612,47.33072,0.14348,43,43
33,47.3254,47.23865,0.08675,47.18086,0.14454,40,40
34,47.49899,47.41302,0.08597,47.35576,0.14323,44,44
35,47.26707,47.18002,0.08705,47.12202,0.14505,34,34
36,47.22142,47.13408,0.08734,47.0759,0.14552,28,28
37,47.19062,47.10309,0.08753,47.04479,0.14583,21,21
38,47.17462,47.08705,0.08757,47.02872,0.1459,19,19.5
39,47.17112,47.08353,0.08759,47.02519,0.14593,18,18
40,47.17657,47.08905,0.08752,47.03074,0.14583,22,22
41,47.18329,47.0958,0.08749,47.03751,0.14578,24,24
42,47.19912,47.11168,0.08744,47.05344,0.14568,27,27
43,47.25578,47.16861,0.08717,47.11055,0.14523,32.5,32.5
44,47.60542,47.51973,0.08569,47.46265,0.14277,45,45
