Source,Target,Weight,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00
2,1,16.86545,16.86556,16.86556,16.86556,16.86556,16.86556,16.86556,16.86556,16.86556,16.86556
2,3,-23.67552,-23.67556,-23.67556,-23.67556,-23.67556,-23.67556,-23.67556,-23.67556,-23.67556,-23.67556
4,3,-36.83244,-36.83259,-36.83259,-36.83259,-36.83259,-36.83259,-36.83259,-36.83259,-36.83259,-36.83259
1,4,11.86531,11.86556,11.86556,11.86556,11.86556,11.86556,11.86556,11.86556,11.86556,11.86556
4,5,65.44131,65.44144,65.44144,65.44144,65.44144,65.44144,65.44144,65.44144,65.44144,65.44144
5,6,50.76531,50.76543,50.76543,50.76543,50.76543,50.76543,50.76543,50.76543,50.76543,50.76543
7,6,-34.25341,-34.25341,-34.25341,-34.25341,-34.25341,-34.25341,-34.25341,-34.25341,-34.25341,-34.25341
6,8,20.85349,20.85347,20.85347,20.85347,20.85347,20.85347,20.85347,20.85347,20.85347,20.85347
8,9,26.57875,26.57873,26.57873,26.57873,26.57873,26.57873,26.57873,26.57873,26.57873,26.57873
7,10,10.27931,10.27941,10.27941,10.27941,10.27941,10.27941,10.27941,10.27941,10.27941,10.27941
9,10,9.156281,9.156598,9.156598,9.156598,9.156598,9.156598,9.156598,9.156598,9.156598,9.156598
10,12,12.86386,12.86401,12.86401,12.86401,12.86401,12.86401,12.86401,12.86401,12.86401,12.86401
9,11,15.68204,15.68223,15.68223,15.68223,15.68223,15.68223,15.68223,15.68223,15.68223,15.68223
12,11,-6.985556,-6.985816,-6.985816,-6.985816,-6.985816,-6.985816,-6.985816,-6.985816,-6.985816,-6.985816
11,14,13.15345,13.15378,13.15378,13.15378,13.15378,13.15378,13.15378,13.15378,13.15378,13.15378
80,13,35.65182,35.65257,35.65257,35.65257,35.65257,35.65257,35.65257,35.65257,35.65257,35.65257
14,15,10.0443,10.04311,10.04311,10.04311,10.04311,10.04311,10.04311,10.04311,10.04311,10.04311
12,15,13.19337,13.19383,13.19383,13.19383,13.19383,13.19383,13.19383,13.19383,13.19383,13.19383
16,17,-3.689711,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69
18,17,18.318,18.318,18.318,18.318,18.318,18.318,18.318,18.318,18.318,18.318
