,Source,Target,Weight
0,2,1,0.0
1,2,3,1.0
2,4,3,1.0
3,1,4,1.0
4,4,5,0.0
5,5,6,1.0
6,7,6,1.0
7,6,8,2.0
8,8,9,0.0
9,7,10,2.0
10,9,10,1.0
11,10,12,2.0
12,9,11,0.0
13,12,11,1.0
14,11,14,2.0
15,80,13,1.0
16,14,15,1.0
17,12,15,0.0
18,16,17,1.0
19,18,17,2.0
20,15,18,1.0
21,19,18,0.0
22,14,19,1.0
23,20,19,0.0
24,21,20,1.0
25,11,21,1.0
26,22,21,0.0
27,22,9,1.0
28,23,22,0.0
29,8,23,1.0
30,24,23,0.0
31,6,24,1.0
32,25,89,1.0
33,26,25,0.0
34,4,26,1.0
35,27,85,0.0
36,3,27,1.0
37,28,34,1.0
38,29,28,1.0
39,30,29,0.0
40,30,31,1.0
41,31,32,0.0
42,32,27,1.0
43,32,33,0.0
44,33,26,1.0
45,33,35,2.0
46,34,27,1.0
47,35,36,1.0
48,36,24,1.0
49,36,37,0.0
50,37,23,2.0
51,37,38,0.0
52,38,21,0.0
53,38,39,1.0
54,39,20,0.0
55,40,39,2.0
56,41,40,2.0
57,41,38,0.0
58,42,41,0.0
59,42,37,1.0
60,111,42,1.0
61,43,36,0.0
62,44,43,1.0
63,45,44,0.0
64,31,45,1.0
65,46,31,0.0
66,46,47,1.0
67,47,45,2.0
68,47,48,1.0
69,49,43,1.0
70,49,50,2.0
71,50,41,1.0
72,50,51,0.0
73,51,40,1.0
74,54,52,2.0
75,62,53,1.0
76,55,54,1.0
77,56,55,1.0
78,57,56,2.0
79,58,57,1.0
80,58,46,0.0
81,59,58,1.0
82,60,30,1.0
83,59,60,0.0
84,53,61,1.0
85,63,106,1.0
86,109,75,1.0
87,64,94,0.0
88,110,64,2.0
89,110,59,0.0
90,52,65,1.0
91,54,66,2.0
92,57,68,1.0
93,58,69,1.0
94,66,65,0.0
95,67,66,1.0
96,68,67,0.0
97,69,68,0.0
98,65,70,1.0
99,66,112,1.0
100,94,75,1.0
101,74,73,0.0
102,69,74,1.0
103,71,70,0.0
104,72,71,1.0
105,73,72,1.0
106,82,83,0.0
107,81,82,0.0
108,80,81,0.0
109,76,74,0.0
110,79,80,0.0
111,76,79,1.0
112,78,79,0.0
113,77,78,1.0
114,77,76,0.0
115,110,77,0.0
116,83,84,1.0
117,82,86,1.0
118,81,87,1.0
119,85,26,1.0
120,86,84,0.0
121,87,86,2.0
122,84,88,1.0
123,90,88,0.0
124,89,24,1.0
125,86,90,1.0
126,91,90,0.0
127,87,91,1.0
128,91,98,1.0
129,100,98,0.0
130,113,100,1.0
131,104,100,0.0
132,79,104,2.0
133,105,104,2.0
134,103,105,0.0
135,78,103,1.0
136,88,92,1.0
137,90,92,2.0
138,92,93,1.0
139,96,93,0.0
140,95,93,1.0
141,97,95,2.0
142,97,96,1.0
143,98,97,0.0
144,99,96,2.0
145,100,99,1.0
146,101,99,0.0
147,104,101,1.0
148,102,101,0.0
149,105,102,1.0
150,103,102,1.0
151,75,106,1.0
152,64,107,1.0
153,107,108,1.0
154,108,109,1.0
155,64,109,0.0
156,109,63,0.0
157,75,53,2.0
158,94,61,0.0
159,106,62,0.0
160,43,111,0.0
161,112,71,1.0
162,13,113,1.0
163,110,114,1.0
