Source,Target,Weight
2,1,0
2,3,1
4,3,1
1,4,1
4,5,1
5,6,0
7,6,1
6,8,1
8,9,0
7,10,0
9,10,1
10,12,0
9,11,0
12,11,1
11,14,1
80,13,1
14,15,0
12,15,0
16,17,1
18,17,0
15,18,1
19,18,0
14,19,1
20,19,1
21,20,0
11,21,0
22,21,1
22,9,0
23,22,0
8,23,0
24,23,1
6,24,0
25,89,1
26,25,0
4,26,0
27,85,1
3,27,0
28,34,1
29,28,0
30,29,1
30,31,0
31,32,0
32,27,0
32,33,1
33,26,0
33,35,1
34,27,1
35,36,1
36,24,0
36,37,1
37,23,0
37,38,1
38,21,0
38,39,0
39,20,1
40,39,0
41,40,0
41,38,0
42,41,1
42,37,0
111,42,1
43,36,0
44,43,1
45,44,0
31,45,1
46,31,0
46,47,1
47,45,0
47,48,1
49,43,0
49,50,1
50,41,0
50,51,0
51,40,1
54,52,0
62,53,0
55,54,1
56,55,1
57,56,0
58,57,1
58,46,0
59,58,0
60,30,1
59,60,1
53,61,0
63,106,1
109,75,0
64,94,0
110,64,1
110,59,0
52,65,1
54,66,0
57,68,0
58,69,0
66,65,0
67,66,0
68,67,1
69,68,1
65,70,1
66,112,1
94,75,0
74,73,0
69,74,1
71,70,0
72,71,0
73,72,1
82,83,0
81,82,0
80,81,1
76,74,1
79,80,0
76,79,0
78,79,1
77,78,1
77,76,0
110,77,1
83,84,1
82,86,1
81,87,0
85,26,1
86,84,0
87,86,1
84,88,1
90,88,0
89,24,1
86,90,0
91,90,1
87,91,0
91,98,0
100,98,1
113,100,0
104,100,0
79,104,0
105,104,1
103,105,1
78,103,0
88,92,0
90,92,0
92,93,1
96,93,0
95,93,0
97,95,1
97,96,1
98,97,1
99,96,0
100,99,0
101,99,1
104,101,0
102,101,1
105,102,0
103,102,0
75,106,0
64,107,1
107,108,1
108,109,0
64,109,0
109,63,1
75,53,1
94,61,1
106,62,1
43,111,1
112,71,1
13,113,1
110,114,1
