 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
1,47.296960,47.297140,47.297140,47.297140,47.297140,47.297140,47.297140,47.297140,47.297140,47.297140,47.297140,
2,47.303560,47.303740,47.303740,47.303740,47.303740,47.303740,47.303740,47.303740,47.303740,47.303740,47.303740,
3,47.314970,47.315150,47.315150,47.315150,47.315150,47.315150,47.315150,47.315150,47.315150,47.315150,47.315150,
4,47.293700,47.293870,47.293870,47.293870,47.293870,47.293870,47.293870,47.293870,47.293870,47.293870,47.293870,
5,47.250440,47.250620,47.250620,47.250620,47.250620,47.250620,47.250620,47.250620,47.250620,47.250620,47.250620,
6,47.181670,47.181850,47.181850,47.181850,47.181850,47.181850,47.181850,47.181850,47.181850,47.181850,47.181850,
7,47.165200,47.165370,47.165370,47.165370,47.165370,47.165370,47.165370,47.165370,47.165370,47.165370,47.165370,
8,47.174420,47.174590,47.174590,47.174590,47.174590,47.174590,47.174590,47.174590,47.174590,47.174590,47.174590,
9,47.162580,47.162760,47.162760,47.162760,47.162760,47.162760,47.162760,47.162760,47.162760,47.162760,47.162760,
10,47.161110,47.161280,47.161280,47.161280,47.161280,47.161280,47.161280,47.161280,47.161280,47.161280,47.161280,
11,47.155910,47.156090,47.156090,47.156090,47.156090,47.156090,47.156090,47.156090,47.156090,47.156090,47.156090,
12,47.154570,47.154750,47.154750,47.154750,47.154750,47.154750,47.154750,47.154750,47.154750,47.154750,47.154750,
13,50.279330,50.279520,50.279520,50.279520,50.279520,50.279520,50.279520,50.279520,50.279520,50.279520,50.279520,
14,47.152120,47.152300,47.152300,47.152300,47.152300,47.152300,47.152300,47.152300,47.152300,47.152300,47.152300,
15,47.150140,47.150330,47.150330,47.150330,47.150330,47.150330,47.150330,47.150330,47.150330,47.150330,47.150330,
16,47.138650,47.138830,47.138830,47.138830,47.138830,47.138830,47.138830,47.138830,47.138830,47.138830,47.138830,
