,Id,latitude,longitude
0,1,-2260.03,6736.47
1,2,-2260.03,7905.76
2,3,-881.33,7923.21
3,4,514.83,7888.31
4,5,-951.13,6736.47
5,6,1806.28,7853.4
6,7,1771.38,6684.12
7,8,1806.28,5619.55
8,9,-898.78,5532.29
9,10,-916.23,4258.29
10,11,3289.7,6684.12
11,12,3254.8,5549.74
12,13,4755.67,5479.93
13,14,3237.35,4171.03
14,15,1003.49,2739.97
15,16,4755.67,6684.12
16,17,6134.38,6614.31
17,18,6169.28,7748.69
18,19,4703.32,7748.69
19,20,4685.86,8883.07
20,21,6221.64,9685.86
21,22,986.04,1553.23
22,23,7757.42,8917.98
23,24,7739.97,7731.24
24,25,6099.48,5427.57
25,26,6134.38,4240.84
26,27,4703.32,4153.58
27,28,3184.99,2670.16
28,29,6134.38,1535.78
29,30,7757.42,4258.29
30,31,7739.97,5532.29
31,32,9450.26,7766.14
32,33,11090.75,7766.14
33,34,11125.65,5532.29
34,35,9380.45,5479.93
35,99,-2277.49,5479.93
