,Source,Target,Weight
0,1,2,2.0
1,2,3,2.0
2,3,4,2.0
3,4,6,2.0
4,6,7,1.0
5,7,11,4.0
6,11,16,2.0
7,16,17,1.0
8,3,4,2.0
9,3,5,1.0
10,4,5,2.0
11,4,6,2.0
12,6,7,1.0
13,7,8,2.0
14,9,8,2.0
15,5,9,3.0
16,9,10,1.0
17,7,11,4.0
18,11,16,2.0
19,11,12,1.0
20,10,15,2.0
21,15,14,3.0
22,12,14,2.0
23,12,13,3.0
24,16,13,2.0
25,16,19,2.0
26,19,20,1.0
27,19,18,1.0
28,16,17,1.0
29,13,27,4.0
30,27,14,1.0
31,27,26,2.0
32,25,26,3.0
33,26,28,2.0
34,15,28,1.0
35,26,29,1.0
36,30,29,2.0
37,25,30,3.0
38,30,35,2.0
39,17,25,2.0
40,25,31,1.0
41,17,18,2.0
42,18,24,2.0
43,24,23,3.0
44,20,24,1.0
45,11,20,1.0
46,20,21,2.0
47,21,23,2.0
48,20,23,1.0
49,15,22,2.0
50,23,32,2.0
51,31,32,2.0
52,32,33,2.0
53,31,35,1.0
54,33,34,1.0
55,35,34,2.0
56,29,22,1.0
