Id,Source,Target,Weight
1,99,1,1100
2,1,2,1100
3,2,3,1100
4,3,4,900
5,4,6,900
6,6,7,800
7,7,11,600
8,11,16,500
9,16,17,500
10,3,4,600
11,3,5,100
12,4,5,100
13,4,6,600
14,6,7,600
15,7,8,200
16,9,8,80
17,5,9,150
18,9,10,150
19,7,11,600
20,11,16,600
21,11,12,400
22,10,15,150
23,15,14,400
24,12,14,400
25,12,13,150
26,16,13,150
27,16,19,200
28,19,20,100
29,19,18,80
30,16,17,600
31,13,27,100
32,27,14,300
33,27,26,100
34,25,26,100
35,26,28,100
36,15,28,150
37,26,29,100
38,30,29,400
39,25,30,700
40,30,35,450
41,17,25,700
42,25,31,100
43,17,18,700
44,18,24,700
45,24,23,700
46,20,24,80
47,11,20,500
48,20,21,500
49,21,23,300
50,20,23,400
51,15,22,700
52,23,32,300
53,31,32,100
54,32,33,200
55,31,35,200
56,33,34,200
57,35,34,200
58,29,22,400
