Id,Source,Target,Weight
1,99,1,200
2,1,2,470
3,2,3,80
4,3,4,370
5,4,6,410
6,6,7,540
7,7,11,530
8,11,16,130
9,16,17,470
10,3,4,370
11,3,5,470
12,4,5,380
13,4,6,410
14,6,7,540
15,7,8,170
16,9,8,390
17,5,9,510
18,9,10,600
19,7,11,530
20,11,16,130
21,11,12,530
22,10,15,560
23,15,14,440
24,12,14,160
25,12,13,350
26,16,13,170
27,16,19,350
28,19,20,590
29,19,18,400
30,16,17,470
31,13,27,350
32,27,14,540
33,27,26,230
34,25,26,270
35,26,28,400
36,15,28,620
37,26,29,600
38,30,29,350
39,25,30,540
40,30,35,370
41,17,25,90
42,25,31,540
43,17,18,220
44,18,24,390
45,24,23,400
46,20,24,560
47,11,20,900
48,20,21,310
49,21,23,300
50,20,23,510
51,15,22,250
52,23,32,350
53,31,32,380
54,32,33,690
55,31,35,670
56,33,34,870
57,35,34,620
58,29,22,580
