Id,Source,Target,Weight
1,99,1,220000
2,1,2,517000
3,2,3,88000
4,3,4,333000
5,4,6,369000
6,6,7,432000
7,7,11,318000
8,11,16,65000
9,16,17,235000
10,3,4,222000
11,3,5,47000
12,4,5,38000
13,4,6,246000
14,6,7,324000
15,7,8,34000
16,9,8,31200
17,5,9,76500
18,9,10,90000
19,7,11,318000
20,11,16,78000
21,11,12,212000
22,10,15,84000
23,15,14,176000
24,12,14,64000
25,12,13,52500
26,16,13,25500
27,16,19,70000
28,19,20,59000
29,19,18,32000
30,16,17,282000
31,13,27,35000
32,27,14,162000
33,27,26,23000
34,25,26,27000
35,26,28,40000
36,15,28,93000
37,26,29,60000
38,30,29,140000
39,25,30,378000
40,30,35,166500
41,17,25,63000
42,25,31,54000
43,17,18,154000
44,18,24,273000
45,24,23,280000
46,20,24,44800
47,11,20,450000
48,20,21,155000
49,21,23,90000
50,20,23,204000
51,15,22,175000
52,23,32,105000
53,31,32,38000
54,32,33,138000
55,31,35,134000
56,33,34,174000
57,35,34,124000
58,29,22,232000
