,Id,latitude,longitude
0,1,4234.93,4513.14
1,2,6939.72,7557.96
2,3,8531.68,9644.51
3,4,200.93,3508.5
4,5,1267.39,4497.68
5,6,1916.54,5146.83
6,7,2720.25,5780.53
7,8,3400.31,5224.11
8,9,4806.8,8114.37
9,10,5363.21,7635.24
10,11,5919.63,8315.3
11,12,5301.39,8639.88
12,13,6460.59,6429.68
13,14,6429.68,4559.51
14,15,6707.88,9211.75
15,16,5734.16,9907.26
16,17,7573.42,10154.56
17,18,9026.28,6491.5
18,19,10540.96,6491.5
19,20,2812.98,4636.79
20,21,2009.27,3848.53
21,22,7619.78,6429.68
22,23,7697.06,4574.96
23,24,9814.53,4930.45
24,25,4095.83,8825.35
25,26,4173.11,7387.94
26,27,4729.52,6939.72
27,28,3384.85,8129.83
28,29,3400.31,6615.15
29,30,4018.55,6151.47
30,0,1808.35,2411.13
