Id,latitude,longitude,Cluster1,Cluster2,CapClus1,CapClus2
1,38.118821,122.819931,8,8,8,8
2,40.863878,125.749327,11,3,11,11
3,42.745007,127.473483,17,3,17,11
4,37.213088,118.450949,4,8,4,8
5,38.104883,119.605967,6,8,6,8
6,38.690124,120.309023,6,8,6,8
7,39.261436,121.179472,6,8,6,8
8,38.759796,121.916005,8,8,8,8
9,41.365509,123.439289,10,8,10,11
10,40.93355,124.041903,10,8,10,11
11,41.546658,124.644528,11,3,11,11
12,41.839283,123.97495,10,8,10,11
13,39.846677,125.23041,11,3,11,11
14,38.160626,125.196933,23,3,23,11
15,42.354852,125.498235,11,3,17,11
16,42.981889,124.443657,11,3,17,11
17,43.204842,126.435649,17,3,17,11
18,39.902411,128.009154,19,3,19,11
19,39.902411,129.649613,19,3,19,11
20,38.230298,121.279903,20,8,20,8
21,37.519642,120.409453,20,8,20,8
22,39.846677,126.485859,23,3,23,11
23,38.174555,126.569556,23,3,23,11
24,38.495047,128.86286,19,3,19,11
25,42.006493,122.66928,10,8,10,11
26,40.710596,122.752978,10,8,10,11
27,40.306504,123.355592,10,8,10,11
28,41.379447,121.899261,10,8,10,11
29,40.013888,121.916005,6,8,6,8
30,39.595857,122.585583,8,8,8,8
0,36.223754,120.191848,4,8,4,8
