Id,Source,Target,Weight
1,0,1,415.44
2,0,4,59.13
3,1,2,558.4
4,1,8,46.02
5,2,3,270.66
6,2,11,47.24
7,2,13,94.18
8,3,17,213.06
9,3,18,350.83
10,4,5,334.67
11,5,6,176.17
12,5,21,186.23
13,6,7,28.96
14,7,8,127.71
15,7,29,63.4
16,8,30,33.53
17,9,10,137.47
18,9,12,17.98
19,9,25,126.8
20,11,15,92.35
21,12,11,250.85
22,13,14,233.48
23,14,23,116.43
24,15,16,231.04
25,15,17,307.54
26,18,19,124.36
27,18,24,359.97
28,21,20,34.44
29,22,13,213.67
30,23,22,106.99
31,24,19,294.74
32,26,9,82.6
33,26,27,96.62
34,26,28,129.24
35,29,26,222.5
