Id,Source,Target,Weight
1,0,1,84417.408
2,0,4,9011.412
3,1,2,113466.88
4,1,8,4675.632
5,2,3,41248.584
6,2,11,4799.584
7,2,13,9568.688
8,3,17,5411.724
9,3,18,53466.492
10,4,5,51003.708
11,5,6,26848.308
12,5,21,28381.452
13,6,7,4413.504
14,7,8,9731.502
15,7,29,9662.16
16,8,30,1703.324
17,9,10,20950.428
18,9,12,913.384
19,9,25,19324.32
20,11,15,28148.28
21,12,11,6371.59
22,13,14,47443.136
23,14,23,2957.322
24,15,16,58684.16
25,15,17,7811.516
26,18,19,18952.464
27,18,24,9143.238
28,21,20,874.776
29,22,13,32563.308
30,23,22,16305.276
31,24,19,44918.376
32,26,9,6294.12
33,26,27,14724.888
34,26,28,19696.176
35,29,26,33909
