,Id,latitude,longitude
0,1.0,514.65,282.74
1,2.0,512.5,323.72
2,3.0,474.74,321.84
3,4.0,476.62,290.78
4,5.0,482.78,269.84
5,6.0,491.78,215.4
6,7.0,519.37,215.85
7,8.0,491.34,184.97
8,9.0,491.16,153.31
9,10.0,519.59,152.31
10,11.0,467.79,112.47
11,12.0,503.42,89.26
12,13.0,158.61,336.94
13,14.0,445.56,82.49
14,15.0,469.94,61.74
15,16.0,496.3,-18.85
16,17.0,480.23,6.24
17,18.0,447.89,42.8
18,19.0,427.3,66.41
19,20.0,402.44,95.45
20,21.0,430.51,134.96
21,22.0,432.32,160.66
22,23.0,435.02,189.51
23,24.0,436.56,217.31
24,25.0,437.61,261.36
25,26.0,437.1,291.23
26,27.0,436.47,321.13
27,28.0,431.62,374.68
28,29.0,368.0,394.46
29,30.0,363.49,364.6
30,31.0,363.46,319.23
31,32.0,403.56,320.45
32,33.0,402.56,291.22
33,34.0,435.63,342.95
34,35.0,401.37,261.2
35,36.0,400.58,230.38
36,37.0,398.49,194.73
37,38.0,391.68,160.36
38,39.0,369.54,119.25
39,40.0,329.43,137.27
40,41.0,352.54,182.69
41,42.0,360.47,207.97
42,43.0,361.49,233.32
43,44.0,363.41,261.99
44,45.0,363.31,291.32
45,46.0,332.11,317.58
46,47.0,331.27,292.15
47,48.0,330.47,262.36
48,49.0,324.93,237.04
49,50.0,318.95,202.91
50,51.0,294.9,157.57
51,52.0,263.87,175.79
52,53.0,375.19,432.28
53,54.0,285.02,221.14
54,55.0,288.23,241.72
55,56.0,292.29,263.86
56,57.0,291.57,292.63
57,58.0,290.22,316.73
58,59.0,290.06,368.75
59,60.0,329.13,366.81
60,61.0,343.52,402.43
61,62.0,403.48,455.76
62,63.0,346.87,502.89
63,64.0,295.89,442.3
64,65.0,231.8,194.87
65,66.0,252.54,237.03
66,67.0,259.77,266.66
67,68.0,261.6,292.09
68,69.0,262.36,315.02
69,70.0,199.85,217.15
70,71.0,216.57,254.63
71,72.0,221.61,292.92
72,73.0,222.32,313.04
73,74.0,242.59,313.78
74,75.0,354.56,454.97
75,76.0,249.72,368.97
76,77.0,250.02,429.56
77,78.0,203.54,435.76
78,79.0,196.24,386.7
79,80.0,187.69,336.72
80,81.0,189.93,312.94
81,82.0,185.41,270.13
82,83.0,173.69,228.59
83,84.0,144.51,231.37
84,85.0,436.98,306.01
85,86.0,147.62,287.73
86,87.0,146.89,309.71
87,88.0,114.43,235.72
88,89.0,437.41,241.76
89,90.0,108.14,275.4
90,91.0,99.13,292.89
91,92.0,58.81,252.86
92,93.0,34.11,265.59
93,94.0,322.45,410.33
94,95.0,47.03,294.16
95,96.0,11.48,323.52
96,97.0,59.45,322.65
97,98.0,82.54,319.91
98,99.0,15.47,375.96
99,100.0,88.54,346.64
100,101.0,27.19,405.84
101,102.0,56.02,448.59
102,103.0,127.62,482.0
103,104.0,105.55,393.56
104,105.0,115.69,411.3
105,106.0,380.74,482.1
106,107.0,281.16,465.16
107,108.0,289.69,499.27
108,109.0,328.15,476.82
109,110.0,270.87,436.51
110,111.0,361.4,221.78
111,112.0,234.91,244.7
112,113.0,124.22,337.66
113,,262.69,455.98
