ID,D1-old,D2-old,Source,Target,D1,D2
1,-1.00213,-0.9594,0,1,1.00213,0.9594
2,-0.10293,-0.10153,0,4,0.10293,0.10153
3,0.00422,-1.05095,1,2,-0.00422,1.05095
4,0.09879,0.09149,1,8,-0.09879,-0.09149
5,0,-1.00E-05,2,3,0,0.00001
6,0.0042,0.0096,2,11,-0.0042,-0.0096
7,0,-6.00E-05,2,13,0,0.00006
8,1.10E-05,2.40E-05,3,17,-0.000011,-0.000024
9,0,-1.00E-05,3,18,0,0.00001
10,-0.10294,-0.10155,4,5,0.10294,0.10155
11,-0.10293,-0.10153,5,6,0.10293,0.10153
12,0,1.90E-05,5,21,0,-0.000019
13,-0.10292,-0.10152,6,7,0.10292,0.10152
14,-0.098804,-0.091492,7,8,0.098804,0.091492
15,-0.00421,-0.00981,7,29,0.00421,0.00981
16,1.30E-05,9.50E-05,8,30,-0.000013,-0.000095
17,0,-1.00E-06,9,10,0,0.000001
18,-0.004277,-0.009635,9,12,0.004277,0.009635
19,0,0,9,25,0,0
20,-1.00E-05,-1.50E-05,11,15,0.00001,0.000015
21,-0.003932,-0.010337,12,11,0.003932,0.010337
22,0,-2.00E-06,13,14,0,0.000002
23,0,0,14,23,0,0
24,0,1.00E-06,15,16,0,-0.000001
25,-1.10E-05,-2.50E-05,15,17,0.000011,0.000025
26,0,-1.00E-06,18,19,0,0.000001
27,0,0,18,24,0,0
28,0,-4.00E-06,21,20,0,0.000004
29,0,-4.00E-06,22,13,0,0.000004
30,0,-4.00E-06,23,22,0,0.000004
31,0,0,24,19,0,0
32,-0.004234,-0.009726,26,9,0.004234,0.009726
33,0,3.00E-05,26,27,0,-0.00003
34,1.00E-06,2.70E-05,26,28,-0.000001,-0.000027
35,-0.00422,-0.00979,29,26,0.00422,0.00979
