ID,Source,Target,D1,D2,D3,D4,D5,D6,D7,D8
1,0,1,1.00213,0.9594,0.9594,0.03891,0.23675,0.32304,0.33602,0.9496
2,0,4,0.10293,0.10153,0.10153,1.09543,0.82985,0.74697,0.7356,0.18497
3,1,2,-0.00422,1.05095,1.05095,0.00148,0.00905,0.01227,0.01258,-0.00197
4,1,8,-0.09879,-0.09149,-0.09149,0.03744,0.22778,0.3109,0.32359,0.95174
5,2,3,0,1.00E-05,1.00E-05,1.00E-05,3.00E-05,4.00E-05,4.00E-05,0
6,2,11,-0.0042,-0.0096,-0.0096,0.00147,0.009,0.01219,0.0125,-0.00196
7,2,13,0,6.00E-05,6.00E-05,0,0,0,0,0
8,3,17,-1.10E-05,-2.40E-05,-2.40E-05,3.00E-06,2.30E-05,3.10E-05,3.20E-05,-6.00E-06
9,3,18,0,1.00E-05,1.00E-05,0,0,0,0,0
10,4,5,0.10294,0.10155,0.10155,-0.0389,0.82986,0.74698,0.73561,0.18498
11,5,6,0.10293,0.10153,0.10153,-0.03891,-0.23671,0.74695,0.73559,0.18496
12,5,21,0,-1.90E-05,-1.90E-05,-1.00E-06,-5.00E-06,-4.00E-06,-4.00E-06,-1.00E-06
13,6,7,0.10292,0.10152,0.10152,-0.03891,-0.23671,-0.32297,0.73557,0.18496
14,7,8,0.098804,0.091492,0.091492,-0.037444,-0.227807,-0.310912,-0.3236,0.183167
15,7,29,0.00421,0.00981,0.00981,-0.00148,-0.00902,-0.01221,-0.0125,0.00197
16,8,30,-1.30E-05,-9.50E-05,-9.50E-05,-1.00E-06,-4.00E-06,-6.00E-06,-7.00E-06,-2.60E-05
17,9,10,0,1.00E-06,1.00E-06,0,0,0,0,0
18,9,12,0.004277,0.009635,0.009635,-0.001501,-0.009086,-0.012216,-0.012493,0.001992
19,9,25,0,0,0,0,0,0,0,0
20,11,15,1.00E-05,1.50E-05,1.50E-05,-4.00E-06,-2.40E-05,-3.20E-05,-3.30E-05,4.00E-06
21,12,11,0.003932,0.010337,0.010337,-0.001396,-0.008869,-0.012469,-0.012895,0.001869
22,13,14,0,2.00E-06,2.00E-06,0,0,0,0,0
23,14,23,0,0,0,0,0,0,0,0
24,15,16,0,-1.00E-06,-1.00E-06,0,0,0,0,0
25,15,17,1.10E-05,2.50E-05,2.50E-05,-4.00E-06,-2.40E-05,-3.20E-05,-3.30E-05,5.00E-06
26,18,19,0,1.00E-06,1.00E-06,0,0,0,0,0
27,18,24,0,0,0,0,0,0,0,0
28,21,20,0,4.00E-06,4.00E-06,0,0,0,0,0
29,22,13,0,4.00E-06,4.00E-06,0,0,0,0,0
30,23,22,0,4.00E-06,4.00E-06,0,0,0,0,0
31,24,19,0,0,0,0,0,0,0,0
32,26,9,0.004234,0.009726,0.009726,-0.001489,-0.009067,-0.012272,-0.012574,0.001977
33,26,27,0,-3.00E-05,-3.00E-05,0,-4.00E-06,-6.00E-06,-7.00E-06,-1.00E-06
34,26,28,-1.00E-06,-2.70E-05,-2.70E-05,-1.00E-06,-4.00E-06,-5.00E-06,-5.00E-06,-1.00E-06
35,29,26,0.00422,0.00979,0.00979,-0.00148,-0.00902,-0.01221,-0.01251,0.00197
