Source,Target,Weight,Rank
1,4,0.017388604,103.5
1,2,0.000155255,163
2,3,0.017388604,103.5
3,27,0.069088651,35
4,3,0.054649899,44
4,5,0.03912436,57
4,26,0.014749263,119
5,6,0.031516845,70
6,8,0.020493712,89
6,24,0.076385654,30.5
6,7,0.061791647,39
7,10,0.048284428,47
8,9,0.008539047,132
8,23,0.001552554,155
9,11,0.010246856,127
9,22,0.019096414,92
10,9,0.003881385,142
10,12,0.034000932,63
11,14,0.021114734,87
11,21,0.028877503,78
11,12,0.002639342,149
12,15,0.020959478,88
13,113,0.001863065,153
13,80,0.016922838,109
14,15,0.003260363,144
14,19,0.005278683,138
15,18,0.006986493,135
16,17,0.01754386,100
18,17,0.034777209,61
19,18,0.044713554,53
19,20,0.058531284,43
20,39,0.068622885,36
21,20,0.007452259,134
21,22,0.010867878,126
21,38,0.043316255,54
23,22,0.035087719,60
23,37,0.00978109,128
24,23,0.05123428,46
24,36,0.115665269,23.5
24,89,0.013041453,121
25,89,0.019406924,90.5
26,25,0.027014439,79
26,33,0.04517932,52
26,85,0.009160068,130
27,85,0.014904518,118
27,32,0.09439528,27
27,34,0.022356777,85
28,34,0.011954665,124
28,29,0.018320137,94
29,30,0.02934327,77
30,31,0.029964291,76
30,60,0.031206334,72
31,32,0.150597733,17
31,45,0.024685608,82
31,46,0.153237075,16
32,33,0.06101537,42
33,35,0.033690421,65
35,36,0.026082906,80
36,37,0.138022046,18
36,43,0.246390312,9
37,38,0.127464679,21
37,42,0.01583605,113.5
38,39,0.079646018,29
38,41,0.008694302,131
39,40,0.002484086,150
40,41,0.017699115,97.5
40,51,0.003570874,143
41,42,0.030430057,74.5
41,50,0.005123428,139
42,111,0.036485018,59
43,111,0.047508151,49
43,44,0.323396988,4
43,49,0.043005744,55.5
45,44,0.330383481,2
45,47,0.313305387,5
46,47,0.327588884,3
46,58,0.470734358,1
47,48,0.01754386,100
49,50,0.030430057,74.5
50,51,0.014594007,120
52,65,0.001707809,154
52,54,0.017699115,97.5
53,61,0.000310511,160.5
53,62,0.017233349,106.5
53,75,0.034156187,62
54,66,0.012575687,122
54,55,0.024219842,83
55,56,0.038969104,58
56,57,0.054028878,45
57,68,0.075143611,32
57,58,0.115665269,23.5
58,69,0.243285204,10
58,59,0.16689955,14
59,60,0.032293122,69
59,110,0.189411582,11
61,94,0.017233349,106.5
62,106,0.000310511,160.5
63,106,0.000931532,159
63,109,0.016612327,110
64,94,0.033224655,66.5
64,107,0.017388604,103.5
64,109,0.114578482,25
64,110,0.175904363,12
65,70,0.011178388,125
65,66,0.025772396,81
66,112,0.012265176,123
66,67,0.061636392,40
68,67,0.076385654,30.5
68,69,0.043005744,55.5
69,74,0.278993945,7
70,71,0.008228536,133
71,72,0.03136159,71
72,73,0.046110852,50.5
74,73,0.061170626,41
74,76,0.280080733,6
76,79,0.253221549,8
76,77,0.02359882,84
77,78,0.111473374,26
77,110,0.126843658,22
78,103,0.033224655,66.5
79,78,0.074056823,34
79,80,0.159602546,15
79,104,0.167831082,13
80,81,0.133209129,19
81,82,0.030895824,73
81,87,0.089116597,28
82,83,0.016457072,111
82,86,0.002794597,148
83,84,0.001086788,158
84,88,0.003105108,145.5
86,84,0.015215029,117
86,90,0.047663406,48
87,86,0.074212079,33
87,91,0.002328831,151.5
88,92,0.002949853,147
88,90,0.017078093,108
90,92,0.018475392,93
90,91,0.00605496,137
91,98,0.022201522,86
92,93,0.006365471,136
93,95,0.002328831,151.5
93,96,0.019406924,90.5
94,75,0.001242043,156.5
95,97,0.016146561,112
96,97,0.001242043,156.5
96,99,0.033845676,64
98,97,0.032758888,68
98,100,0.063499457,38
99,100,0.046110852,50.5
99,101,0.004657662,141
101,102,0.003105108,145.5
102,105,0.000155255,163
103,105,0.004812917,140
103,102,0.01583605,113.5
104,100,0.131035553,20
104,101,0.015370284,115.5
104,105,0.015370284,115.5
106,75,0.01785437,95.5
107,108,0.000155255,163
109,108,0.017388604,103.5
109,75,0.066449309,37
110,114,0.01754386,100
112,71,0.009315324,129
113,100,0.01785437,95.5
