,Unnamed: 0_x,Id,Source,Target,Unnamed: 0_y,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0,1,2,1,0,6964.01385,6940.403911,6916.792343,6893.180799,6916.792343,6940.403911,6964.015507,6987.627123,7011.238762,7034.850416,7011.238762,6987.627123,6964.015507,6940.403911,6916.792343,6893.180799,6916.792343,6940.403911,6964.015507,6987.627123,7011.238762,7034.850416,7011.238762,6987.627123,6964.015505,6940.403911,6916.792343,6893.180799,6916.792343,6940.403911,6964.015507,6987.627123,7011.238762,7034.850416,7011.238762,6987.627123,6964.015507,6940.403911,6916.792343,6893.180799,6916.792343,6940.403911,6964.015507,6987.627123,7011.238762,7034.850416,7011.238762,6987.627123,6964.015507
1,1,2,2,3,90,9776.54392,9743.400764,9710.255179,9677.109648,9710.255179,9743.400764,9776.546359,9809.691973,9842.837615,9875.983269,9842.837615,9809.691973,9776.546359,9743.400764,9710.255179,9677.109648,9710.255179,9743.400764,9776.546359,9809.691973,9842.837615,9875.983269,9842.837615,9809.691973,9776.546359,9743.400764,9710.255179,9677.109648,9710.255179,9743.400764,9776.546359,9809.691973,9842.837615,9875.98327,9842.837615,9809.691973,9776.546359,9743.400764,9710.255179,9677.109648,9710.255179,9743.400764,9776.546359,9809.691973,9842.837615,9875.98327,9842.837615,9809.691973,9776.546359
2,2,3,4,3,100,15208.9486,15157.38839,15105.82334,15054.25832,15105.82334,15157.38839,15208.95345,15260.51845,15312.0833,15363.64771,15312.0833,15260.51845,15208.95345,15157.38839,15105.82334,15054.25832,15105.82334,15157.38839,15208.95345,15260.51845,15312.0833,15363.64771,15312.0833,15260.51845,15208.95345,15157.38839,15105.82334,15054.25832,15105.82334,15157.38839,15208.95345,15260.51845,15312.0833,15363.64771,15312.0833,15260.51845,15208.95345,15157.38839,15105.82334,15054.25832,15105.82334,15157.38839,15208.95345,15260.51845,15312.0833,15363.64771,15312.0833,15260.51845,15208.95345
3,3,4,1,4,110,4899.013508,4882.403958,4865.792384,4849.180846,4865.792384,4882.403958,4899.015554,4915.627172,4932.238812,4948.850462,4932.238811,4915.627172,4899.015554,4882.403958,4865.792384,4849.180846,4865.792384,4882.403958,4899.015554,4915.627172,4932.238811,4948.850462,4932.238811,4915.627172,4899.015554,4882.403958,4865.792384,4849.180846,4865.792384,4882.403958,4899.015554,4915.627172,4932.238812,4948.850462,4932.238812,4915.627172,4899.015554,4882.403958,4865.792384,4849.180846,4865.792384,4882.403958,4899.015554,4915.627172,4932.238812,4948.850462,4932.238812,4915.627173,4899.015554
4,4,5,4,5,121,27021.74712,26930.14371,26838.52745,26746.91106,26838.52745,26930.14371,27021.75966,27113.37507,27204.98931,27296.60056,27204.98931,27113.37507,27021.75966,26930.14371,26838.52745,26746.91106,26838.52745,26930.14371,27021.75966,27113.37507,27204.98931,27296.60056,27204.98931,27113.37508,27021.75966,26930.14371,26838.52745,26746.91106,26838.52745,26930.14371,27021.75966,27113.37507,27204.98931,27296.60056,27204.98931,27113.37507,27021.75966,26930.14371,26838.52745,26746.91106,26838.52745,26930.14371,27021.75966,27113.37507,27204.98931,27296.60056,27204.98931,27113.37507,27021.75966
5,5,6,5,6,131,20960.55717,20889.50327,20818.43343,20747.36344,20818.43343,20889.50327,20960.57284,21031.64185,21102.7097,21173.77454,21102.7097,21031.64185,20960.57284,20889.50327,20818.43343,20747.36342,20818.43342,20889.50327,20960.57283,21031.64185,21102.7097,21173.77454,21102.7097,21031.64185,20960.57283,20889.50327,20818.43343,20747.36344,20818.43343,20889.50326,20960.57284,21031.64185,21102.7097,21173.77454,21102.7097,21031.64185,20960.57284,20889.50327,20818.43342,20747.36342,20818.43342,20889.50326,20960.57283,21031.64185,21102.7097,21173.77454,21102.7097,21031.64185,20960.57284
6,6,7,7,6,141,14142.17347,14094.26613,14046.3129,13998.35957,14046.3129,14094.26613,14142.21911,14190.17168,14238.12348,14286.07374,14238.12348,14190.17168,14142.21911,14094.26613,14046.3129,13998.35957,14046.3129,14094.26613,14142.21911,14190.17168,14238.12348,14286.07374,14238.12348,14190.17168,14142.21911,14094.26613,14046.3129,13998.35957,14046.31291,14094.26613,14142.21911,14190.17168,14238.12348,14286.07374,14238.12348,14190.17168,14142.21911,14094.26613,14046.3129,13998.35957,14046.31291,14094.26613,14142.21911,14190.17168,14238.12348,14286.07374,14238.12348,14190.17168,14142.21911
7,7,9,6,8,156,8609.366646,8580.179599,8550.985144,8521.790744,8550.985144,8580.179599,8609.37411,8638.568643,8667.763108,8696.957114,8667.763108,8638.568643,8609.37411,8580.179599,8550.985144,8521.790744,8550.985144,8580.179599,8609.37411,8638.568643,8667.763108,8696.957115,8667.763108,8638.568642,8609.37411,8580.179599,8550.985144,8521.790744,8550.985144,8580.179599,8609.37411,8638.568643,8667.763108,8696.957116,8667.763107,8638.568643,8609.37411,8580.179599,8550.985144,8521.790744,8550.985144,8580.179599,8609.37411,8638.568643,8667.763107,8696.957117,8667.763109,8638.568643,8609.37411
8,8,10,8,9,1,10972.40037,10935.29369,10898.08529,10860.87669,10898.08529,10935.29369,10972.50167,11009.70894,11046.9147,11084.11662,11046.9147,11009.70894,10972.50167,10935.29369,10898.08529,10860.87669,10898.08529,10935.29368,10972.50167,11009.70894,11046.9147,11084.11662,11046.9147,11009.70894,10972.50167,10935.29369,10898.08529,10860.87669,10898.08529,10935.29369,10972.50167,11009.70894,11046.9147,11084.11662,11046.9147,11009.70894,10972.50167,10935.29369,10898.08529,10860.87669,10898.08529,10935.29369,10972.50167,11009.70894,11046.9147,11084.11662,11046.9147,11009.70894,10972.50167
9,9,11,7,10,11,4240.910886,4226.567525,4212.17791,4197.788165,4212.17791,4226.567525,4240.956913,4255.345881,4269.734082,4284.120744,4269.734082,4255.345883,4240.956913,4226.567525,4212.17791,4197.788165,4212.17791,4226.567525,4240.956913,4255.345883,4269.734082,4284.120744,4269.734081,4255.345883,4240.956913,4226.567525,4212.17791,4197.788165,4212.17791,4226.567525,4240.956913,4255.345882,4269.734081,4284.120744,4269.734082,4255.345883,4240.956913,4226.567525,4212.17791,4197.788165,4212.17791,4226.567525,4240.956913,4255.345883,4269.734082,4284.120744,4269.734082,4255.345882,4240.956913
