,Unnamed: 0_x,Id,Source,Target,Unnamed: 0_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0,1.0,2.0,1.0,0,6964.013849501498,6940.403910703026,6916.792342672125,6893.180799088441,6916.792342672125,6940.403910703026,6964.015506673603,6987.627122725827,7011.23876235215,7034.850415511755,7011.23876235215,6987.627122725827,6964.015506673603,6940.403910703026,6916.792342672125,6893.180799088441,6916.792342672125,6940.403910703026,6964.015506673603,6987.627122725827,7011.23876235215,7034.850415511755,7011.23876235215,6987.627122725827,6964.015504927374,6940.403910703026,6916.792342672125,6893.180799088441,6916.792342672125,6940.403910703026,6964.015506673603,6987.627122725827,7011.23876235215,7034.850415511755,7011.23876235215,6987.627122725827,6964.015506673603,6940.403910703026,6916.792342672125,6893.180799088441,6916.792342672125,6940.403910703026,6964.015506673603,6987.627122725827,7011.23876235215,7034.850415511755,7011.23876235215,6987.627122725827,6964.015506673603
1,1,2.0,2.0,3.0,90,9776.543919579126,9743.400763836691,9710.255179088565,9677.109648473559,9710.255179088565,9743.400763836691,9776.546359062197,9809.691973496228,9842.837614996824,9875.983268721031,9842.837614996824,9809.691973496228,9776.546359062197,9743.400763836691,9710.255179088565,9677.109648473559,9710.255179088565,9743.400763836691,9776.546359062197,9809.691973496228,9842.837614996824,9875.983268721031,9842.837614996824,9809.691973496228,9776.546359062197,9743.400763836691,9710.255179088565,9677.109648473559,9710.255179088565,9743.400763836691,9776.546359062197,9809.691973496228,9842.837614996824,9875.983269594144,9842.837614996824,9809.691973496228,9776.546359062197,9743.400763836691,9710.255179088565,9677.109648473559,9710.255179088565,9743.400763836691,9776.546359062197,9809.691973496228,9842.837614996824,9875.983269594144,9842.837614996824,9809.691973496228,9776.546359062197
2,2,3.0,4.0,3.0,100,15208.948598010466,15157.388392835857,15105.823340127243,15054.258315358313,15105.823340127243,15157.388392835857,15208.953445544465,15260.518445866182,15312.083297758365,15363.647707854398,15312.083297758365,15260.518449358642,15208.953445544465,15157.388392835857,15105.823340127243,15054.258315358313,15105.823340127243,15157.388392835857,15208.953445544465,15260.518445866182,15312.083297758365,15363.647707854398,15312.083297758365,15260.518449358642,15208.953445544465,15157.388392835857,15105.823340127243,15054.258315358313,15105.823340127243,15157.388392835857,15208.953445544465,15260.518445866182,15312.083297758365,15363.647707854398,15312.083297758365,15260.518449358642,15208.953445544465,15157.388392835857,15105.823340127243,15054.258315358313,15105.823340127243,15157.388392835857,15208.953445544465,15260.518445866182,15312.083297758365,15363.647707854398,15312.083297758365,15260.518449358642,15208.953445544465
3,3,4.0,1.0,4.0,110,4899.013508402277,4882.403957890348,4865.792384371162,4849.180845776573,4865.792384371162,4882.403957890348,4899.01555411052,4915.627172158565,4932.238811597927,4948.850462387782,4932.238810724812,4915.627172158565,4899.01555411052,4882.403957890348,4865.792384371162,4849.180845776573,4865.792384371162,4882.403957890348,4899.01555411052,4915.627172158565,4932.238810724812,4948.850462387782,4932.238810724812,4915.627172158565,4899.01555411052,4882.403957890348,4865.792384371162,4849.180845776573,4865.792384371162,4882.403957890348,4899.01555411052,4915.627172158565,4932.238811597927,4948.850461951224,4932.238811597927,4915.627172158565,4899.01555411052,4882.403957890348,4865.792384371162,4849.180845776573,4865.792384371162,4882.403957890348,4899.01555411052,4915.627172158565,4932.238811597927,4948.850462387782,4932.238811597927,4915.627173031679,4899.01555411052
4,4,5.0,4.0,5.0,121,27021.747117396444,26930.14370743185,26838.52745220065,26746.911064255986,26838.52745220065,26930.14370743185,27021.7596553266,27113.37506887503,27204.98930895701,27296.600557747293,27204.98930895701,27113.37507236749,27021.7596553266,26930.14370743185,26838.52745220065,26746.911064255986,26838.52745220065,26930.14370743185,27021.7596553266,27113.37506887503,27204.98930895701,27296.600557747293,27204.98930895701,27113.375075859953,27021.7596553266,26930.14370743185,26838.52745220065,26746.911064255986,26838.52745220065,26930.14370743185,27021.7596553266,27113.37507236749,27204.98930895701,27296.600557747293,27204.98930895701,27113.37507236749,27021.7596553266,26930.14370743185,26838.52745220065,26746.911064255986,26838.52745220065,26930.14370743185,27021.7596553266,27113.37507236749,27204.98930895701,27296.600557747293,27204.98930895701,27113.37506887503,27021.7596553266
5,5,6.0,5.0,6.0,131,20960.557172074918,20889.503268990666,20818.433426320556,20747.36343696713,20818.433426320556,20889.503268990666,20960.572835756466,21031.64185071364,21102.70969918929,21173.774538910948,21102.70969918929,21031.64185071364,20960.572835756466,20889.503268990666,20818.433426320556,20747.363422997296,20818.433419335637,20889.503268990666,20960.57283226401,21031.64185071364,21102.70969918929,21173.774538910948,21102.70969918929,21031.64185071364,20960.57283226401,20889.503268990666,20818.433426320556,20747.36343696713,20818.433426320556,20889.503262005746,20960.572835756466,21031.64185071364,21102.70969918929,21173.774538910948,21102.70969918929,21031.64185071364,20960.572835756466,20889.503268990666,20818.433419335637,20747.363422997296,20818.433419335637,20889.503262005746,20960.57283226401,21031.64185071364,21102.70969918929,21173.774540657174,21102.70969918929,21031.64185071364,20960.572835756466
6,6,7.0,7.0,6.0,141,14142.173471627757,14094.26613128744,14046.31290351972,13998.35956748575,14046.31290351972,14094.26613128744,14142.219111090524,14190.171675290912,14238.123479881324,14286.073741677683,14238.123481627554,14190.171675290912,14142.219111090524,14094.26613128744,14046.31290351972,13998.35956748575,14046.31290351972,14094.26613128744,14142.219111090524,14190.171675290912,14238.123481627554,14286.073742550798,14238.123481627554,14190.17167703714,14142.219107598066,14094.26613128744,14046.31290351972,13998.35956748575,14046.31290701218,14094.26613128744,14142.219111090524,14190.17167703714,14238.123481627554,14286.07374429703,14238.123481627554,14190.17167703714,14142.219111090524,14094.26613128744,14046.31290351972,13998.35956748575,14046.31290701218,14094.26613128744,14142.219111090524,14190.171675290912,14238.123481627554,14286.073742550798,14238.123481627554,14190.171675290912,14142.219111090524
7,7,9.0,6.0,8.0,156,8609.366646269336,8580.179598648101,8550.985143519938,8521.79074427113,8550.985143519938,8580.179598648101,8609.374109655619,8638.568643364124,8667.763108096551,8696.957114443649,8667.763108096551,8638.568643364124,8609.374109655619,8580.179598648101,8550.985143519938,8521.79074427113,8550.985143519938,8580.179598648101,8609.374109655619,8638.568643364124,8667.763108096551,8696.957115316764,8667.763108096551,8638.568641617894,8609.374109655619,8580.179598648101,8550.985143519938,8521.79074427113,8550.985143519938,8580.179598648101,8609.374109655619,8638.568643364124,8667.763108096551,8696.957116189878,8667.763107223436,8638.568643364124,8609.374109655619,8580.179598648101,8550.985143519938,8521.79074427113,8550.985143519938,8580.179598648101,8609.374109655619,8638.568643364124,8667.763107223436,8696.957117062993,8667.763108969666,8638.568643364124,8609.374109655619
8,8,10.0,8.0,9.0,1,10972.400370519608,10935.293685179204,10898.085292428732,10860.87668663822,10898.085292428732,10935.293685179204,10972.501672804356,11009.708944475278,11046.91470216494,11084.116618148984,11046.91470216494,11009.708944475278,10972.501672804356,10935.293685179204,10898.085292428732,10860.87668663822,10898.085292428732,10935.293681686744,10972.501672804356,11009.708944475278,11046.91470216494,11084.11661727587,11046.914703911169,11009.708944475278,10972.501672804356,10935.293685179204,10898.085292428732,10860.87668663822,10898.085292428732,10935.293685179204,10972.501672804356,11009.708944475278,11046.91470216494,11084.11661727587,11046.91470216494,11009.708944475278,10972.501672804356,10935.293685179204,10898.085292428732,10860.87668663822,10898.085292428732,10935.293685179204,10972.501672804356,11009.708944475278,11046.91470216494,11084.116618148984,11046.914703911169,11009.708944475278,10972.501672804356
9,9,11.0,7.0,10.0,11,4240.910885855556,4226.567525183782,4212.177909503225,4197.78816460166,4212.177909503225,4226.567525183782,4240.956912981346,4255.345880810637,4269.734081608476,4284.12074354128,4269.734081608476,4255.345883429983,4240.956912981346,4226.567525183782,4212.177909503225,4197.78816460166,4212.177909503225,4226.567525183782,4240.956912981346,4255.345882556867,4269.734081608476,4284.120743977837,4269.734081171919,4255.345882556867,4240.956912981346,4226.567525183782,4212.177909503225,4197.78816460166,4212.177909503225,4226.567525183782,4240.956912981346,4255.345881683752,4269.73408073536,4284.120743977837,4269.734081608476,4255.345882556867,4240.956912981346,4226.567525183782,4212.177909503225,4197.78816460166,4212.177909503225,4226.567525183782,4240.956912981346,4255.345882556867,4269.734081608476,4284.120744414395,4269.7340820450345,4255.345881683752,4240.956912981346
