,Unnamed: 0_x,Id,Source,Target,Unnamed: 0_y,Unnamed: 0.1,Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0,1,2,1,0,0,55722.139,55533.24712,55344.35331,55155.45947,55344.35331,55533.24712,55722.14089,55911.03453,56099.92793,56288.82074,56099.92793,55911.03453,55722.14089,55533.24712,55344.35331,55155.45947,55344.35331,55533.24712,55722.14089,55911.03453,56099.92793,56288.82075,56099.92793,55911.03453,55722.14089,55533.24712,55344.35331,55155.45947,55344.35331,55533.24712,55722.14089,55911.03453,56099.92793,56288.82074,56099.92793,55911.03453,55722.14089,55533.24712,55344.35331,55155.45947,55344.35331,55533.24712,55722.14089,55911.03453,56099.92793,56288.82075,56099.92793,55911.03453,55722.14089
1,1,2,2,3,1,720,78222.37956,77957.22193,77692.0561,77426.89031,77692.0561,77957.22193,78222.38771,78487.55335,78752.71875,79017.88356,78752.71875,78487.55334,78222.38771,77957.22193,77692.0561,77426.89031,77692.0561,77957.22193,78222.38771,78487.55335,78752.71875,79017.88357,78752.71875,78487.55334,78222.38771,77957.22194,77692.05609,77426.8903,77692.0561,77957.22193,78222.38771,78487.55334,78752.71875,79017.88357,78752.71875,78487.55335,78222.38771,77957.22193,77692.0561,77426.89031,77692.0561,77957.22193,78222.38771,78487.55335,78752.71875,79017.88357,78752.71875,78487.55335,78222.38771
2,2,3,4,3,2,800,121691.5325,121279.0254,120866.5017,120453.9779,120866.5017,121279.0254,121691.5488,122104.0717,122516.5935,122929.1127,122516.5935,122104.0717,121691.5488,121279.0254,120866.5017,120453.9779,120866.5017,121279.0254,121691.5488,122104.0717,122516.5935,122929.1127,122516.5935,122104.0717,121691.5488,121279.0254,120866.5017,120453.9779,120866.5017,121279.0254,121691.5488,122104.0717,122516.5935,122929.1127,122516.5935,122104.0717,121691.5488,121279.0254,120866.5017,120453.9779,120866.5017,121279.0254,121691.5488,122104.0717,122516.5935,122929.1127,122516.5935,122104.0717,121691.5488
3,3,4,1,4,3,880,39202.13624,39069.24751,38936.35368,38803.45986,38936.35368,39069.24751,39202.14126,39335.03491,39467.92832,39600.82113,39467.92832,39335.03491,39202.14126,39069.24751,38936.35368,38803.45986,38936.35368,39069.24751,39202.14126,39335.03491,39467.92832,39600.82113,39467.92832,39335.03491,39202.14127,39069.24751,38936.35368,38803.45986,38936.35368,39069.24751,39202.14126,39335.03491,39467.92832,39600.82113,39467.92832,39335.03491,39202.14126,39069.24751,38936.35368,38803.45986,38936.35368,39069.24751,39202.14126,39335.03491,39467.92832,39600.82113,39467.92832,39335.03491,39202.14126
4,4,5,4,5,4,968,216212.9695,215480.0797,214747.1346,214014.1901,214747.1346,215480.0797,216213.0258,216945.9729,217678.9229,218411.8793,217678.9229,216945.973,216213.0258,215480.0797,214747.1346,214014.1901,214747.1347,215480.0797,216213.0258,216945.9729,217678.9229,218411.8793,217678.9229,216945.973,216213.0258,215480.0797,214747.1346,214014.1901,214747.1347,215480.0797,216213.0258,216945.973,217678.9229,218411.8793,217678.9229,216945.973,216213.0258,215480.0797,214747.1346,214014.1901,214747.1347,215480.0797,216213.0258,216945.973,217678.9229,218411.8793,217678.9229,216945.9729,216213.0258
5,5,6,5,6,5,1048,167726.5548,167158.0575,166589.4832,166020.9093,166589.4832,167158.0575,167726.6326,168295.209,168863.788,169432.3734,168863.788,168295.209,167726.6326,167158.0575,166589.4832,166020.9093,166589.4832,167158.0575,167726.6326,168295.209,168863.788,169432.3734,168863.788,168295.209,167726.6326,167158.0575,166589.4832,166020.9093,166589.4832,167158.0575,167726.6326,168295.209,168863.788,169432.3734,168863.788,168295.209,167726.6326,167158.0575,166589.4832,166020.9093,166589.4832,167158.0575,167726.6326,168295.209,168863.788,169432.3734,168863.7879,168295.209,167726.6326
6,6,7,7,6,6,1128,113169.5129,112786.2044,112402.5667,112018.9291,112402.5667,112786.2044,113169.8421,113553.48,113937.1182,114320.7577,113937.1182,113553.48,113169.8421,112786.2044,112402.5667,112018.9291,112402.5667,112786.2044,113169.8421,113553.48,113937.1182,114320.7577,113937.1182,113553.48,113169.8421,112786.2044,112402.5667,112018.9291,112402.5667,112786.2044,113169.8421,113553.48,113937.1182,114320.7577,113937.1182,113553.48,113169.8421,112786.2044,112402.5667,112018.9291,112402.5667,112786.2044,113169.8421,113553.48,113937.1182,114320.7577,113937.1182,113553.48,113169.8421
7,7,9,6,8,7,1248,68898.43345,68664.9056,68431.34536,68197.78558,68431.34536,68664.9056,68898.46643,69132.02829,69365.59224,69599.16102,69365.59224,69132.02829,68898.46643,68664.9056,68431.34536,68197.78558,68431.34537,68664.9056,68898.46642,69132.02829,69365.59224,69599.16102,69365.59224,69132.02829,68898.46642,68664.9056,68431.34536,68197.78558,68431.34536,68664.9056,68898.46642,69132.02829,69365.59224,69599.16102,69365.59224,69132.02829,68898.46643,68664.9056,68431.34536,68197.78558,68431.34537,68664.9056,68898.46643,69132.02829,69365.59224,69599.16102,69365.59224,69132.02829,68898.46643
8,8,10,8,9,8,8,87811.66737,87514.7605,87217.07961,86919.39872,87217.07961,87514.7605,87812.44132,88110.12196,88407.80218,88705.48146,88407.80218,88110.12196,87812.44132,87514.7605,87217.07961,86919.39872,87217.07961,87514.7605,87812.44132,88110.12196,88407.80218,88705.48146,88407.80219,88110.12196,87812.44132,87514.7605,87217.07961,86919.39873,87217.07961,87514.7605,87812.44132,88110.12196,88407.80218,88705.48147,88407.80218,88110.12196,87812.44132,87514.7605,87217.07961,86919.39873,87217.07961,87514.7605,87812.44132,88110.12196,88407.80218,88705.48147,88407.80218,88110.12196,87812.44132
9,9,11,7,10,9,88,33959.41221,33844.6156,33729.48676,33614.35798,33729.48676,33844.6156,33959.74452,34074.87358,34190.00298,34305.1337,34190.00298,34074.87358,33959.74452,33844.6156,33729.48676,33614.35798,33729.48677,33844.6156,33959.74452,34074.87358,34190.00298,34305.1337,34190.00298,34074.87358,33959.74452,33844.6156,33729.48676,33614.35798,33729.48676,33844.6156,33959.74452,34074.87358,34190.00298,34305.1337,34190.00298,34074.87358,33959.74452,33844.6156,33729.48676,33614.35799,33729.48676,33844.6156,33959.74452,34074.87358,34190.00298,34305.1337,34190.00298,34074.87358,33959.74452
