,Id,latitude,longitude
0,1,7111.65,7532.36
1,2,5679.61,9538.83
2,3,4862.46,9538.83
3,4,2750.81,9474.11
4,5,1852.75,8357.61
5,6,1974.11,6076.05
6,7,1974.11,5149.68
7,8,4235.44,5076.86
8,9,6411.81,5093.04
9,10,5412.62,7888.35
10,11,4510.52,8264.56
11,12,3033.98,9243.53
12,13,2301.78,8078.48
13,14,2944.98,7669.9
14,15,3786.41,7139.97
15,16,4830.1,6480.58
16,17,7099.51,8438.51
17,18,5505.66,8450.65
18,19,3563.92,8839.0
19,20,3167.48,7532.36
20,21,2730.58,7285.6
21,22,3511.33,6666.67
22,23,4097.9,6286.41
23,24,3337.38,5121.36
24,25,4530.74,6011.33
25,26,4215.21,7783.17
26,27,5194.17,7055.02
27,28,5218.45,5089.0
28,29,5622.98,5999.19
29,30,5950.65,5796.93
30,31,6614.08,7621.36
31,32,5380.26,7544.5
32,33,6318.77,7281.55
33,34,6549.35,7212.78
34,35,6585.76,6092.23
35,36,7152.1,6104.37
36,37,7669.9,7783.17
