,Id,Source,Target,Weight
0,1.0,1.0,17.0,132.76
1,2.0,17.0,2.0,374.68
2,3.0,2.0,3.0,119.74
3,4.0,3.0,4.0,312.72
4,5.0,4.0,5.0,289.09
5,6.0,5.0,6.0,336.33
6,7.0,6.0,7.0,135.81
7,8.0,7.0,24.0,201.26
8,9.0,24.0,8.0,132.53
9,10.0,8.0,28.0,144.66
10,11.0,28.0,9.0,175.72
11,12.0,9.0,36.0,112.17
12,13.0,36.0,1.0,210.74
13,14.0,1.0,31.0,75.41
14,15.0,31.0,10.0,181.42
15,16.0,10.0,11.0,146.96
16,17.0,11.0,19.0,162.69
17,18.0,19.0,12.0,99.64
18,19.0,12.0,4.0,52.98
19,20.0,2.0,18.0,162.97
20,21.0,18.0,10.0,83.96
21,22.0,10.0,32.0,49.82
22,23.0,32.0,27.0,78.5
23,24.0,27.0,16.0,99.27
24,25.0,16.0,25.0,82.29
25,26.0,25.0,8.0,147.49
26,27.0,3.0,11.0,197.32
27,28.0,11.0,26.0,83.3
28,29.0,26.0,15.0,113.8
29,30.0,15.0,22.0,80.82
30,31.0,22.0,7.0,340.97
31,32.0,5.0,13.0,77.39
32,33.0,13.0,14.0,112.37
33,34.0,14.0,20.0,37.34
34,35.0,20.0,15.0,108.85
35,36.0,15.0,16.0,182.82
36,37.0,16.0,29.0,136.02
37,38.0,29.0,30.0,56.7
38,39.0,30.0,9.0,124.08
39,40.0,17.0,18.0,234.6
40,41.0,12.0,13.0,203.83
41,42.0,19.0,20.0,248.05
42,43.0,14.0,21.0,65.19
43,44.0,21.0,6.0,210.09
44,45.0,21.0,22.0,147.57
45,46.0,22.0,23.0,103.8
46,47.0,24.0,23.0,210.95
47,48.0,23.0,25.0,75.08
48,49.0,26.0,27.0,180.29
49,50.0,28.0,29.0,149.05
50,51.0,29.0,33.0,215.05
51,52.0,32.0,33.0,144.44
52,53.0,33.0,34.0,34.74
53,54.0,31.0,34.0,59.93
54,55.0,34.0,35.0,165.67
55,56.0,30.0,35.0,119.97
56,57.0,35.0,36.0,83.17
57,58.0,37.0,1.0,1.0
58,,,,
