Id,Source,Target
1,1,17
2,17,2
3,2,3
4,3,4
5,4,5
6,5,6
7,6,7
8,7,24
9,24,8
10,8,28
11,28,9
12,9,36
13,36,1
14,1,31
15,31,10
16,10,11
17,11,19
18,19,12
19,12,4
20,2,18
21,18,10
22,10,32
23,32,27
24,27,16
25,16,25
26,25,8
27,3,11
28,11,26
29,26,15
30,15,22
31,22,7
32,5,13
33,13,14
34,14,20
35,20,15
36,15,16
37,16,29
38,29,30
39,30,9
40,17,18
41,12,13
42,19,20
43,14,21
44,21,6
45,21,22
46,22,23
47,24,23
48,23,25
49,26,27
50,28,29
51,29,33
52,32,33
53,33,34
54,31,34
55,34,35
56,30,35
57,35,36
58,37,1
