Id,Source,Target,Weight
1,1,17,132.76
2,17,2,374.68
3,2,3,119.74
4,3,4,312.72
5,4,5,289.09
6,5,6,336.33
7,6,7,135.81
8,7,24,201.26
9,24,8,132.53
10,8,28,144.66
11,28,9,175.72
12,9,36,112.17
13,36,1,210.74
14,1,31,75.41
15,31,10,181.42
16,10,11,146.96
17,11,19,162.69
18,19,12,99.64
19,12,4,52.98
20,2,18,162.97
21,18,10,83.96
22,10,32,49.82
23,32,27,78.5
24,27,16,99.27
25,16,25,82.29
26,25,8,147.49
27,3,11,197.32
28,11,26,83.3
29,26,15,113.8
30,15,22,80.82
31,22,7,340.97
32,5,13,77.39
33,13,14,112.37
34,14,20,37.34
35,20,15,108.85
36,15,16,182.82
37,16,29,136.02
38,29,30,56.7
39,30,9,124.08
40,17,18,234.6
41,12,13,203.83
42,19,20,248.05
43,14,21,65.19
44,21,6,210.09
45,21,22,147.57
46,22,23,103.8
47,24,23,210.95
48,23,25,75.08
49,26,27,180.29
50,28,29,149.05
51,29,33,215.05
52,32,33,144.44
53,33,34,34.74
54,31,34,59.93
55,34,35,165.67
56,30,35,119.97
57,35,36,83.17
58,37,1,1
