,Source,Target,Weight
0,1,17,2.0
1,17,2,1.0
2,2,3,2.0
3,3,4,1.0
4,4,5,1.0
5,5,6,1.0
6,6,7,2.0
7,7,24,3.0
8,24,8,2.0
9,8,28,2.0
10,28,9,1.0
11,9,36,2.0
12,36,1,1.0
13,1,31,3.0
14,31,10,1.0
15,10,11,1.0
16,11,19,3.0
17,19,12,2.0
18,12,4,2.0
19,2,18,3.0
20,18,10,2.0
21,10,32,2.0
22,32,27,2.0
23,27,16,3.0
24,16,25,2.0
25,25,8,3.0
26,3,11,1.0
27,11,26,2.0
28,26,15,3.0
29,15,22,2.0
30,22,7,1.0
31,5,13,2.0
32,13,14,3.0
33,14,20,2.0
34,20,15,3.0
35,15,16,1.0
36,16,29,4.0
37,29,30,2.0
38,30,9,1.0
39,17,18,1.0
40,12,13,1.0
41,19,20,1.0
42,14,21,2.0
43,21,6,1.0
44,21,22,1.0
45,22,23,3.0
46,24,23,1.0
47,23,25,2.0
48,26,27,1.0
49,28,29,1.0
50,29,33,1.0
51,32,33,4.0
52,33,34,2.0
53,31,34,2.0
54,34,35,1.0
55,30,35,3.0
56,35,36,2.0
57,37,1,2.0
