,Id,Source,Target,Weight
0,1.0,1.0,17.0,5416.607999999999
1,2.0,17.0,2.0,5994.88
2,3.0,2.0,3.0,1915.84
3,4.0,3.0,4.0,5003.52
4,5.0,4.0,5.0,7516.339999999999
5,6.0,5.0,6.0,5381.28
6,7.0,6.0,7.0,2172.96
7,8.0,7.0,24.0,3220.16
8,9.0,24.0,8.0,2120.48
9,10.0,8.0,28.0,2314.56
10,11.0,28.0,9.0,3584.6879999999996
11,12.0,9.0,36.0,3656.742
12,13.0,36.0,1.0,10832.036
13,14.0,1.0,31.0,15428.885999999999
14,15.0,31.0,10.0,33381.28
15,16.0,10.0,11.0,21632.512
16,17.0,11.0,19.0,14642.1
17,18.0,19.0,12.0,7333.504
18,19.0,12.0,4.0,2161.584
19,20.0,2.0,18.0,6649.1759999999995
20,21.0,18.0,10.0,6179.455999999999
21,22.0,10.0,32.0,5091.604
22,23.0,32.0,27.0,7065.0
23,24.0,27.0,16.0,7306.271999999999
24,25.0,16.0,25.0,5052.606000000001
25,26.0,25.0,8.0,4808.174000000001
26,27.0,3.0,11.0,8050.655999999999
27,28.0,11.0,26.0,8513.26
28,29.0,26.0,15.0,10242.0
29,30.0,15.0,22.0,4962.347999999999
30,31.0,22.0,7.0,8865.220000000001
31,32.0,5.0,13.0,1238.24
32,33.0,13.0,14.0,1797.92
33,34.0,14.0,20.0,1523.472
34,35.0,20.0,15.0,5594.889999999999
35,36.0,15.0,16.0,2925.12
36,37.0,16.0,29.0,2176.32
37,38.0,29.0,30.0,907.2
38,39.0,30.0,9.0,1985.28
39,40.0,17.0,18.0,3753.6
40,41.0,12.0,13.0,8316.264
41,42.0,19.0,20.0,3968.8
42,43.0,14.0,21.0,2125.194
43,44.0,21.0,6.0,6848.934
44,45.0,21.0,22.0,6020.855999999999
45,46.0,22.0,23.0,1660.8
46,47.0,24.0,23.0,6876.97
47,48.0,23.0,25.0,3859.1119999999996
48,49.0,26.0,27.0,2884.64
49,50.0,28.0,29.0,2384.8
50,51.0,29.0,33.0,7010.630000000001
51,52.0,32.0,33.0,2311.04
52,53.0,33.0,34.0,1785.636
53,54.0,31.0,34.0,4410.848
54,55.0,34.0,35.0,5400.842
55,56.0,30.0,35.0,2447.388
56,57.0,35.0,36.0,2711.342
57,58.0,37.0,1.0,229.2
58,,,,
