Id,latitude,longitude,Cluster,Lean04,Lean05,Lean06,Lean07,Lean08,Lean09
1,55.75591,173.639309,21,1,1,1,1,1,1
2,59.452707,173.415922,21,1,1,1,1,1,1
3,59.283112,169.492621,21,1,1,1,1,1,s
4,56.481197,169.687955,21,1,1,1,1,1,1
5,54.592204,170.327985,21,1,1,1,1,2,s
6,49.681185,171.263093,6,1,1,1,1,2,2
7,49.721779,174.129722,6,1,1,1,1,2,2
8,46.936101,171.217377,6,1,1,1,1,2,2
9,44.08006,171.198675,6,1,1,1,1,2,2
10,43.98985,174.15258,6,1,1,1,1,2,2
11,40.395893,168.770509,11,1,1,1,1,2,2
12,38.302124,172.472501,11,1,1,1,s,2,2
13,60.64528,136.646402,86,1,1,2,1,s,s
14,37.691404,166.46079,11,1,1,1,1,2,2
15,35.819551,168.993896,11,1,1,1,1,2,2
16,28.549546,171.732726,11,1,1,1,1,2,3
17,30.812909,170.063037,11,1,1,1,1,2,3
18,34.110978,166.702879,11,1,1,1,1,2,3
19,36.240831,164.563558,11,1,1,1,1,2,3
20,38.860523,161.980579,11,1,1,1,1,2,3
21,42.424711,164.89708,21,1,1,1,1,2,3
22,44.743102,165.085141,21,1,1,1,1,2,3
23,47.345654,165.365674,21,1,1,1,1,2,3
24,49.853485,165.525681,21,1,1,1,1,2,3
25,53.827226,165.634777,21,1,1,1,1,2,3
26,56.521791,165.581788,21,1,1,1,1,s,s
27,59.219064,165.51633,21,1,1,1,1,3,s
28,64.049797,165.01241,21,1,1,1,1,3,4
29,65.834146,158.402229,29,1,1,1,1,3,4
30,63.140482,157.933636,29,1,1,1,1,3,4
31,59.047665,157.930519,29,1,1,1,1,2,s
32,59.157721,162.096949,21,1,1,1,1,3,s
33,56.520889,161.993048,21,1,1,1,1,s,s
34,61.187441,165.429053,21,1,1,1,1,3,s
35,53.812792,161.869405,21,1,1,1,1,2,s
36,51.032527,161.787324,21,1,1,1,1,2,s
37,47.816549,161.570171,21,1,1,1,1,2,5
38,44.716039,160.862605,21,1,1,1,1,2,5
39,41.007515,158.562237,11,1,1,1,1,2,5
40,42.633095,154.394768,11,1,1,1,1,2,5
41,46.730423,156.79592,29,1,1,1,1,2,5
42,49.010926,157.619855,29,1,1,1,1,2,5
43,51.297744,157.725834,29,1,1,1,1,2,5
44,53.884058,157.925324,29,1,1,1,1,2,5
45,56.52991,157.914934,29,1,1,1,1,2,s
46,58.898819,154.673223,29,1,1,1,1,s,s
47,56.604784,154.585946,29,1,1,1,1,2,6
48,53.917435,154.502825,29,1,1,1,1,2,6
49,51.633324,153.927214,29,1,1,1,1,2,5
50,48.554464,153.305886,29,1,1,1,1,2,5
51,44.464354,150.807067,11,1,1,1,1,2,5
52,46.107976,147.58302,54,1,1,1,2,4,7
53,69.24588,159.149278,106,2,2,3,3,5,8
54,50.198989,149.780526,54,1,1,1,2,6,9
55,52.055506,150.114048,54,1,1,1,2,6,9
56,54.05275,150.535886,54,1,1,1,2,s,s
57,56.648085,150.461077,54,1,1,1,2,7,s
58,58.822141,150.320811,54,1,1,1,2,s,s
59,63.514853,150.304187,29,1,1,1,1,8,s
60,63.339846,154.363598,29,1,1,1,1,8,s
61,66.553118,155.858733,94,2,2,3,3,5,8
62,71.364005,162.088636,106,2,2,3,3,5,8
63,75.615591,156.206802,106,s,s,s,s,s,s
64,70.149781,150.909929,94,s,s,s,s,s,s
65,47.829178,144.250915,54,1,1,1,2,4,7
66,51.632422,146.405822,54,1,1,1,2,4,7
67,54.305337,147.157026,54,1,1,1,2,4,7
68,56.599372,147.347165,54,1,1,1,2,7,s
69,58.667882,147.426129,54,1,1,1,2,7,s
70,49.839052,140.931279,54,1,1,1,2,4,s
71,53.220114,142.668503,54,1,1,1,2,4,s
72,56.674246,143.192164,54,1,1,1,2,4,s
73,58.489267,143.265934,54,1,1,2,4,9,10
74,58.556022,145.372007,54,1,1,2,4,9,10
75,71.292739,157.0058,106,2,3,4,5,10,11
76,63.534699,146.112821,54,1,1,2,4,11,s
77,69.000509,146.143991,94,1,1,2,4,12,12
78,69.55981,141.314673,94,1,1,2,4,12,12
79,65.134118,140.556196,94,1,1,2,4,11,13
80,60.625434,139.667843,86,1,1,2,4,11,13
81,58.480246,139.900581,86,1,1,2,4,s,s
82,54.618365,139.430948,86,1,1,2,6,13,14
83,50.871051,138.213229,86,1,1,2,6,13,14
