Id,latitude,longitude,Cluster,PD,RANK
1,55.75591,173.639309,21,0.00267067,102
2,59.452707,173.415922,21,0.004008639,101
3,59.283112,169.492621,21,0.052643858,39
4,56.481197,169.687955,21,0.067956279,33
5,54.592204,170.327985,21,0.047971029,41
6,49.681185,171.263093,6,0.079673749,29
7,49.721779,174.129722,6,0.037157966,53
8,46.936101,171.217377,6,0.020367959,70
9,44.08006,171.198675,6,0.011849452,81
10,43.98985,174.15258,6,0.025940625,63
11,40.395893,168.770509,11,0.035781277,54
12,38.302124,172.472501,11,0.020989565,68
13,60.64528,136.646402,86,0.00843624,88
14,37.691404,166.46079,11,0.007313216,93
15,35.819551,168.993896,11,0.009155078,84
16,28.549546,171.732726,11,0,113
17,30.812909,170.063037,11,0.017699115,74
18,34.110978,166.702879,11,0.035608934,55
19,36.240831,164.563558,11,0.044231985,45
20,38.860523,161.980579,11,0.05869153,36
21,42.424711,164.89708,21,0.080562596,28
22,44.743102,165.085141,21,0.012131589,80
23,47.345654,165.365674,21,0.040909357,48
24,49.853485,165.525681,21,0.074823855,31
25,53.827226,165.634777,21,0.013632533,79
26,56.521791,165.581788,21,0.058986041,35
27,59.219064,165.51633,21,0.080841288,27
28,64.049797,165.01241,21,0.009918879,83
29,65.834146,158.402229,29,0.018884324,71
30,63.140482,157.933636,29,0.040571007,49
31,59.047665,157.930519,29,0.35405385,3
32,59.157721,162.096949,21,0.230107805,13
33,56.520889,161.993048,21,0.156174967,17
34,61.187441,165.429053,21,0.008417615,89
35,53.812792,161.869405,21,0.091615812,26
36,51.032527,161.787324,21,0.247008578,9
37,47.816549,161.570171,21,0.16701458,15
38,44.716039,160.862605,21,0.136304273,20
39,41.007515,158.562237,11,0.037921408,52
40,42.633095,154.394768,11,0.004340497,100
41,46.730423,156.79592,29,0.018518602,72
42,49.010926,157.619855,29,0.015781711,76
43,51.297744,157.725834,29,0.240137815,11
44,53.884058,157.925324,29,0.234391246,12
45,56.52991,157.914934,29,0.243988802,10
46,58.898819,154.673223,29,0.460724821,2
47,56.604784,154.585946,29,0.130383044,22
48,53.917435,154.502825,29,0,113
49,51.633324,153.927214,29,0.041258428,46
50,48.554464,153.305886,29,0.030352252,60
51,44.464354,150.807067,11,0.004372103,99
52,46.107976,147.58302,54,0.000474083,108
53,69.24588,159.149278,106,0.009090989,86
54,50.198989,149.780526,54,0.015671091,77
55,52.055506,150.114048,54,0.024494311,64
56,54.05275,150.535886,54,0.039664981,50
57,56.648085,150.461077,54,0.118994943,23
58,58.822141,150.320811,54,0.511852086,1
59,63.514853,150.304187,29,0.212863464,14
60,63.339846,154.363598,29,0.035240202,56
61,66.553118,155.858733,94,0.008406202,90
62,71.364005,162.088636,106,0.000210704,111
63,75.615591,156.206802,106,0.008579154,87
64,70.149781,150.909929,94,0.164061842,16
65,47.829178,144.250915,54,0.013801096,78
66,51.632422,146.405822,54,0.0456437,44
67,54.305337,147.157026,54,0.058285925,37
68,56.599372,147.347165,54,0.073456595,32
69,58.667882,147.426129,54,0.261588706,8
70,49.839052,140.931279,54,0.004688158,98
71,53.220114,142.668503,54,0.017725453,73
72,56.674246,143.192164,54,0.032264012,59
73,58.489267,143.265934,54,0.047434682,42
74,58.556022,145.372007,54,0.291324273,6
75,71.292739,157.0058,106,0.035032132,57
76,63.534699,146.112821,54,0.293915524,5
77,69.000509,146.143991,94,0.131163085,21
78,69.55981,141.314673,94,0.077790204,30
79,65.134118,140.556196,94,0.313555096,4
80,60.625434,139.667843,86,0.148516333,18
81,58.480246,139.900581,86,0.113672705,24
82,54.618365,139.430948,86,0.045951565,43
83,50.871051,138.213229,86,0.007194028,94
84,51.121835,135.181398,86,0.007991692,92
85,57.855092,165.569319,21,0.00199115,107
86,56.206057,135.50453,86,0.033843769,58
87,58.188868,135.428682,86,0.040958725,47
88,51.514247,132.056056,86,0.002491572,103
89,52.059114,165.613997,21,0.006521281,95
90,55.093771,131.402519,86,0.023490256,67
91,56.67154,130.466371,86,0.023962081,66
92,53.060443,126.277084,86,0.005072056,96
93,54.208813,123.710729,86,0.010324513,82
94,67.265775,153.66954,94,0.050113253,40
95,56.786106,125.05313,86,0.000341077,110
96,59.434665,121.35945,86,0.024416643,65
97,59.356182,126.34358,86,0.0168563,75
98,59.109008,128.742654,86,0.05283741,38
99,64.165265,121.774015,86,0.039148265,51
100,61.520315,129.36606,86,0.096862193,25
101,66.860733,122.991734,86,0.029327184,61
102,70.717201,125.9872,86,0.004782657,97
103,73.731109,133.42651,86,0.028445296,62
104,65.752957,131.133416,86,0.146545168,19
105,67.353279,132.186972,86,0.002379534,104
106,73.74013,159.725928,106,0.009121717,85
107,72.211977,149.379468,94,0.008309629,91
108,75.289032,150.265743,94,0.000366098,109
109,73.263823,154.261775,106,0.059426359,34
110,69.627467,148.310327,94,0.263906448,7
111,50.256723,157.716483,29,0.020504109,69
112,52.324331,144.574047,54,0.002054362,106
113,60.710231,133.073247,86,0.002187745,105
114,71.383851,147.460417,94,0,113
