Id,latitude,longitude,Cluster,
1,55.75591,173.639309,21,
2,59.452707,173.415922,21,
3,59.283112,169.492621,21,
4,56.481197,169.687955,21,
5,54.592204,170.327985,21,
6,49.681185,171.263093,6,
7,49.721779,174.129722,6,
8,46.936101,171.217377,6,
9,44.08006,171.198675,6,
10,43.98985,174.15258,6,
11,40.395893,168.770509,11,
12,38.302124,172.472501,11,
13,60.64528,136.646402,86,
14,37.691404,166.46079,11,
15,35.819551,168.993896,11,
16,28.549546,171.732726,11,
17,30.812909,170.063037,11,
18,34.110978,166.702879,11,
19,36.240831,164.563558,11,
20,38.860523,161.980579,11,
21,42.424711,164.89708,21,
22,44.743102,165.085141,21,
23,47.345654,165.365674,21,
24,49.853485,165.525681,21,
25,53.827226,165.634777,21,
26,56.521791,165.581788,21,
27,59.219064,165.51633,21,
28,64.049797,165.01241,21,
29,65.834146,158.402229,29,
30,63.140482,157.933636,29,
31,59.047665,157.930519,29,
32,59.157721,162.096949,21,
33,56.520889,161.993048,21,
34,61.187441,165.429053,21,
35,53.812792,161.869405,21,
36,51.032527,161.787324,21,
37,47.816549,161.570171,21,
38,44.716039,160.862605,21,
39,41.007515,158.562237,11,
40,42.633095,154.394768,11,
41,46.730423,156.79592,29,
42,49.010926,157.619855,29,
43,51.297744,157.725834,29,
44,53.884058,157.925324,29,
45,56.52991,157.914934,29,
46,58.898819,154.673223,29,
47,56.604784,154.585946,29,
48,53.917435,154.502825,29,
49,51.633324,153.927214,29,
50,48.554464,153.305886,29,
51,44.464354,150.807067,11,
52,46.107976,147.58302,54,
53,69.24588,159.149278,106,
54,50.198989,149.780526,54,
55,52.055506,150.114048,54,
56,54.05275,150.535886,54,
57,56.648085,150.461077,54,
58,58.822141,150.320811,54,
59,63.514853,150.304187,29,
60,63.339846,154.363598,29,
61,66.553118,155.858733,94,
62,71.364005,162.088636,106,
63,75.615591,156.206802,106,
64,70.149781,150.909929,94,
65,47.829178,144.250915,54,
66,51.632422,146.405822,54,
67,54.305337,147.157026,54,
68,56.599372,147.347165,54,
69,58.667882,147.426129,54,
70,49.839052,140.931279,54,
71,53.220114,142.668503,54,
72,56.674246,143.192164,54,
73,58.489267,143.265934,54,
74,58.556022,145.372007,54,
75,71.292739,157.0058,106,
76,63.534699,146.112821,54,
77,69.000509,146.143991,94,
78,69.55981,141.314673,94,
79,65.134118,140.556196,94,
80,60.625434,139.667843,86,
81,58.480246,139.900581,86,
82,54.618365,139.430948,86,
83,50.871051,138.213229,86,
84,51.121835,135.181398,86,
85,57.855092,165.569319,21,
86,56.206057,135.50453,86,
87,58.188868,135.428682,86,
88,51.514247,132.056056,86,
89,52.059114,165.613997,21,
90,55.093771,131.402519,86,
91,56.67154,130.466371,86,
92,53.060443,126.277084,86,
93,54.208813,123.710729,86,
94,67.265775,153.66954,94,
95,56.786106,125.05313,86,
96,59.434665,121.35945,86,
97,59.356182,126.34358,86,
98,59.109008,128.742654,86,
99,64.165265,121.774015,86,
100,61.520315,129.36606,86,
101,66.860733,122.991734,86,
102,70.717201,125.9872,86,
103,73.731109,133.42651,86,
104,65.752957,131.133416,86,
105,67.353279,132.186972,86,
106,73.74013,159.725928,106,
107,72.211977,149.379468,94,
108,75.289032,150.265743,94,
109,73.263823,154.261775,106,
110,69.627467,148.310327,94,
111,50.256723,157.716483,29,
112,52.324331,144.574047,54,
113,60.710231,133.073247,86,
114,71.383851,147.460417,94,
