Source,Target,Weight
2,1,812
2,3,749
4,3,616
1,4,770
4,5,432
5,6,1099
7,6,546
6,8,603
8,9,627
7,10,1258
9,10,563
10,12,1327
9,11,939
12,11,842
11,14,739
80,13,576
14,15,634
12,15,858
16,17,520
18,17,966
15,18,575
19,18,620
14,19,482
20,19,757
21,20,973
11,21,862
22,21,510
22,9,1174
23,22,574
8,23,1119
24,23,551
6,24,1094
25,89,388
26,25,591
4,26,783
27,85,300
3,27,758
28,34,644
29,28,1324
30,29,601
30,31,899
31,32,794
32,27,652
32,33,579
33,26,684
33,35,595
34,27,432
35,36,610
36,24,758
36,37,707
37,23,731
37,38,708
38,21,919
38,39,925
39,20,815
40,39,871
41,40,1009
41,38,892
42,41,534
42,37,797
111,42,274
43,36,776
44,43,569
45,44,581
31,45,552
46,31,622
46,47,504
47,45,635
47,48,590
49,43,728
49,50,686
50,41,776
50,51,1016
51,40,793
54,52,992
62,53,728
55,54,412
56,55,446
57,56,570
58,57,478
58,46,830
59,58,1030
60,30,682
59,60,775
53,61,866
63,106,150
109,75,679
64,94,830
110,64,508
110,59,1416
52,65,739
54,66,716
57,68,593
58,69,553
66,65,930
67,66,604
68,67,505
69,68,454
65,70,771
66,112,381
94,75,1095
74,73,402
69,74,392
71,70,813
72,71,766
73,72,399
82,83,855
81,82,857
80,81,473
76,74,1124
79,80,1025
76,79,1125
78,79,1003
77,78,954
77,76,1200
110,77,435
83,84,581
82,86,825
81,87,854
85,26,293
86,84,1118
87,86,435
84,88,602
90,88,806
89,24,485
86,90,837
91,90,390
87,91,1061
91,98,628
100,98,543
113,100,740
104,100,988
79,104,1859
105,104,405
103,105,1473
78,103,1834
88,92,1155
90,92,1093
92,93,552
96,93,1314
95,93,621
97,95,615
97,96,950
98,97,467
99,96,1049
100,99,1560
101,99,637
104,101,1621
102,101,1024
105,102,1393
103,102,1817
75,106,747
64,107,543
107,108,721
108,109,882
64,109,966
109,63,635
75,53,607
94,61,450
106,62,200
43,111,228
112,71,413
13,113,681
110,114,2013
