,Source,Target,Weight
0,2,1,2.0
1,2,3,2.0
2,4,3,1.0
3,1,4,2.0
4,4,5,1.0
5,5,6,2.0
6,7,6,1.0
7,6,8,3.0
8,8,9,4.0
9,7,10,2.0
10,9,10,2.0
11,10,12,3.0
12,9,11,1.0
13,12,11,2.0
14,11,14,3.0
15,80,13,2.0
16,14,15,2.0
17,12,15,1.0
18,16,17,2.0
19,18,17,3.0
20,15,18,2.0
21,19,18,1.0
22,14,19,2.0
23,20,19,1.0
24,21,20,2.0
25,11,21,1.0
26,22,21,3.0
27,22,9,2.0
28,23,22,1.0
29,8,23,2.0
30,24,23,1.0
31,6,24,2.0
32,25,89,2.0
33,26,25,1.0
34,4,26,2.0
35,27,85,1.0
36,3,27,2.0
37,28,34,2.0
38,29,28,2.0
39,30,29,4.0
40,30,31,2.0
41,31,32,1.0
42,32,27,2.0
43,32,33,1.0
44,33,26,2.0
45,33,35,3.0
46,34,27,2.0
47,35,36,2.0
48,36,24,2.0
49,36,37,1.0
50,37,23,3.0
51,37,38,1.0
52,38,21,1.0
53,38,39,2.0
54,39,20,4.0
55,40,39,3.0
56,41,40,3.0
57,41,38,1.0
58,42,41,1.0
59,42,37,2.0
60,111,42,2.0
61,43,36,2.0
62,44,43,2.0
63,45,44,1.0
64,31,45,2.0
65,46,31,1.0
66,46,47,2.0
67,47,45,3.0
68,47,48,2.0
69,49,43,1.0
70,49,50,2.0
71,50,41,2.0
72,50,51,1.0
73,51,40,2.0
74,54,52,2.0
75,62,53,2.0
76,55,54,3.0
77,56,55,2.0
78,57,56,2.0
79,58,57,2.0
80,58,46,1.0
81,59,58,2.0
82,60,30,2.0
83,59,60,5.0
84,53,61,2.0
85,63,106,2.0
86,109,75,2.0
87,64,94,1.0
88,110,64,2.0
89,110,59,4.0
90,52,65,3.0
91,54,66,1.0
92,57,68,1.0
93,58,69,1.0
94,66,65,2.0
95,67,66,2.0
96,68,67,2.0
97,69,68,2.0
98,65,70,2.0
99,66,112,2.0
100,94,75,2.0
101,74,73,2.0
102,69,74,1.0
103,71,70,2.0
104,72,71,2.0
105,73,72,2.0
106,82,83,1.0
107,81,82,1.0
108,80,81,1.0
109,76,74,4.0
110,79,80,1.0
111,76,79,2.0
112,78,79,1.0
113,77,78,2.0
114,77,76,1.0
115,110,77,1.0
116,83,84,2.0
117,82,86,2.0
118,81,87,2.0
119,85,26,2.0
120,86,84,1.0
121,87,86,3.0
122,84,88,2.0
123,90,88,1.0
124,89,24,2.0
125,86,90,2.0
126,91,90,1.0
127,87,91,2.0
128,91,98,1.0
129,100,98,1.0
130,113,100,2.0
131,104,100,1.0
132,79,104,3.0
133,105,104,3.0
134,103,105,1.0
135,78,103,2.0
136,88,92,3.0
137,90,92,2.0
138,92,93,2.0
139,96,93,1.0
140,95,93,2.0
141,97,95,3.0
142,97,96,2.0
143,98,97,2.0
144,99,96,3.0
145,100,99,2.0
146,101,99,4.0
147,104,101,2.0
148,102,101,1.0
149,105,102,2.0
150,103,102,2.0
151,75,106,2.0
152,64,107,2.0
153,107,108,2.0
154,108,109,2.0
155,64,109,1.0
156,109,63,1.0
157,75,53,3.0
158,94,61,1.0
159,106,62,1.0
160,43,111,1.0
161,112,71,1.0
162,13,113,2.0
163,110,114,2.0
