Source,Target,Weight
2,1,1
2,3,5
4,3,5
1,4,5
4,5,5
5,6,1
7,6,5
6,8,5
8,9,5
7,10,1
9,10,5
10,12,1
9,11,5
12,11,5
11,14,5
80,13,5
14,15,1
12,15,1
16,17,5
18,17,5
15,18,5
19,18,5
14,19,5
20,19,5
21,20,1
11,21,5
22,21,5
22,9,1
23,22,5
8,23,1
24,23,5
6,24,1
25,89,5
26,25,5
4,26,1
27,85,5
3,27,5
28,34,5
29,28,1
30,29,5
30,31,5
31,32,1
32,27,5
32,33,5
33,26,1
33,35,5
34,27,5
35,36,5
36,24,1
36,37,5
37,23,1
37,38,5
38,21,1
38,39,1
39,20,5
40,39,5
41,40,1
41,38,1
42,41,5
42,37,1
111,42,5
43,36,5
44,43,5
45,44,5
31,45,5
46,31,5
46,47,5
47,45,1
47,48,5
49,43,5
49,50,5
50,41,1
50,51,1
51,40,5
54,52,1
62,53,1
55,54,5
56,55,5
57,56,5
58,57,5
58,46,5
59,58,1
60,30,5
59,60,5
53,61,5
63,106,5
109,75,5
64,94,5
110,64,5
110,59,1
52,65,5
54,66,1
57,68,1
58,69,5
66,65,1
67,66,5
68,67,5
69,68,5
65,70,5
66,112,5
94,75,1
74,73,5
69,74,5
71,70,5
72,71,1
73,72,5
82,83,1
81,82,1
80,81,5
76,74,5
79,80,5
76,79,5
78,79,5
77,78,5
77,76,1
110,77,5
83,84,5
82,86,5
81,87,1
85,26,5
86,84,1
87,86,5
84,88,5
90,88,5
89,24,5
86,90,5
91,90,5
87,91,1
91,98,5
100,98,5
113,100,5
104,100,5
79,104,1
105,104,5
103,105,5
78,103,1
88,92,1
90,92,1
92,93,5
96,93,1
95,93,5
97,95,5
97,96,5
98,97,5
99,96,5
100,99,1
101,99,5
104,101,1
102,101,5
105,102,1
103,102,1
75,106,1
64,107,5
107,108,5
108,109,1
64,109,1
109,63,5
75,53,5
94,61,5
106,62,5
43,111,5
112,71,5
13,113,5
110,114,5
,,1
