Source,Target,Weight
2,1,1
2,3,2
4,3,2
1,4,2
4,5,2
5,6,1
7,6,2
6,8,2
8,9,3
7,10,1
9,10,2
10,12,1
9,11,4
12,11,2
11,14,2
80,13,2
14,15,1
12,15,1
16,17,2
18,17,3
15,18,2
19,18,3
14,19,2
20,19,2
21,20,1
11,21,4
22,21,2
22,9,1
23,22,3
8,23,1
24,23,2
6,24,1
25,89,2
26,25,3
4,26,1
27,85,2
3,27,3
28,34,2
29,28,1
30,29,2
30,31,3
31,32,1
32,27,3
32,33,2
33,26,1
33,35,2
34,27,2
35,36,2
36,24,1
36,37,2
37,23,1
37,38,2
38,21,1
38,39,1
39,20,2
40,39,3
41,40,1
41,38,1
42,41,2
42,37,1
111,42,2
43,36,4
44,43,2
45,44,3
31,45,2
46,31,3
46,47,2
47,45,1
47,48,2
49,43,3
49,50,2
50,41,1
50,51,1
51,40,2
54,52,1
62,53,1
55,54,2
56,55,2
57,56,3
58,57,2
58,46,4
59,58,1
60,30,2
59,60,2
53,61,4
63,106,2
109,75,3
64,94,3
110,64,2
110,59,1
52,65,2
54,66,1
57,68,1
58,69,3
66,65,1
67,66,3
68,67,2
69,68,2
65,70,2
66,112,2
94,75,1
74,73,3
69,74,2
71,70,3
72,71,1
73,72,2
82,83,1
81,82,1
80,81,2
76,74,2
79,80,4
76,79,5
78,79,2
77,78,2
77,76,1
110,77,2
83,84,2
82,86,2
81,87,1
85,26,2
86,84,1
87,86,2
84,88,2
90,88,3
89,24,2
86,90,3
91,90,2
87,91,1
91,98,3
100,98,2
113,100,3
104,100,3
79,104,1
105,104,2
103,105,2
78,103,1
88,92,1
90,92,1
92,93,2
96,93,1
95,93,3
97,95,2
97,96,2
98,97,2
99,96,3
100,99,1
101,99,2
104,101,1
102,101,2
105,102,1
103,102,1
75,106,1
64,107,2
107,108,2
108,109,1
64,109,1
109,63,2
75,53,2
94,61,2
106,62,2
43,111,2
112,71,2
13,113,2
110,114,2
