Source,Target,Weight
2,1,2
2,3,2
4,3,2
1,4,1
4,5,2
5,6,2
7,6,2
6,8,2
8,9,2
7,10,2
9,10,1
10,12,2
9,11,2
12,11,1
11,14,2
80,13,2
14,15,2
12,15,1
16,17,2
18,17,2
15,18,3
19,18,2
14,19,1
20,19,2
21,20,2
11,21,1
22,21,2
22,9,1
23,22,2
8,23,1
24,23,2
6,24,1
25,89,2
26,25,2
4,26,3
27,85,2
3,27,3
28,34,2
29,28,2
30,29,2
30,31,2
31,32,2
32,27,3
32,33,2
33,26,1
33,35,2
34,27,1
35,36,2
36,24,1
36,37,2
37,23,1
37,38,2
38,21,1
38,39,2
39,20,1
40,39,2
41,40,2
41,38,1
42,41,2
42,37,1
111,42,2
43,36,2
44,43,2
45,44,2
31,45,1
46,31,2
46,47,2
47,45,1
47,48,2
49,43,2
49,50,2
50,41,1
50,51,2
51,40,1
54,52,2
62,53,2
55,54,2
56,55,2
57,56,2
58,57,2
58,46,3
59,58,2
60,30,2
59,60,1
53,61,2
63,106,2
109,75,2
64,94,2
110,64,2
110,59,3
52,65,2
54,66,2
57,68,2
58,69,2
66,65,1
67,66,2
68,67,1
69,68,1
65,70,2
66,112,2
94,75,3
74,73,2
69,74,3
71,70,2
72,71,2
73,72,1
82,83,2
81,82,2
80,81,3
76,74,2
79,80,2
76,79,4
78,79,2
77,78,2
77,76,1
110,77,1
83,84,2
82,86,2
81,87,2
85,26,1
86,84,1
87,86,1
84,88,2
90,88,2
89,24,1
86,90,1
91,90,2
87,91,1
91,98,2
100,98,2
113,100,2
104,100,2
79,104,1
105,104,2
103,105,2
78,103,1
88,92,2
90,92,1
92,93,2
96,93,2
95,93,2
97,95,2
97,96,1
98,97,1
99,96,2
100,99,1
101,99,2
104,101,1
102,101,2
105,102,1
103,102,1
75,106,3
64,107,2
107,108,2
108,109,1
64,109,1
109,63,1
75,53,3
94,61,1
106,62,1
43,111,1
112,71,1
13,113,1
110,114,2
